 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Espírito Santo
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"320020 Alegre";0;0;0;0;0;1;0;1;1;1;0;4
"320030 Alfredo Chaves";0;0;0;0;0;0;0;0;1;0;0;1
"320040 Anchieta";0;0;0;0;0;0;0;0;1;1;0;2
"320060 Aracruz";0;0;0;0;0;4;3;8;3;0;1;19
"320090 Barra de São Francisco";0;0;0;0;0;1;1;1;0;0;0;3
"320100 Boa Esperança";0;0;0;0;0;0;3;0;0;1;0;4
"320110 Bom Jesus do Norte";0;0;0;0;0;0;1;1;0;0;0;2
"320120 Cachoeiro de Itapemirim";1;0;0;0;1;15;12;13;8;6;0;56
"320130 Cariacica";0;0;0;0;2;14;8;16;9;3;0;52
"320140 Castelo";0;0;0;0;0;0;0;1;0;0;0;1
"320150 Colatina";0;0;0;0;1;4;11;5;10;6;1;38
"320160 Conceição da Barra";0;0;0;0;0;1;1;0;2;0;0;4
"320190 Domingos Martins";0;0;0;0;0;0;2;0;0;0;0;2
"320210 Ecoporanga";0;0;0;0;0;0;1;0;1;0;0;2
"320230 Guaçuí";0;0;0;0;0;5;0;1;1;0;1;8
"320240 Guarapari";0;0;0;0;1;5;1;5;4;0;0;16
"320280 Itapemirim";0;0;0;0;0;0;1;0;0;0;0;1
"320305 Jaguaré";0;0;0;0;1;0;0;2;0;0;0;3
"320320 Linhares";0;0;0;0;2;3;8;9;3;4;1;30
"320334 Marechal Floriano";0;0;0;0;0;0;0;1;0;0;0;1
"320335 Marilândia";0;0;0;0;0;0;0;0;1;0;0;1
"320340 Mimoso do Sul";0;0;0;0;0;1;0;0;1;0;0;2
"320350 Montanha";0;0;0;0;0;0;1;1;0;0;0;2
"320370 Muniz Freire";0;0;0;0;0;0;0;1;0;0;0;1
"320390 Nova Venécia";0;0;0;0;0;2;0;3;0;0;2;7
"320405 Pedro Canário";0;0;0;0;0;0;1;0;1;0;0;2
"320410 Pinheiros";0;0;0;0;0;1;0;1;2;0;0;4
"320420 Piúma";0;0;0;0;0;0;0;1;0;0;0;1
"320425 Ponto Belo";0;0;0;0;0;0;0;1;0;0;0;1
"320430 Presidente Kennedy";0;0;0;0;0;0;0;0;1;0;0;1
"320435 Rio Bananal";0;0;0;0;0;0;1;1;1;0;0;3
"320450 Santa Leopoldina";0;0;0;0;0;0;1;0;0;0;0;1
"320455 Santa Maria de Jetibá";0;0;0;0;0;3;0;0;0;0;0;3
"320460 Santa Teresa";0;0;0;0;0;0;1;0;0;0;1;2
"320470 São Gabriel da Palha";0;0;0;0;0;0;0;1;1;0;1;3
"320490 São Mateus";1;0;0;0;0;12;16;16;3;2;0;50
"320500 Serra";0;0;0;0;1;21;28;32;17;6;0;105
"320501 Sooretama";0;0;0;0;0;0;0;2;0;0;0;2
"320506 Venda Nova do Imigrante";0;0;0;0;0;0;0;2;0;0;0;2
"320510 Viana";0;0;0;0;1;4;1;4;0;0;0;10
"320520 Vila Velha";1;1;1;1;2;33;31;21;15;8;2;116
"320530 Vitória";1;1;0;0;2;27;32;16;17;10;1;107
"Total";4;2;1;1;14;157;166;167;104;48;11;675
