 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Espírito Santo
Período:2023
"Município (Res)";"Masculino";"Feminino";"Total"
"320010 Afonso Cláudio";1;0;1
"320030 Alfredo Chaves";1;0;1
"320040 Anchieta";1;0;1
"320060 Aracruz";18;4;22
"320090 Barra de São Francisco";3;2;5
"320110 Bom Jesus do Norte";1;0;1
"320120 Cachoeiro de Itapemirim";35;10;45
"320130 Cariacica";36;20;56
"320140 Castelo";1;0;1
"320150 Colatina";12;8;20
"320160 Conceição da Barra";1;2;3
"320210 Ecoporanga";0;2;2
"320220 Fundão";1;1;2
"320230 Guaçuí";6;4;10
"320240 Guarapari";13;2;15
"320305 Jaguaré";1;1;2
"320310 Jerônimo Monteiro";1;0;1
"320320 Linhares";19;8;27
"320330 Mantenópolis";1;0;1
"320350 Montanha";1;0;1
"320390 Nova Venécia";8;2;10
"320400 Pancas";1;0;1
"320405 Pedro Canário";4;0;4
"320410 Pinheiros";3;3;6
"320420 Piúma";2;0;2
"320430 Presidente Kennedy";0;1;1
"320435 Rio Bananal";0;1;1
"320470 São Gabriel da Palha";1;3;4
"320480 São José do Calçado";1;0;1
"320490 São Mateus";39;12;51
"320500 Serra";81;26;107
"320501 Sooretama";1;3;4
"320510 Viana";8;4;12
"320520 Vila Velha";101;26;127
"320530 Vitória";86;23;109
"Total";489;168;657
