 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Espírito Santo
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"320013 Águia Branca";1;0;0;1
"320040 Anchieta";2;1;0;3
"320060 Aracruz";13;5;0;18
"320090 Barra de São Francisco";4;2;0;6
"320100 Boa Esperança";1;1;0;2
"320120 Cachoeiro de Itapemirim";25;16;1;42
"320130 Cariacica";40;19;0;59
"320150 Colatina";19;9;0;28
"320160 Conceição da Barra";2;0;0;2
"320190 Domingos Martins";2;0;0;2
"320220 Fundão";1;1;0;2
"320225 Governador Lindenberg";1;0;0;1
"320230 Guaçuí";2;4;0;6
"320240 Guarapari";12;4;0;16
"320305 Jaguaré";0;2;0;2
"320310 Jerônimo Monteiro";1;0;0;1
"320320 Linhares";28;8;0;36
"320330 Mantenópolis";1;0;0;1
"320350 Montanha";3;1;0;4
"320390 Nova Venécia";6;4;0;10
"320405 Pedro Canário";3;5;0;8
"320410 Pinheiros";1;3;0;4
"320420 Piúma";1;0;0;1
"320435 Rio Bananal";0;1;0;1
"320455 Santa Maria de Jetibá";0;1;0;1
"320460 Santa Teresa";2;0;0;2
"320490 São Mateus";35;10;0;45
"320500 Serra";73;33;0;106
"320501 Sooretama";1;0;0;1
"320510 Viana";4;3;0;7
"320517 Vila Valério";1;0;0;1
"320520 Vila Velha";92;17;0;109
"320530 Vitória";73;26;0;99
"Total";450;176;1;627
