 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Espírito Santo
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior completo";"Total"
"320020 Alegre";0;0;0;0;0;0;1;0;1
"320060 Aracruz";1;1;0;0;0;3;1;3;9
"320090 Barra de São Francisco";0;0;0;0;0;2;0;1;3
"320120 Cachoeiro de Itapemirim";0;3;0;4;1;6;2;13;29
"320130 Cariacica";0;0;0;3;0;6;2;7;18
"320150 Colatina";0;1;0;3;0;5;0;3;12
"320190 Domingos Martins";0;0;1;0;0;0;0;0;1
"320210 Ecoporanga";0;1;0;0;0;0;0;0;1
"320220 Fundão";0;0;0;1;0;0;0;0;1
"320230 Guaçuí";0;1;0;1;0;2;0;1;5
"320240 Guarapari";0;0;0;2;0;2;0;4;8
"320305 Jaguaré";0;0;0;1;0;0;0;1;2
"320310 Jerônimo Monteiro";0;0;0;0;0;0;0;1;1
"320320 Linhares";1;4;1;3;0;8;4;6;27
"320332 Marataízes";0;1;0;0;0;0;0;0;1
"320350 Montanha";0;0;0;1;0;0;0;0;1
"320390 Nova Venécia";0;0;0;0;0;0;1;0;1
"320410 Pinheiros";1;1;0;0;0;1;0;0;3
"320420 Piúma";0;0;0;0;0;2;0;1;3
"320435 Rio Bananal";0;1;0;1;0;0;0;0;2
"320455 Santa Maria de Jetibá";0;0;0;2;0;1;1;0;4
"320490 São Mateus";1;3;0;1;1;7;1;4;18
"320500 Serra";0;5;1;9;3;37;9;28;92
"320501 Sooretama";0;0;0;0;0;0;0;1;1
"320506 Venda Nova do Imigrante";0;0;0;0;0;1;0;1;2
"320510 Viana";1;1;0;1;0;0;1;1;5
"320520 Vila Velha";0;3;0;9;2;24;2;31;71
"320530 Vitória";3;5;0;10;1;16;2;15;52
"Total";8;31;3;52;8;123;27;122;374
