 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Espírito Santo
Período:2025
"Município (Res)";"< 1 ano";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"320020 Alegre";0;0;0;0;1;0;1;0;0;0;2
"320040 Anchieta";0;0;0;0;0;2;0;0;1;0;3
"320060 Aracruz";0;0;1;3;3;3;1;0;0;0;11
"320090 Barra de São Francisco";0;0;0;1;1;1;0;0;0;0;3
"320120 Cachoeiro de Itapemirim";1;0;0;11;15;3;4;5;1;0;40
"320130 Cariacica";0;0;1;9;8;3;3;0;1;0;25
"320140 Castelo";0;0;0;1;0;0;0;0;0;0;1
"320150 Colatina";0;0;0;2;4;5;4;2;0;0;17
"320160 Conceição da Barra";0;0;0;0;0;1;1;0;0;0;2
"320190 Domingos Martins";0;0;0;0;0;0;1;0;0;0;1
"320210 Ecoporanga";0;0;0;0;1;0;1;0;0;0;2
"320220 Fundão";0;0;0;0;0;0;0;0;1;0;1
"320230 Guaçuí";0;0;0;6;1;2;2;1;0;0;12
"320240 Guarapari";0;1;1;2;4;5;1;3;0;0;17
"320305 Jaguaré";0;0;0;3;0;1;0;0;0;0;4
"320310 Jerônimo Monteiro";0;0;0;1;0;0;0;0;0;0;1
"320320 Linhares";1;0;1;9;10;9;6;0;1;0;37
"320332 Marataízes";0;0;0;0;0;1;1;0;0;0;2
"320350 Montanha";0;0;0;0;0;1;0;0;0;0;1
"320390 Nova Venécia";0;0;1;1;1;0;1;0;0;0;4
"320405 Pedro Canário";0;0;0;0;1;1;0;0;1;0;3
"320410 Pinheiros";0;0;0;0;0;2;0;1;1;0;4
"320420 Piúma";0;0;0;1;2;0;0;0;0;0;3
"320435 Rio Bananal";0;0;0;0;0;1;0;0;0;1;2
"320455 Santa Maria de Jetibá";0;0;0;1;2;1;1;0;0;0;5
"320490 São Mateus";1;0;1;4;8;6;4;4;2;0;30
"320500 Serra";0;0;1;31;29;26;12;4;2;0;105
"320501 Sooretama";0;0;0;0;0;1;0;0;0;0;1
"320506 Venda Nova do Imigrante";0;0;0;1;0;1;0;0;0;0;2
"320510 Viana";0;0;1;1;3;0;1;0;0;0;6
"320520 Vila Velha";0;0;1;25;31;15;9;7;2;0;90
"320530 Vitória";1;0;0;20;16;22;10;6;4;0;79
"Total";4;1;9;133;141;113;64;33;17;1;516
