 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Espírito Santo
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"320020 Alegre";1;0;0;1;0;0;2
"320040 Anchieta";1;0;0;2;0;0;3
"320060 Aracruz";3;1;0;6;1;0;11
"320090 Barra de São Francisco";2;0;0;1;0;0;3
"320120 Cachoeiro de Itapemirim";6;9;0;21;0;4;40
"320130 Cariacica";6;3;1;15;0;0;25
"320140 Castelo";0;0;0;1;0;0;1
"320150 Colatina";1;1;0;15;0;0;17
"320160 Conceição da Barra";0;0;0;2;0;0;2
"320190 Domingos Martins";1;0;0;0;0;0;1
"320210 Ecoporanga";0;0;0;2;0;0;2
"320220 Fundão";0;0;0;1;0;0;1
"320230 Guaçuí";4;2;0;3;0;3;12
"320240 Guarapari";2;2;0;13;0;0;17
"320305 Jaguaré";1;1;1;1;0;0;4
"320310 Jerônimo Monteiro";0;0;0;1;0;0;1
"320320 Linhares";5;4;0;28;0;0;37
"320332 Marataízes";0;0;0;2;0;0;2
"320350 Montanha";0;0;0;1;0;0;1
"320390 Nova Venécia";0;1;0;3;0;0;4
"320405 Pedro Canário";1;0;0;2;0;0;3
"320410 Pinheiros";1;1;0;1;0;1;4
"320420 Piúma";1;1;0;1;0;0;3
"320435 Rio Bananal";2;0;0;0;0;0;2
"320455 Santa Maria de Jetibá";2;0;0;3;0;0;5
"320490 São Mateus";4;5;0;19;0;2;30
"320500 Serra";24;21;0;60;0;0;105
"320501 Sooretama";0;0;0;1;0;0;1
"320506 Venda Nova do Imigrante";0;0;0;2;0;0;2
"320510 Viana";2;0;0;4;0;0;6
"320520 Vila Velha";22;18;0;50;0;0;90
"320530 Vitória";15;13;2;48;0;1;79
"Total";107;83;4;310;1;11;516
