 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Minas Gerais
Período:2015
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"310020 Abaeté";1;2;0;3
"310060 Água Boa";1;0;0;1
"310080 Aguanil";1;0;0;1
"310090 Águas Formosas";2;1;0;3
"310110 Aimorés";2;1;0;3
"310150 Além Paraíba";5;1;0;6
"310160 Alfenas";17;5;0;22
"310170 Almenara";0;1;0;1
"310230 Alvinópolis";2;0;0;2
"310260 Andradas";2;1;0;3
"310290 Antônio Carlos";0;1;0;1
"310300 Antônio Dias";0;1;0;1
"310310 Antônio Prado de Minas";0;1;0;1
"310340 Araçuaí";3;2;0;5
"310350 Araguari";12;5;0;17
"310400 Araxá";8;2;0;10
"310410 Arceburgo";1;0;0;1
"310420 Arcos";1;0;0;1
"310480 Augusto de Lima";1;2;0;3
"310500 Baldim";0;1;0;1
"310510 Bambuí";0;1;0;1
"310540 Barão de Cocais";1;0;0;1
"310560 Barbacena";5;6;0;11
"310590 Barroso";1;1;0;2
"310600 Bela Vista de Minas";0;1;0;1
"310620 Belo Horizonte";583;153;0;736
"310670 Betim";42;18;0;60
"310690 Bicas";1;0;0;1
"310710 Boa Esperança";0;1;0;1
"310730 Bocaiúva";2;1;0;3
"310740 Bom Despacho";0;1;0;1
"310750 Bom Jardim de Minas";1;0;0;1
"310760 Bom Jesus da Penha";1;0;0;1
"310800 Bom Sucesso";0;1;0;1
"310870 Brás Pires";1;0;0;1
"310890 Brasópolis";1;0;0;1
"310900 Brumadinho";1;2;0;3
"310940 Buritizeiro";0;1;0;1
"310970 Cachoeira de Minas";1;1;0;2
"310990 Caetanópolis";1;0;0;1
"311000 Caeté";4;1;0;5
"311050 Camanducaia";0;1;0;1
"311060 Cambuí";2;0;0;2
"311080 Campanário";0;1;0;1
"311090 Campanha";2;0;0;2
"311110 Campina Verde";3;0;0;3
"311120 Campo Belo";1;1;0;2
"311130 Campo do Meio";3;0;0;3
"311150 Campos Altos";1;2;0;3
"311160 Campos Gerais";2;0;0;2
"311180 Canápolis";1;0;0;1
"311200 Candeias";0;1;0;1
"311230 Capelinha";1;0;0;1
"311250 Capim Branco";2;0;0;2
"311260 Capinópolis";1;0;0;1
"311330 Carangola";3;3;0;6
"311340 Caratinga";0;1;0;1
"311370 Carlos Chagas";1;0;0;1
"311390 Carmo da Cachoeira";1;0;0;1
"311420 Carmo do Cajuru";0;1;0;1
"311430 Carmo do Paranaíba";1;0;0;1
"311440 Carmo do Rio Claro";2;0;0;2
"311510 Cássia";2;0;0;2
"311530 Cataguases";1;1;0;2
"311545 Catuji";1;0;0;1
"311550 Caxambu";1;1;0;2
"311570 Central de Minas";2;0;0;2
"311610 Chapada do Norte";1;0;0;1
"311660 Cláudio";1;0;0;1
"311730 Conceição das Alagoas";1;1;0;2
"311750 Conceição do Mato Dentro";0;1;0;1
"311800 Congonhas";1;4;0;5
"311830 Conselheiro Lafaiete";10;5;0;15
"311860 Contagem";72;19;0;91
"311910 Corinto";0;1;0;1
"311930 Coromandel";0;1;0;1
"311940 Coronel Fabriciano";19;5;0;24
"312050 Cristina";1;0;0;1
"312087 Curral de Dentro";0;1;0;1
