 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"310020 Abaeté";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"310070 Água Comprida";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"310090 Águas Formosas";0;0;0;0;0;2;1;5;2;0;0;0;0;10
"310150 Além Paraíba";0;0;0;0;1;1;3;5;0;0;0;0;0;10
"310160 Alfenas";0;0;0;0;3;2;9;6;1;2;0;0;0;23
"310163 Alfredo Vasconcelos";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"310170 Almenara";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"310260 Andradas";0;0;0;0;0;1;1;0;0;0;0;0;0;2
"310340 Araçuaí";0;0;0;0;0;1;1;2;1;0;0;0;0;5
"310350 Araguari";0;0;0;0;0;4;5;3;2;2;0;0;0;16
"310400 Araxá";0;0;0;0;1;4;3;3;3;0;1;0;0;15
"310420 Arcos";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"310470 Ataléia";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"310500 Baldim";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"310510 Bambuí";0;0;0;0;0;1;0;0;1;0;0;0;0;2
"310560 Barbacena";0;0;0;0;0;0;3;2;0;1;0;0;0;6
"310620 Belo Horizonte";4;4;1;1;13;206;209;112;80;21;8;2;0;661
"310630 Belo Oriente";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"310670 Betim";2;1;0;0;3;20;17;15;5;2;0;0;0;65
"310690 Bicas";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"310710 Boa Esperança";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"310740 Bom Despacho";0;0;0;0;0;1;1;1;0;1;0;0;0;4
"310790 Bom Repouso";0;0;0;0;0;0;0;0;0;2;0;0;0;2
"310800 Bom Sucesso";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"310830 Borda da Mata";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"310860 Brasília de Minas";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"310900 Brumadinho";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"310925 Bugre";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"310930 Buritis";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"310940 Buritizeiro";0;0;0;0;0;0;1;1;0;0;0;0;0;2
