 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Minas Gerais
Período:2018
"Município (Res)";"Masculino";"Feminino";"Total"
"310090 Águas Formosas";3;0;3
"310110 Aimorés";1;0;1
"310150 Além Paraíba";6;1;7
"310160 Alfenas";7;1;8
"310170 Almenara";2;0;2
"310180 Alpercata";1;0;1
"310190 Alpinópolis";1;0;1
"310210 Alto Rio Doce";2;0;2
"310230 Alvinópolis";1;0;1
"310250 Amparo do Serra";1;0;1
"310260 Andradas";3;0;3
"310280 Andrelândia";2;0;2
"310350 Araguari";9;6;15
"310375 Araporã";1;0;1
"310400 Araxá";22;7;29
"310420 Arcos";1;2;3
"310450 Arinos";0;1;1
"310460 Astolfo Dutra";0;1;1
"310480 Augusto de Lima";2;0;2
"310540 Barão de Cocais";5;1;6
"310560 Barbacena";14;1;15
"310620 Belo Horizonte";543;124;667
"310640 Belo Vale";0;1;1
"310670 Betim";58;18;76
"310680 Bias Fortes";0;1;1
"310710 Boa Esperança";1;0;1
"310720 Bocaina de Minas";1;0;1
"310740 Bom Despacho";3;0;3
"310790 Bom Repouso";1;0;1
"310800 Bom Sucesso";3;0;3
"310890 Brasópolis";0;1;1
"310900 Brumadinho";3;0;3
"310950 Cabo Verde";1;0;1
"310970 Cachoeira de Minas";1;0;1
"311000 Caeté";2;1;3
"311010 Caiana";0;1;1
"311030 Caldas";1;0;1
"311050 Camanducaia";1;0;1
"311060 Cambuí";4;0;4
"311070 Cambuquira";1;0;1
"311120 Campo Belo";1;1;2
"311140 Campo Florido";0;1;1
"311150 Campos Altos";3;2;5
"311190 Cana Verde";0;1;1
"311230 Capelinha";3;1;4
"311265 Capitão Andrade";1;0;1
"311300 Caraí";1;1;2
"311330 Carangola";5;1;6
"311340 Caratinga";0;1;1
"311360 Careaçu";1;0;1
"311370 Carlos Chagas";2;2;4
"311390 Carmo da Cachoeira";1;0;1
"311420 Carmo do Cajuru";1;0;1
"311430 Carmo do Paranaíba";3;0;3
"311440 Carmo do Rio Claro";3;0;3
"311530 Cataguases";3;1;4
"311560 Cedro do Abaeté";1;0;1
"311660 Cláudio";2;1;3
"311690 Comendador Gomes";1;0;1
"311730 Conceição das Alagoas";1;0;1
"311770 Conceição do Rio Verde";1;1;2
"311780 Conceição dos Ouros";2;0;2
"311787 Confins";1;0;1
"311800 Congonhas";1;0;1
"311830 Conselheiro Lafaiete";10;6;16
"311840 Conselheiro Pena";1;1;2
"311860 Contagem";74;29;103
"311890 Cordisburgo";1;0;1
"311930 Coromandel";0;1;1
"311940 Coronel Fabriciano";6;4;10
"312020 Cristais";1;0;1
"312087 Curral de Dentro";1;1;2
"312090 Curvelo";2;1;3
"312100 Datas";1;0;1
"312130 Descoberto";1;0;1
"312160 Diamantina";6;0;6
"312180 Dionísio";1;0;1
"312230 Divinópolis";55;24;79
"312270 Dom Silvério";1;0;1
"312380 Engenheiro Navarro";0;2;2
"312410 Esmeraldas";5;1;6
"312420 Espera Feliz";1;1;2
"312510 Extrema";3;0;3
"312590 Ferros";1;0;1
"312595 Fervedouro";1;0;1
"312610 Formiga";7;2;9
"312640 Fortuna de Minas";2;0;2
"312690 Frei Inocêncio";2;0;2
"312695 Frei Lagonegro";1;0;1
"312710 Frutal";12;3;15
"312770 Governador Valadares";37;19;56
"312800 Guanhães";3;1;4
"312870 Guaxupé";4;0;4
"312880 Guidoval";1;0;1
"312950 Ibiá";0;3;3
"312980 Ibirité";20;7;27
"312990 Ibitiúra de Minas";1;0;1
"313010 Igarapé";1;0;1
"313030 Iguatama";1;0;1
"313115 Ipaba";1;0;1
"313130 Ipatinga";29;13;42
"313160 Iraí de Minas";1;0;1
"313170 Itabira";6;6;12
"313180 Itabirinha";1;0;1
"313190 Itabirito";3;0;3
"313230 Itaipé";0;1;1
"313240 Itajubá";5;2;7
"313250 Itamarandiba";1;0;1
"313270 Itambacuri";0;1;1
"313300 Itamonte";1;0;1
"313330 Itaobim";4;1;5
"313360 Itapeva";1;0;1
"313375 Itaú de Minas";1;0;1
"313380 Itaúna";1;2;3
"313410 Itueta";1;0;1
"313420 Ituiutaba";9;4;13
"313440 Iturama";1;0;1
"313460 Jaboticatubas";1;0;1
"313490 Jacutinga";1;0;1
"313510 Janaúba";3;4;7
"313520 Januária";0;1;1
"313550 Jequeri";3;1;4
"313620 João Monlevade";7;3;10
"313670 Juiz de Fora";120;38;158
"313680 Juramento";1;0;1
"313700 Ladainha";1;0;1
"313710 Lagamar";1;0;1
"313720 Lagoa da Prata";4;1;5
"313750 Lagoa Formosa";0;1;1
"313753 Lagoa Grande";0;1;1
"313760 Lagoa Santa";4;0;4
"313820 Lavras";7;1;8
"313840 Leopoldina";1;0;1
"313850 Liberdade";1;0;1
"313860 Lima Duarte";1;0;1
"313880 Luz";1;0;1
"313940 Manhuaçu";8;6;14
"313950 Manhumirim";1;0;1
"313960 Mantena";1;1;2
"314000 Mariana";3;0;3
"314015 Mário Campos";2;0;2
"314050 Martinho Campos";2;2;4
"314070 Mateus Leme";0;1;1
"317150 Mathias Lobato";1;0;1
"314080 Matias Barbosa";2;0;2
"314110 Matozinhos";2;2;4
"314120 Matutina";1;0;1
"314140 Medina";1;1;2
"314180 Minas Novas";2;1;3
"314210 Miradouro";1;0;1
"314220 Miraí";1;0;1
"314240 Moema";1;0;1
"314280 Monte Alegre de Minas";1;0;1
"314310 Monte Carmelo";1;2;3
"314340 Monte Sião";3;0;3
"314330 Montes Claros";32;4;36
"314350 Morada Nova de Minas";1;0;1
"314390 Muriaé";21;5;26
"314400 Mutum";1;2;3
"314410 Muzambinho";1;1;2
"314430 Nanuque";5;1;6
"314437 Natalândia";1;0;1
"314450 Nazareno";0;1;1
"314470 Nova Era";1;0;1
"314480 Nova Lima";8;2;10
"314500 Nova Ponte";1;0;1
"314520 Nova Serrana";4;0;4
