 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Minas Gerais
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"310060 Água Boa";0;0;0;1;0;1
"310090 Águas Formosas";0;0;0;4;0;4
"310110 Aimorés";1;0;0;1;0;2
"310150 Além Paraíba";4;2;0;6;0;12
"310160 Alfenas";7;2;0;2;0;11
"310170 Almenara";2;0;0;2;0;4
"310190 Alpinópolis";1;0;0;0;0;1
"310200 Alterosa";1;0;0;0;0;1
"310260 Andradas";1;1;0;0;0;2
"310280 Andrelândia";1;0;0;0;0;1
"310300 Antônio Dias";0;0;0;1;0;1
"310350 Araguari";6;0;0;5;0;11
"310375 Araporã";0;0;0;1;0;1
"310390 Araújos";1;0;0;1;0;2
"310400 Araxá";15;0;0;6;0;21
"310420 Arcos";2;0;0;2;0;4
"310470 Ataléia";0;0;0;1;0;1
"310480 Augusto de Lima";1;0;0;0;0;1
"310530 Bandeira do Sul";1;0;0;0;0;1
"310540 Barão de Cocais";1;1;0;0;0;2
"310550 Barão de Monte Alto";1;0;0;0;0;1
"310560 Barbacena";6;1;0;2;0;9
"310620 Belo Horizonte";233;49;11;248;2;543
"310640 Belo Vale";1;0;0;0;0;1
"310650 Berilo";0;0;0;1;0;1
"310670 Betim";17;4;0;36;2;59
"310690 Bicas";1;0;0;0;0;1
"310730 Bocaiúva";2;0;0;1;0;3
"310740 Bom Despacho";3;0;0;1;0;4
"310780 Bom Jesus do Galho";0;0;0;1;0;1
"310790 Bom Repouso";1;0;0;0;0;1
"310820 Bonfinópolis de Minas";0;1;0;0;0;1
"310855 Brasilândia de Minas";0;0;0;2;0;2
"310900 Brumadinho";2;0;0;1;0;3
"310945 Cabeceira Grande";1;0;0;0;0;1
"311000 Caeté";0;1;0;0;0;1
"311060 Cambuí";0;0;0;1;0;1
"311070 Cambuquira";1;0;0;0;0;1
"311090 Campanha";1;0;0;0;0;1
"311110 Campina Verde";1;0;0;0;0;1
"311120 Campo Belo";1;0;0;1;0;2
"311150 Campos Altos";0;0;0;1;0;1
"311205 Cantagalo";1;0;0;0;0;1
"311230 Capelinha";1;0;0;2;0;3
"311260 Capinópolis";0;0;0;1;0;1
"311270 Capitão Enéas";1;0;0;0;0;1
"311280 Capitólio";1;0;0;0;0;1
"311300 Caraí";0;0;0;2;0;2
"311320 Carandaí";1;0;0;0;0;1
"311330 Carangola";2;1;0;1;0;4
"311340 Caratinga";1;0;0;2;0;3
"311350 Carbonita";0;0;0;1;0;1
"311370 Carlos Chagas";1;0;0;0;0;1
"311420 Carmo do Cajuru";1;0;0;0;0;1
"311440 Carmo do Rio Claro";1;0;0;0;0;1
"311455 Carneirinho";0;1;0;0;0;1
"311530 Cataguases";3;3;0;3;0;9
"311545 Catuji";0;0;0;1;0;1
"311560 Cedro do Abaeté";1;0;0;0;0;1
"311580 Centralina";0;0;0;1;0;1
"311660 Cláudio";1;0;0;3;0;4
"311690 Comendador Gomes";0;0;0;1;0;1
"311710 Conceição da Aparecida";1;0;0;0;0;1
"311730 Conceição das Alagoas";1;0;0;0;0;1
"311750 Conceição do Mato Dentro";0;1;0;0;0;1
"311780 Conceição dos Ouros";1;0;0;0;0;1
"311800 Congonhas";0;0;0;1;0;1
"311830 Conselheiro Lafaiete";11;1;1;4;0;17
"311840 Conselheiro Pena";0;0;0;1;0;1
"311860 Contagem";41;17;3;71;2;134
"311880 Coração de Jesus";0;0;0;1;0;1
