 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Minas Gerais
Período:2020
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"310080 Aguanil";0;0;0;0;0;0;0;0;1;1
"310110 Aimorés";0;0;0;1;0;0;0;0;0;1
"310150 Além Paraíba";0;1;0;2;0;0;0;0;0;3
"310160 Alfenas";0;0;0;3;1;1;2;0;2;9
"310170 Almenara";0;1;0;0;0;0;0;0;0;1
"310180 Alpercata";0;1;0;0;0;0;0;0;0;1
"310200 Alterosa";0;0;0;0;0;1;0;0;0;1
"310260 Andradas";0;0;0;0;1;0;0;0;0;1
"310340 Araçuaí";0;0;0;0;1;1;0;0;1;3
"310350 Araguari";0;0;0;0;2;1;3;0;0;6
"310375 Araporã";0;0;0;1;1;0;0;0;0;2
"310390 Araújos";0;0;0;0;0;0;1;0;0;1
"310400 Araxá";0;0;1;9;1;5;8;1;0;25
"310450 Arinos";0;0;0;0;0;0;2;0;0;2
"310470 Ataléia";0;0;0;1;0;0;0;0;0;1
"310490 Baependi";0;0;0;1;0;0;0;0;0;1
"310510 Bambuí";0;0;0;1;0;0;0;0;0;1
"310550 Barão de Monte Alto";0;0;0;0;0;0;0;0;1;1
"310560 Barbacena";1;0;1;4;0;2;1;3;0;12
"310620 Belo Horizonte";3;16;6;12;22;35;61;15;56;226
"310670 Betim";1;1;3;6;8;0;11;0;3;33
"310710 Boa Esperança";0;1;0;0;0;0;0;0;0;1
"310730 Bocaiúva";0;0;1;0;0;2;1;0;0;4
"310740 Bom Despacho";0;0;0;1;1;0;0;0;0;2
"310850 Botumirim";0;0;0;0;0;1;0;0;0;1
"310855 Brasilândia de Minas";0;1;0;0;0;1;0;0;0;2
"310890 Brasópolis";0;0;0;1;0;0;0;0;0;1
"310920 Buenópolis";0;0;0;0;0;0;1;0;0;1
"310940 Buritizeiro";0;0;0;0;0;0;1;0;0;1
"310990 Caetanópolis";0;0;0;0;0;1;0;0;0;1
"311060 Cambuí";0;0;0;0;0;1;0;0;0;1
"311070 Cambuquira";0;0;0;0;0;0;0;0;1;1
"311090 Campanha";0;0;0;0;0;0;0;0;1;1
"311120 Campo Belo";0;1;0;0;0;1;1;0;0;3
"311130 Campo do Meio";0;0;0;0;0;0;0;0;1;1
"311230 Capelinha";0;0;1;0;0;0;0;0;0;1
"311260 Capinópolis";0;0;0;0;0;1;0;0;0;1
"311300 Caraí";1;0;0;0;1;0;0;0;0;2
"311330 Carangola";0;1;1;1;0;1;0;0;0;4
"311340 Caratinga";0;0;0;1;1;0;2;0;2;6
"311370 Carlos Chagas";0;0;0;0;0;0;0;0;1;1
"311390 Carmo da Cachoeira";0;0;1;1;0;0;0;0;0;2
"311400 Carmo da Mata";0;0;0;1;0;0;0;0;0;1
"311420 Carmo do Cajuru";0;0;0;0;1;0;0;0;0;1
"311440 Carmo do Rio Claro";0;0;0;0;1;0;0;0;0;1
"311530 Cataguases";0;2;1;0;0;0;1;0;0;4
"311547 Catuti";0;1;0;0;0;0;0;0;0;1
"311610 Chapada do Norte";0;2;0;0;0;0;0;0;0;2
"311660 Cláudio";0;0;0;0;0;1;0;0;0;1
"311710 Conceição da Aparecida";0;0;0;0;0;0;1;0;0;1
"311790 Congonhal";1;0;0;1;0;0;0;0;0;2
"311800 Congonhas";0;0;0;0;0;0;0;0;1;1
"311820 Conquista";0;0;0;1;0;0;1;0;0;2
"311830 Conselheiro Lafaiete";0;0;0;0;1;0;3;0;1;5
"311840 Conselheiro Pena";0;0;0;0;0;0;0;1;0;1
"311860 Contagem";0;1;1;2;3;5;6;4;6;28
"311930 Coromandel";0;0;0;0;1;0;0;0;0;1
"311940 Coronel Fabriciano";0;1;0;3;0;1;3;0;1;9
"312015 Crisólita";0;0;0;0;0;0;0;0;1;1
"312020 Cristais";1;0;0;0;0;0;0;0;0;1
"312090 Curvelo";0;0;0;0;0;0;0;0;1;1
"312110 Delfim Moreira";0;0;0;0;1;0;0;0;0;1
"312150 Desterro do Melo";0;0;0;0;0;0;0;0;1;1
"312160 Diamantina";0;2;0;1;0;1;0;0;0;4
"312230 Divinópolis";0;10;4;7;6;10;13;6;5;61
"312300 Dores de Campos";0;0;0;0;1;1;0;0;0;2
"312340 Doresópolis";0;0;0;0;0;0;1;0;0;1
"312410 Esmeraldas";0;0;0;0;1;0;2;0;0;3
"312430 Espinosa";0;0;0;0;0;0;1;0;0;1
"312570 Felixlândia";0;0;0;0;1;0;0;0;0;1
"312595 Fervedouro";0;0;0;1;0;0;0;0;0;1
"312610 Formiga";0;0;0;1;1;0;0;1;1;4
"312710 Frutal";0;3;3;3;1;1;0;0;1;12
"312720 Funilândia";0;0;0;0;0;1;0;0;0;1
"312770 Governador Valadares";2;3;1;7;0;2;6;1;3;25
"312810 Guapé";0;0;0;1;1;0;0;0;0;2
"312870 Guaxupé";0;0;0;0;0;0;2;0;1;3
"312950 Ibiá";0;0;0;2;0;0;0;0;0;2
"312980 Ibirité";0;0;1;3;1;1;4;1;2;13
"313005 Icaraí de Minas";1;0;0;0;0;0;0;0;0;1
"313010 Igarapé";0;0;0;0;0;1;0;0;0;1
"313040 Ijaci";0;0;0;0;0;0;1;0;0;1
"313130 Ipatinga";0;1;2;4;2;8;20;2;4;43
"313170 Itabira";2;0;0;0;1;0;2;0;0;5
"313230 Itaipé";0;1;0;0;0;0;0;0;0;1
"313240 Itajubá";0;0;1;1;1;1;1;0;1;6
"313270 Itambacuri";0;0;0;0;2;0;0;0;0;2
"313290 Itamogi";1;0;0;0;0;0;0;0;0;1
"313300 Itamonte";0;0;0;1;0;0;0;0;0;1
"313320 Itanhomi";0;0;0;0;1;0;0;0;0;1
"313330 Itaobim";0;0;0;1;2;1;0;0;0;4
"313380 Itaúna";0;5;0;2;1;1;1;0;0;10
"313420 Ituiutaba";0;1;2;3;6;3;4;1;2;22
"313440 Iturama";0;0;0;0;0;0;0;0;1;1
"313470 Jacinto";0;1;0;0;0;0;1;0;0;2
"313510 Janaúba";0;1;1;2;0;0;1;0;0;5
"313520 Januária";0;1;0;0;0;1;0;0;0;2
"313620 João Monlevade";0;0;0;0;0;1;0;0;0;1
"313630 João Pinheiro";0;0;0;0;0;0;1;0;1;2
"313665 Juatuba";0;0;1;0;0;0;0;0;0;1
"313670 Juiz de Fora";1;11;1;25;5;20;27;6;13;109
"313700 Ladainha";1;0;0;0;0;0;0;0;0;1
"313720 Lagoa da Prata";1;0;0;0;0;1;0;0;0;2
"313760 Lagoa Santa";0;0;0;1;0;0;1;0;0;2
"313800 Laranjal";1;0;0;0;0;0;0;0;0;1
"313820 Lavras";1;1;1;0;0;1;1;1;0;6
"313840 Leopoldina";0;1;0;0;0;0;0;0;0;1
"313862 Limeira do Oeste";0;1;0;0;1;0;0;0;0;2
"313880 Luz";0;0;0;0;0;0;1;0;0;1
"313940 Manhuaçu";0;3;0;2;0;1;0;0;2;8
"313950 Manhumirim";0;0;0;1;0;0;0;0;0;1
"314000 Mariana";0;2;0;1;0;0;0;0;0;3
"314053 Martins Soares";0;0;0;1;0;0;0;0;0;1
"314070 Mateus Leme";0;1;0;1;1;0;1;0;0;4
"314090 Matipó";0;1;0;0;0;0;0;0;0;1
"314110 Matozinhos";0;0;0;0;0;1;0;0;0;1
"314220 Miraí";0;0;0;0;0;1;0;0;0;1
"314270 Montalvânia";0;0;0;0;0;0;1;0;0;1
"314280 Monte Alegre de Minas";0;0;0;0;1;0;0;0;0;1
"314310 Monte Carmelo";0;0;0;1;1;1;0;0;0;3
"314320 Monte Santo de Minas";0;0;1;0;0;0;0;0;0;1
"314330 Montes Claros";0;0;1;2;2;3;8;3;8;27
"314390 Muriaé";0;2;0;6;2;2;0;0;2;14
"314400 Mutum";0;0;0;1;0;0;0;0;0;1
"314430 Nanuque";0;0;1;0;0;1;1;0;0;3
"314480 Nova Lima";0;2;0;5;0;1;4;1;1;14
"314500 Nova Ponte";0;0;1;0;0;0;0;0;0;1
"314520 Nova Serrana";0;1;0;0;0;1;0;0;0;2
"314535 Novo Oriente de Minas";0;0;0;0;0;0;1;0;0;1
"314560 Oliveira";0;2;1;0;0;0;0;0;0;3
"314600 Ouro Fino";0;0;0;0;0;0;1;0;0;1
"314610 Ouro Preto";0;0;0;3;0;2;2;0;4;11
"314630 Padre Paraíso";2;0;0;0;0;0;0;0;0;2
"314710 Pará de Minas";0;0;1;1;0;0;1;1;1;5
"314700 Paracatu";0;0;0;0;0;1;0;0;0;1
"314730 Paraisópolis";0;0;0;1;0;0;1;0;0;2
"314740 Paraopeba";0;0;1;0;1;1;0;0;0;3
"314790 Passos";0;0;0;3;1;3;3;2;1;13
"314795 Patis";0;1;0;0;0;0;0;0;0;1
"314800 Patos de Minas";0;3;0;3;2;0;2;0;0;10
"314810 Patrocínio";0;1;0;1;2;0;1;0;0;5
"314890 Pedra do Indaiá";0;0;0;0;0;0;0;0;1;1
"314915 Pedras de Maria da Cruz";0;1;0;0;0;0;0;0;0;1
"314970 Perdigão";0;0;0;0;0;0;1;0;0;1
"314995 Periquito";0;0;1;0;0;0;0;0;0;1
"315030 Piedade do Rio Grande";0;0;0;0;0;0;0;0;1;1
"315050 Pimenta";0;1;1;0;0;0;1;0;0;3
"315060 Piracema";0;0;0;1;0;1;0;0;0;2
"315090 Piranguçu";0;0;0;0;1;0;0;0;0;1
"315110 Pirapetinga";0;0;0;1;0;0;1;0;0;2
"315120 Pirapora";1;2;0;2;1;0;0;0;0;6
"315130 Piraúba";0;0;0;0;0;0;1;0;0;1
"315150 Piumhi";0;0;0;2;1;1;0;0;0;4
"315160 Planura";0;0;0;0;1;0;0;0;1;2
"315180 Poços de Caldas";0;0;0;2;0;1;1;0;2;6
"315210 Ponte Nova";1;0;0;1;1;0;2;0;1;6
"315250 Pouso Alegre";0;0;0;1;2;2;3;1;4;13
"315360 Prudente de Morais";0;0;0;0;0;0;1;0;0;1
"315410 Recreio";0;0;0;1;0;0;1;0;0;2
"315430 Resplendor";0;0;0;1;0;0;0;0;0;1
"315460 Ribeirão das Neves";0;3;0;2;3;0;1;2;1;12
"315480 Rio Acima";0;0;0;0;0;0;1;0;0;1
"315550 Rio Paranaíba";0;1;0;1;0;0;0;0;0;2
"315670 Sabará";0;0;2;1;1;1;2;0;1;8
"315690 Sacramento";0;1;0;0;0;0;0;0;1;2
"315720 Santa Bárbara";0;0;1;1;0;0;0;0;0;2
"315750 Santa Efigênia de Minas";0;0;0;0;0;0;0;1;0;1
"315770 Santa Juliana";0;0;0;0;0;1;0;0;0;1
"315780 Santa Luzia";0;0;0;3;1;0;6;1;1;12
"315960 Santa Rita do Sapucaí";0;1;0;0;0;0;1;1;0;3
"315850 Santana de Pirapama";0;0;0;0;1;0;0;0;0;1
"315895 Santana do Paraíso";0;0;0;0;0;0;1;0;0;1
"315990 Santo Antônio do Amparo";0;1;0;0;0;0;0;0;0;1
"316000 Santo Antônio do Aventureiro";0;0;0;1;0;0;0;0;0;1
"316030 Santo Antônio do Jacinto";0;1;0;0;0;0;0;0;0;1
"316070 Santos Dumont";0;1;0;0;0;0;1;0;0;2
"316110 São Francisco";0;0;0;1;0;0;0;0;0;1
"316170 São Gonçalo do Abaeté";0;0;0;0;0;0;1;0;0;1
"316190 São Gonçalo do Rio Abaixo";0;0;0;1;0;0;0;0;0;1
"316210 São Gotardo";0;1;0;1;1;1;0;0;0;4
"316220 São João Batista do Glória";1;0;0;0;0;0;0;0;0;1
"316250 São João del Rei";1;0;2;1;1;2;3;0;0;10
"316290 São João Nepomuceno";0;0;0;0;0;0;1;0;0;1
"316294 São José da Barra";0;0;0;0;1;0;0;0;0;1
"316295 São José da Lapa";0;0;0;0;0;1;1;0;0;2
"316350 São José do Jacuri";0;0;0;1;0;0;0;0;0;1
"316370 São Lourenço";0;0;0;1;2;0;0;0;0;3
"316470 São Sebastião do Paraíso";0;0;0;1;0;2;0;0;0;3
"316550 Sardoá";0;0;1;0;0;0;0;0;0;1
"316553 Sarzedo";0;0;0;0;0;0;0;0;1;1
"316557 Senador Amaral";0;0;0;0;0;0;1;0;0;1
"316720 Sete Lagoas";0;1;1;12;3;6;8;2;1;34
"316760 Simonésia";0;0;0;1;0;0;0;0;0;1
"316790 Tabuleiro";0;0;0;0;0;0;1;0;0;1
"316860 Teófilo Otoni";4;1;2;7;1;0;3;0;1;19
"316870 Timóteo";0;0;0;1;1;0;6;1;1;10
"316910 Toledo";0;0;0;0;0;1;0;0;0;1
"316930 Três Corações";0;1;1;0;4;0;1;0;0;7
"316940 Três Pontas";0;1;0;1;0;0;2;0;1;5
"316960 Tupaciguara";0;0;0;0;0;1;1;0;0;2
"316990 Ubá";0;5;1;5;8;2;1;0;2;24
"317010 Uberaba";1;2;2;13;7;4;17;1;8;55
"317020 Uberlândia";0;3;5;13;38;7;22;4;7;99
"317040 Unaí";0;0;0;1;3;1;0;0;0;5
"317065 Vargem Grande do Rio Pardo";0;0;0;0;2;0;0;0;0;2
"317070 Varginha";0;1;2;3;1;1;6;1;4;19
"317100 Vazante";0;0;0;0;0;1;0;0;0;1
"317120 Vespasiano";0;0;0;4;0;1;5;0;0;10
"317130 Viçosa";0;0;0;0;0;1;0;0;0;1
"317200 Visconde do Rio Branco";0;0;0;0;1;0;0;0;0;1
"Total";30;122;64;242;183;176;333;65;176;1391
