 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Minas Gerais
Período:2021
"Município (Res)";"2021";"Total"
"310090 Águas Formosas";3;3
"310150 Além Paraíba";16;16
"310160 Alfenas";10;10
"310180 Alpercata";2;2
"310240 Alvorada de Minas";1;1
"310260 Andradas";5;5
"310300 Antônio Dias";1;1
"310320 Araçaí";1;1
"310340 Araçuaí";4;4
"310350 Araguari";13;13
"310400 Araxá";16;16
"310420 Arcos";1;1
"310430 Areado";1;1
"310470 Ataléia";1;1
"310480 Augusto de Lima";1;1
"310510 Bambuí";2;2
"310530 Bandeira do Sul";1;1
"310540 Barão de Cocais";4;4
"310560 Barbacena";12;12
"310600 Bela Vista de Minas";1;1
"310620 Belo Horizonte";476;476
"310670 Betim";67;67
"310690 Bicas";1;1
"310710 Boa Esperança";2;2
"310730 Bocaiúva";2;2
"310740 Bom Despacho";1;1
"310860 Brasília de Minas";1;1
"310890 Brasópolis";1;1
"310900 Brumadinho";2;2
"310920 Buenópolis";1;1
"310945 Cabeceira Grande";1;1
"310970 Cachoeira de Minas";1;1
"310990 Caetanópolis";1;1
"311000 Caeté";1;1
"311060 Cambuí";1;1
"311070 Cambuquira";3;3
"311090 Campanha";1;1
"311120 Campo Belo";1;1
"311200 Candeias";2;2
"311230 Capelinha";2;2
"311250 Capim Branco";2;2
"311320 Carandaí";1;1
"311330 Carangola";3;3
"311340 Caratinga";7;7
"311370 Carlos Chagas";2;2
"311390 Carmo da Cachoeira";2;2
"311420 Carmo do Cajuru";1;1
"311430 Carmo do Paranaíba";1;1
"311440 Carmo do Rio Claro";1;1
"311455 Carneirinho";1;1
"311530 Cataguases";8;8
"311545 Catuji";1;1
"311650 Claro dos Poções";1;1
"311710 Conceição da Aparecida";2;2
"311730 Conceição das Alagoas";1;1
"311750 Conceição do Mato Dentro";1;1
"311780 Conceição dos Ouros";2;2
"311790 Congonhal";1;1
"311800 Congonhas";2;2
"311830 Conselheiro Lafaiete";16;16
"311860 Contagem";78;78
"311930 Coromandel";1;1
"311940 Coronel Fabriciano";7;7
"311995 Córrego Fundo";1;1
"312087 Curral de Dentro";1;1
"312120 Delfinópolis";1;1
"312160 Diamantina";10;10
"312200 Divino";1;1
"312230 Divinópolis";83;83
"312247 Dom Bosco";1;1
"312300 Dores de Campos";1;1
"312320 Dores do Indaiá";1;1
"312360 Elói Mendes";3;3
"312410 Esmeraldas";5;5
"312430 Espinosa";2;2
"312440 Espírito Santo do Dourado";1;1
"312480 Estrela do Sul";1;1
"312510 Extrema";11;11
"312570 Felixlândia";1;1
"312595 Fervedouro";2;2
"312600 Florestal";1;1
"312690 Frei Inocêncio";1;1
"312700 Fronteira";1;1
"312710 Frutal";24;24
"312770 Governador Valadares";48;48
"312800 Guanhães";1;1
"312870 Guaxupé";2;2
"312880 Guidoval";1;1
"312940 Ibertioga";1;1
"312980 Ibirité";28;28
"313010 Igarapé";2;2
"313115 Ipaba";2;2
"313130 Ipatinga";32;32
"313150 Ipuiúna";2;2
"313170 Itabira";11;11
"313180 Itabirinha";1;1
"313190 Itabirito";1;1
"313210 Itacarambi";1;1
"313240 Itajubá";5;5
"313270 Itambacuri";1;1
"313330 Itaobim";6;6
"313380 Itaúna";16;16
"313420 Ituiutaba";17;17
"313440 Iturama";2;2
"313460 Jaboticatubas";1;1
"313510 Janaúba";11;11
"313600 Joaíma";1;1
"313620 João Monlevade";13;13
"313630 João Pinheiro";4;4
"313665 Juatuba";3;3
"313670 Juiz de Fora";112;112
"313740 Lagoa Dourada";1;1
"313750 Lagoa Formosa";1;1
"313753 Lagoa Grande";2;2
"313760 Lagoa Santa";2;2
"313770 Lajinha";2;2
"313820 Lavras";6;6
"313840 Leopoldina";4;4
"313880 Luz";1;1
"313910 Madre de Deus de Minas";2;2
"313940 Manhuaçu";18;18
"313960 Mantena";1;1
"314000 Mariana";2;2
"314015 Mário Campos";1;1
"314070 Mateus Leme";2;2
"314085 Matias Cardoso";1;1
"314090 Matipó";1;1
"314110 Matozinhos";2;2
"314170 Mesquita";1;1
"314210 Miradouro";1;1
"314220 Miraí";1;1
"314270 Montalvânia";1;1
"314310 Monte Carmelo";1;1
"314330 Montes Claros";47;47
"314390 Muriaé";26;26
"314410 Muzambinho";3;3
"314430 Nanuque";1;1
"314460 Nepomuceno";1;1
"314480 Nova Lima";16;16
"314505 Nova Porteirinha";1;1
"314510 Nova Resende";1;1
"314520 Nova Serrana";2;2
"314560 Oliveira";1;1
"314590 Ouro Branco";1;1
"314610 Ouro Preto";6;6
"314630 Padre Paraíso";1;1
"314650 Pains";1;1
"314710 Pará de Minas";7;7
"314700 Paracatu";6;6
"314740 Paraopeba";1;1
"314760 Passa Quatro";1;1
"314790 Passos";8;8
"314800 Patos de Minas";12;12
"314810 Patrocínio";7;7
"314820 Patrocínio do Muriaé";1;1
"314870 Pedra Azul";1;1
"314915 Pedras de Maria da Cruz";2;2
"314920 Pedrinópolis";1;1
"314930 Pedro Leopoldo";3;3
"314990 Perdões";1;1
"315053 Pingo-d'Água";1;1
"315120 Pirapora";8;8
"315140 Pitangui";1;1
"315150 Piumhi";3;3
"315160 Planura";1;1
"315180 Poços de Caldas";20;20
"315190 Pocrane";1;1
"315200 Pompéu";1;1
"315210 Ponte Nova";4;4
"315230 Porto Firme";3;3
"315250 Pouso Alegre";31;31
"315260 Pouso Alto";2;2
"315280 Prata";4;4
"315390 Raposos";2;2
"315400 Raul Soares";1;1
"315430 Resplendor";1;1
"315460 Ribeirão das Neves";37;37
"315470 Ribeirão Vermelho";1;1
"315540 Rio Novo";1;1
"315550 Rio Paranaíba";2;2
"315560 Rio Pardo de Minas";2;2
"315580 Rio Pomba";1;1
"315600 Rio Vermelho";1;1
"315630 Rodeiro";2;2
"315645 Rosário da Limeira";1;1
"315660 Rubim";1;1
"315670 Sabará";18;18
"315690 Sacramento";1;1
"315700 Salinas";1;1
"315720 Santa Bárbara";3;3
"315770 Santa Juliana";1;1
"315780 Santa Luzia";22;22
"315820 Santa Maria do Suaçuí";1;1
"315960 Santa Rita do Sapucaí";1;1
"315895 Santana do Paraíso";1;1
"316070 Santos Dumont";5;5
"316100 São Domingos do Prata";1;1
"316110 São Francisco";3;3
"316160 São Geraldo da Piedade";1;1
"316200 São Gonçalo do Sapucaí";2;2
"316210 São Gotardo";6;6
"316240 São João da Ponte";1;1
"316250 São João del Rei";7;7
"316255 São João do Manhuaçu";1;1
"316292 São Joaquim de Bicas";5;5
"316295 São José da Lapa";1;1
"316320 São José do Alegre";1;1
"316370 São Lourenço";11;11
"316470 São Sebastião do Paraíso";10;10
"316520 São Thomé das Letras";1;1
"316500 São Tiago";1;1
"316550 Sardoá";1;1
"316553 Sarzedo";3;3
"316680 Serra do Salitre";1;1
"316670 Serra dos Aimorés";3;3
"316720 Sete Lagoas";74;74
"316760 Simonésia";1;1
"316860 Teófilo Otoni";16;16
"316870 Timóteo";11;11
"316900 Tocantins";1;1
"316910 Toledo";1;1
"316930 Três Corações";4;4
"316935 Três Marias";1;1
"316940 Três Pontas";6;6
"316950 Tumiritinga";1;1
"316960 Tupaciguara";1;1
"316990 Ubá";21;21
"317000 Ubaí";1;1
"317005 Ubaporanga";2;2
"317010 Uberaba";79;79
"317020 Uberlândia";205;205
"317040 Unaí";10;10
"317050 Urucânia";1;1
"317070 Varginha";24;24
"317100 Vazante";2;2
"317115 Vermelho Novo";1;1
"317120 Vespasiano";20;20
"317130 Viçosa";5;5
"Total";2232;2232
