 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Minas Gerais
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"310090 Águas Formosas";0;1;0;2;0;0;3
"310150 Além Paraíba";10;2;1;3;0;0;16
"310160 Alfenas";6;1;0;3;0;0;10
"310180 Alpercata";0;0;0;2;0;0;2
"310240 Alvorada de Minas";0;0;0;1;0;0;1
"310260 Andradas";5;0;0;0;0;0;5
"310300 Antônio Dias";1;0;0;0;0;0;1
"310320 Araçaí";0;0;0;1;0;0;1
"310340 Araçuaí";1;0;0;3;0;0;4
"310350 Araguari";7;0;0;6;0;0;13
"310400 Araxá";9;2;0;5;0;0;16
"310420 Arcos";1;0;0;0;0;0;1
"310430 Areado";1;0;0;0;0;0;1
"310470 Ataléia";0;0;0;1;0;0;1
"310480 Augusto de Lima";0;0;0;1;0;0;1
"310510 Bambuí";1;0;0;1;0;0;2
"310530 Bandeira do Sul";1;0;0;0;0;0;1
"310540 Barão de Cocais";0;0;0;4;0;0;4
"310560 Barbacena";8;2;0;2;0;0;12
"310600 Bela Vista de Minas";0;0;0;1;0;0;1
"310620 Belo Horizonte";207;58;15;194;0;2;476
"310670 Betim";24;8;0;35;0;0;67
"310690 Bicas";1;0;0;0;0;0;1
"310710 Boa Esperança";1;0;0;1;0;0;2
"310730 Bocaiúva";1;0;0;1;0;0;2
"310740 Bom Despacho";1;0;0;0;0;0;1
"310860 Brasília de Minas";0;0;0;1;0;0;1
"310890 Brasópolis";0;1;0;0;0;0;1
"310900 Brumadinho";0;1;0;1;0;0;2
"310920 Buenópolis";0;0;0;1;0;0;1
"310945 Cabeceira Grande";0;1;0;0;0;0;1
"310970 Cachoeira de Minas";1;0;0;0;0;0;1
"310990 Caetanópolis";0;1;0;0;0;0;1
"311000 Caeté";0;0;0;1;0;0;1
"311060 Cambuí";1;0;0;0;0;0;1
"311070 Cambuquira";0;0;0;3;0;0;3
"311090 Campanha";1;0;0;0;0;0;1
"311120 Campo Belo";1;0;0;0;0;0;1
"311200 Candeias";0;0;0;2;0;0;2
"311230 Capelinha";1;0;0;1;0;0;2
"311250 Capim Branco";0;1;0;1;0;0;2
"311320 Carandaí";0;0;0;1;0;0;1
"311330 Carangola";2;0;0;1;0;0;3
"311340 Caratinga";4;0;0;3;0;0;7
"311370 Carlos Chagas";1;0;0;1;0;0;2
"311390 Carmo da Cachoeira";1;0;0;1;0;0;2
"311420 Carmo do Cajuru";0;0;0;1;0;0;1
"311430 Carmo do Paranaíba";1;0;0;0;0;0;1
"311440 Carmo do Rio Claro";1;0;0;0;0;0;1
"311455 Carneirinho";0;0;0;1;0;0;1
"311530 Cataguases";3;4;0;1;0;0;8
"311545 Catuji";0;0;0;1;0;0;1
"311650 Claro dos Poções";0;0;0;1;0;0;1
"311710 Conceição da Aparecida";2;0;0;0;0;0;2
"311730 Conceição das Alagoas";1;0;0;0;0;0;1
"311750 Conceição do Mato Dentro";0;0;0;1;0;0;1
"311780 Conceição dos Ouros";2;0;0;0;0;0;2
"311790 Congonhal";1;0;0;0;0;0;1
"311800 Congonhas";1;1;0;0;0;0;2
"311830 Conselheiro Lafaiete";7;2;0;7;0;0;16
"311860 Contagem";30;7;6;34;0;1;78
"311930 Coromandel";1;0;0;0;0;0;1
"311940 Coronel Fabriciano";1;0;1;5;0;0;7
"311995 Córrego Fundo";1;0;0;0;0;0;1
