 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Minas Gerais
Período:2024
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"310040 Acaiaca";0;0;0;0;1;0;0;0;0;0;1
"310050 Açucena";0;0;0;0;0;0;0;0;1;0;1
"310090 Águas Formosas";0;0;0;1;0;1;0;0;1;0;3
"310110 Aimorés";0;0;0;0;0;0;0;0;1;0;1
"310150 Além Paraíba";1;2;0;3;1;1;1;0;0;0;9
"310160 Alfenas";0;1;1;1;0;1;4;1;3;0;12
"310170 Almenara";0;0;0;1;0;0;0;0;0;0;1
"310190 Alpinópolis";0;1;0;0;0;0;0;0;0;0;1
"310220 Alvarenga";0;0;0;0;0;1;0;0;0;0;1
"310260 Andradas";0;0;0;1;0;0;0;0;0;0;1
"310300 Antônio Dias";0;0;0;0;0;0;1;0;0;0;1
"310340 Araçuaí";0;0;1;0;0;0;0;0;0;0;1
"310350 Araguari";0;1;1;1;0;0;6;0;0;0;9
"310400 Araxá";1;1;0;0;0;1;2;1;1;0;7
"310420 Arcos";0;0;0;0;0;0;1;0;0;0;1
"310470 Ataléia";0;1;0;0;0;0;0;0;0;0;1
"310490 Baependi";0;0;0;0;1;0;0;0;0;0;1
"310510 Bambuí";0;0;0;1;0;1;0;0;0;0;2
"310560 Barbacena";0;0;0;1;1;2;2;0;0;0;6
"310620 Belo Horizonte";1;10;5;21;38;30;68;17;46;1;237
"310630 Belo Oriente";0;0;0;0;1;0;0;0;0;0;1
"310670 Betim";0;1;2;9;5;4;17;1;9;0;48
"310690 Bicas";0;0;0;0;0;1;0;0;0;0;1
"310710 Boa Esperança";0;0;0;1;0;0;0;0;0;0;1
"310730 Bocaiúva";0;0;0;0;0;0;1;0;0;0;1
"310740 Bom Despacho";0;0;0;1;0;0;1;0;0;0;2
"310780 Bom Jesus do Galho";0;0;0;1;0;0;0;0;0;0;1
"310790 Bom Repouso";0;0;0;1;0;0;0;0;0;0;1
"310800 Bom Sucesso";0;0;1;0;0;0;0;0;0;0;1
"310880 Braúnas";0;0;0;0;1;0;0;0;1;0;2
"310900 Brumadinho";1;0;0;0;0;0;0;0;1;0;2
"310930 Buritis";0;0;0;0;0;0;0;0;1;0;1
"311000 Caeté";0;0;0;0;0;0;0;0;1;0;1
"311030 Caldas";0;0;0;0;0;1;0;0;0;0;1
"311060 Cambuí";0;0;0;0;0;0;1;0;0;0;1
"311100 Campestre";0;0;0;1;0;0;0;0;0;0;1
"311150 Campos Altos";0;0;0;1;0;0;0;0;0;0;1
"311170 Canaã";0;0;0;0;0;1;0;0;0;0;1
"311240 Capetinga";0;0;0;0;1;0;0;0;0;0;1
"311330 Carangola";0;2;2;4;0;1;1;0;0;0;10
"311340 Caratinga";1;0;1;0;1;2;2;0;1;0;8
"311420 Carmo do Cajuru";0;0;0;0;0;0;0;0;1;0;1
"311430 Carmo do Paranaíba";0;0;1;1;1;0;1;0;1;0;5
"311500 Cascalho Rico";0;0;0;1;0;0;0;0;0;0;1
"311530 Cataguases";0;0;1;1;2;1;1;0;0;0;6
"311540 Catas Altas da Noruega";0;1;0;0;0;0;0;0;0;0;1
"311570 Central de Minas";0;0;0;0;0;0;1;1;0;0;2
"311650 Claro dos Poções";0;0;0;0;0;0;1;0;0;0;1
"311660 Cláudio";0;0;0;0;0;0;1;0;0;0;1
"311760 Conceição do Pará";0;0;0;0;0;0;0;1;0;0;1
"311780 Conceição dos Ouros";0;0;0;0;0;0;1;0;0;0;1
"311787 Confins";0;0;0;0;0;0;1;0;0;0;1
"311800 Congonhas";0;0;0;1;0;0;2;0;0;0;3
"311830 Conselheiro Lafaiete";0;1;1;4;0;2;8;1;3;0;20
"311840 Conselheiro Pena";0;0;0;0;0;1;0;0;0;0;1
"311860 Contagem";1;3;0;5;1;8;16;9;9;0;52
"311920 Coroaci";0;0;0;0;0;0;1;0;0;0;1
"311930 Coromandel";0;0;0;0;0;0;1;0;0;0;1
"311940 Coronel Fabriciano";0;0;0;4;0;3;0;0;2;0;9
"311980 Córrego Danta";0;0;0;1;0;0;0;0;0;0;1
"312080 Cruzília";0;0;0;1;0;0;0;0;0;0;1
"312087 Curral de Dentro";0;1;1;0;0;0;0;0;0;0;2
"312090 Curvelo";0;0;0;0;0;0;2;0;0;0;2
"312125 Delta";0;0;0;0;0;0;0;0;1;0;1
"312160 Diamantina";1;1;0;0;0;0;1;1;0;0;4
"312230 Divinópolis";2;3;1;12;5;6;20;1;9;0;59
"312352 Durandé";0;1;0;0;0;0;0;0;0;0;1
"312360 Elói Mendes";0;0;0;0;0;0;1;0;1;0;2
"312400 Ervália";0;0;0;1;0;0;0;0;0;0;1
"312420 Espera Feliz";0;0;0;0;0;0;1;0;0;0;1
"312440 Espírito Santo do Dourado";0;0;0;0;0;1;0;0;0;0;1
"312450 Estiva";0;0;0;0;0;0;2;0;0;0;2
"312460 Estrela Dalva";0;0;1;1;0;0;0;0;0;0;2
"312470 Estrela do Indaiá";0;0;0;0;0;0;0;0;1;0;1
"312510 Extrema";0;0;0;0;1;3;1;1;0;0;6
"312610 Formiga";0;0;0;2;0;0;1;0;1;0;4
"312690 Frei Inocêncio";0;0;0;0;0;0;1;0;0;0;1
"312710 Frutal";1;2;0;3;1;3;2;0;4;0;16
"312760 Gouveia";0;0;0;0;1;0;0;0;0;0;1
"312770 Governador Valadares";1;3;2;7;6;5;8;2;4;0;38
