 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"310040 Acaiaca";0;0;0;0;0;1;0;0;0;0;0;0;1
"310050 Açucena";0;0;0;0;0;0;1;0;0;0;0;0;1
"310090 Águas Formosas";0;0;0;0;0;1;0;0;0;2;0;0;3
"310110 Aimorés";0;0;0;0;0;0;0;0;1;0;0;0;1
"310140 Albertina";0;0;0;0;0;0;0;0;1;0;0;0;1
"310150 Além Paraíba";0;0;0;0;0;3;2;7;1;1;1;0;15
"310160 Alfenas";0;0;0;0;0;5;3;4;1;1;0;0;14
"310170 Almenara";0;0;0;0;0;0;0;0;1;0;0;0;1
"310190 Alpinópolis";0;0;0;0;0;0;0;1;0;0;0;0;1
"315350 Alto Jequitibá";0;0;0;0;0;0;0;1;0;0;0;0;1
"310220 Alvarenga";0;0;0;0;0;0;1;0;0;0;0;0;1
"310260 Andradas";0;0;0;0;0;0;1;0;0;1;0;0;2
"310290 Antônio Carlos";0;0;0;0;0;0;1;0;0;1;0;0;2
"310300 Antônio Dias";0;0;0;0;0;0;1;0;0;0;0;0;1
"310340 Araçuaí";0;0;0;0;0;0;0;0;0;1;0;0;1
"310350 Araguari";0;0;0;0;0;3;5;2;0;0;0;0;10
"310400 Araxá";0;0;0;0;0;3;2;3;1;0;0;0;9
"310420 Arcos";0;0;0;0;0;1;0;0;0;0;0;0;1
"310470 Ataléia";0;0;0;0;0;0;0;0;0;1;0;0;1
"310490 Baependi";0;0;0;0;0;0;0;0;1;0;0;0;1
"310510 Bambuí";0;0;0;0;0;0;2;0;0;0;0;0;2
"310540 Barão de Cocais";0;0;0;0;0;0;1;0;0;1;0;0;2
"310560 Barbacena";0;0;0;0;0;5;4;1;1;0;0;0;11
"310600 Bela Vista de Minas";0;0;0;0;0;1;0;0;0;0;0;0;1
"310620 Belo Horizonte";1;0;0;0;3;102;120;97;41;25;14;2;405
"310630 Belo Oriente";0;0;0;0;0;1;0;0;0;0;0;0;1
"310660 Bertópolis";0;0;0;0;0;0;0;0;1;0;0;0;1
"310670 Betim";0;0;0;0;0;14;12;16;8;5;4;0;59
"310690 Bicas";0;0;0;0;0;0;1;0;0;0;0;0;1
"310710 Boa Esperança";0;0;0;0;1;0;1;0;0;0;0;0;2
"310730 Bocaiúva";0;0;0;0;0;1;0;0;1;0;0;0;2
"310740 Bom Despacho";0;0;0;0;0;1;1;0;0;0;0;0;2
"310780 Bom Jesus do Galho";0;0;0;0;0;0;0;1;0;0;0;0;1
"310790 Bom Repouso";0;0;0;0;0;0;1;0;0;0;0;0;1
"310800 Bom Sucesso";0;0;0;0;0;0;0;0;0;1;0;0;1
"310860 Brasília de Minas";0;0;0;0;0;0;0;1;0;0;0;0;1
"310880 Braúnas";0;0;0;0;0;0;1;0;1;0;0;0;2
"310900 Brumadinho";0;0;0;0;0;0;0;4;0;1;1;0;6
"310930 Buritis";0;0;0;0;0;1;0;0;0;0;0;0;1
"311000 Caeté";0;0;0;0;0;1;2;3;0;0;0;0;6
"311030 Caldas";0;0;0;0;0;0;0;1;0;0;0;0;1
"311060 Cambuí";0;0;0;0;0;1;0;0;0;0;0;0;1
"311100 Campestre";0;0;0;0;0;0;0;0;0;1;0;0;1
"311120 Campo Belo";0;0;0;0;0;0;0;0;0;1;0;0;1
"311150 Campos Altos";0;0;0;0;0;1;0;0;0;0;0;0;1
"311170 Canaã";0;0;0;0;0;0;1;0;0;0;0;0;1
"311240 Capetinga";0;0;0;0;0;0;1;0;0;0;0;0;1
"311330 Carangola";0;0;0;0;0;1;4;4;1;0;0;0;10
"311340 Caratinga";0;0;0;0;0;3;1;3;0;2;0;0;9
"311400 Carmo da Mata";0;0;0;0;0;0;0;0;0;1;0;0;1
"311420 Carmo do Cajuru";0;0;0;0;0;0;1;0;0;0;0;0;1
