 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2025
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"310090 Águas Formosas";0;0;0;0;0;0;1;1;0;0;0;0;2
"310110 Aimorés";0;0;0;0;0;0;1;0;0;0;0;0;1
"310120 Aiuruoca";0;0;0;0;0;0;0;2;0;0;0;0;2
"310140 Albertina";0;0;0;0;0;0;1;0;0;0;0;0;1
"310150 Além Paraíba";0;0;0;0;0;0;3;1;0;1;0;0;5
"310160 Alfenas";0;0;0;0;0;3;2;3;3;2;0;0;13
"310260 Andradas";0;0;0;0;0;0;0;0;1;0;0;0;1
"310340 Araçuaí";0;0;0;0;0;0;0;2;0;2;0;0;4
"310350 Araguari";0;0;0;0;0;5;4;4;4;1;0;0;18
"310400 Araxá";0;0;0;0;0;2;8;3;0;0;0;0;13
"310440 Argirita";0;0;0;0;0;0;1;0;0;0;0;0;1
"310460 Astolfo Dutra";0;0;0;0;0;1;0;0;0;0;0;0;1
"310540 Barão de Cocais";0;0;0;0;0;1;0;0;1;0;0;0;2
"310560 Barbacena";0;0;0;0;0;2;0;4;2;0;0;0;8
"310620 Belo Horizonte";0;0;0;0;5;69;103;63;56;24;7;0;327
"310640 Belo Vale";0;0;0;0;0;0;1;0;0;0;0;0;1
"310660 Bertópolis";0;0;0;0;0;0;1;0;0;0;0;0;1
"310670 Betim";1;0;0;0;0;9;13;14;1;0;0;0;38
"310690 Bicas";0;0;0;0;0;0;0;1;0;0;0;0;1
"310710 Boa Esperança";0;0;0;0;0;0;1;0;1;0;0;0;2
"310730 Bocaiúva";0;0;0;0;0;1;0;0;0;0;0;0;1
"310740 Bom Despacho";0;0;0;0;0;0;0;0;1;0;0;0;1
"310780 Bom Jesus do Galho";0;0;0;0;0;0;0;1;0;0;0;0;1
"310810 Bonfim";0;0;0;0;0;0;0;1;0;0;0;0;1
"310830 Borda da Mata";0;0;0;0;0;0;0;1;0;0;0;0;1
"310840 Botelhos";0;0;0;0;0;1;0;0;0;0;0;0;1
"310890 Brasópolis";0;0;0;0;0;0;0;1;0;0;0;0;1
"310900 Brumadinho";0;0;0;0;0;1;3;1;0;0;0;0;5
"311060 Cambuí";0;0;0;0;0;0;1;0;0;0;0;0;1
"311080 Campanário";0;0;0;0;0;0;0;1;0;0;0;0;1
"311120 Campo Belo";0;0;0;0;0;0;0;0;1;0;0;0;1
"311150 Campos Altos";0;0;0;0;0;1;0;0;0;0;0;0;1
"311200 Candeias";0;0;0;0;0;0;1;0;0;0;0;0;1
"311270 Capitão Enéas";0;0;0;0;0;0;1;0;0;0;0;0;1
"311320 Carandaí";0;0;0;0;0;0;0;1;0;0;0;0;1
"311330 Carangola";0;0;0;0;0;1;0;1;3;0;0;0;5
"311340 Caratinga";0;0;0;0;0;0;2;3;1;0;0;0;6
"311370 Carlos Chagas";0;0;0;0;0;1;0;0;0;0;0;0;1
"311400 Carmo da Mata";0;0;0;0;0;0;0;1;0;0;0;0;1
"311450 Carmópolis de Minas";0;0;0;0;0;0;0;0;1;0;0;0;1
"311530 Cataguases";0;0;0;0;0;0;2;2;1;0;0;0;5
"311550 Caxambu";0;0;0;0;0;0;0;0;1;0;0;0;1
"311730 Conceição das Alagoas";0;0;0;0;0;0;0;1;0;0;0;0;1
"311750 Conceição do Mato Dentro";1;0;0;0;0;0;0;1;0;0;0;0;2
"311780 Conceição dos Ouros";0;0;0;0;0;0;1;1;0;0;0;0;2
"311790 Congonhal";1;0;0;0;0;0;0;0;0;0;0;0;1
"311830 Conselheiro Lafaiete";0;0;0;0;0;0;7;0;3;1;0;0;11
"311860 Contagem";0;0;0;0;1;28;23;19;7;1;0;0;79
"311880 Coração de Jesus";0;0;0;0;0;0;1;0;0;0;0;0;1
"311930 Coromandel";0;0;0;0;0;0;0;1;0;0;0;0;1
"311940 Coronel Fabriciano";0;0;0;0;0;2;4;3;0;0;0;0;9
"311990 Córrego do Bom Jesus";0;0;0;0;0;1;0;0;0;0;0;0;1
"312000 Córrego Novo";0;0;0;0;0;0;1;0;0;0;0;0;1
"312087 Curral de Dentro";0;0;0;0;0;0;0;0;1;0;0;0;1
"312090 Curvelo";0;0;0;0;0;1;1;0;2;0;0;0;4
"312160 Diamantina";0;0;0;0;0;2;2;1;0;1;0;0;6
"312230 Divinópolis";0;0;0;0;0;11;21;14;8;4;0;0;58
"312390 Entre Rios de Minas";0;0;0;0;0;0;0;1;0;0;0;0;1
"312410 Esmeraldas";0;0;0;0;0;0;1;0;1;0;0;0;2
"312490 Eugenópolis";0;0;0;0;0;0;0;1;0;0;0;0;1
"312500 Ewbank da Câmara";0;0;0;0;0;0;1;0;0;0;0;0;1
"312510 Extrema";0;0;0;0;0;0;2;2;1;0;0;0;5
"312595 Fervedouro";0;0;0;0;0;0;0;1;0;0;0;0;1
"312610 Formiga";0;0;0;0;0;2;2;0;1;1;0;0;6
"312700 Fronteira";0;0;0;0;0;0;0;1;0;0;0;0;1
"312710 Frutal";0;0;0;0;0;2;2;3;0;2;0;0;9
"312770 Governador Valadares";0;0;0;0;0;11;7;10;4;2;1;0;35
"312900 Guiricema";0;0;0;0;0;0;0;0;1;0;0;0;1
"312980 Ibirité";0;0;0;0;0;9;6;7;0;0;0;0;22
"313010 Igarapé";0;0;0;0;0;0;1;0;0;0;0;0;1
"313130 Ipatinga";0;0;0;0;0;5;8;6;1;1;0;0;21
"313170 Itabira";0;0;0;0;0;2;3;0;2;0;0;0;7
"313190 Itabirito";0;0;0;0;0;0;1;0;0;0;0;0;1
"313230 Itaipé";0;0;0;0;0;0;1;0;0;0;0;0;1
"313240 Itajubá";0;0;0;0;0;3;4;1;1;1;0;0;10
"313330 Itaobim";0;0;0;0;0;3;4;1;2;0;1;0;11
