 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Minas Gerais
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"310090 Águas Formosas";0;0;0;2;0;0;2
"310110 Aimorés";0;0;0;1;0;0;1
"310120 Aiuruoca";1;0;0;1;0;0;2
"310140 Albertina";1;0;0;0;0;0;1
"310150 Além Paraíba";0;0;0;5;0;0;5
"310160 Alfenas";7;1;0;5;0;0;13
"310260 Andradas";1;0;0;0;0;0;1
"310340 Araçuaí";1;0;0;3;0;0;4
"310350 Araguari";7;2;0;9;0;0;18
"310400 Araxá";5;3;0;5;0;0;13
"310440 Argirita";1;0;0;0;0;0;1
"310460 Astolfo Dutra";0;0;0;1;0;0;1
"310540 Barão de Cocais";0;0;0;2;0;0;2
"310560 Barbacena";4;1;1;2;0;0;8
"310620 Belo Horizonte";118;43;8;158;0;0;327
"310640 Belo Vale";0;0;0;1;0;0;1
"310660 Bertópolis";0;0;0;1;0;0;1
"310670 Betim";7;7;0;24;0;0;38
"310690 Bicas";1;0;0;0;0;0;1
"310710 Boa Esperança";1;0;0;1;0;0;2
"310730 Bocaiúva";1;0;0;0;0;0;1
"310740 Bom Despacho";1;0;0;0;0;0;1
"310780 Bom Jesus do Galho";0;0;0;1;0;0;1
"310810 Bonfim";1;0;0;0;0;0;1
"310830 Borda da Mata";1;0;0;0;0;0;1
"310840 Botelhos";1;0;0;0;0;0;1
"310890 Brasópolis";1;0;0;0;0;0;1
"310900 Brumadinho";2;1;0;2;0;0;5
"311060 Cambuí";0;0;0;1;0;0;1
"311080 Campanário";0;0;0;1;0;0;1
"311120 Campo Belo";1;0;0;0;0;0;1
"311150 Campos Altos";1;0;0;0;0;0;1
"311200 Candeias";0;0;0;1;0;0;1
"311270 Capitão Enéas";0;0;0;1;0;0;1
"311320 Carandaí";1;0;0;0;0;0;1
"311330 Carangola";4;0;0;1;0;0;5
"311340 Caratinga";0;2;0;4;0;0;6
"311370 Carlos Chagas";1;0;0;0;0;0;1
"311400 Carmo da Mata";1;0;0;0;0;0;1
"311450 Carmópolis de Minas";1;0;0;0;0;0;1
