 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rio de Janeiro
Período:2016
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"330010 Angra dos Reis";1;2;2;5;0;2;6;0;1;19
"330015 Aperibé";0;0;0;0;0;0;1;0;0;1
"330020 Araruama";0;3;2;2;1;2;3;0;0;13
"330022 Areal";0;0;1;0;0;0;0;0;0;1
"330023 Armação dos Búzios";1;0;0;0;0;1;1;0;1;4
"330025 Arraial do Cabo";0;0;0;0;1;2;0;0;0;3
"330030 Barra do Piraí";0;4;1;1;0;4;1;0;0;11
"330040 Barra Mansa";0;1;0;6;2;3;2;0;2;16
"330045 Belford Roxo";1;10;5;20;3;11;12;2;3;67
"330060 Bom Jesus do Itabapoana";1;1;0;0;0;0;0;0;1;3
"330070 Cabo Frio";1;4;0;5;1;3;4;0;1;19
"330080 Cachoeiras de Macacu";0;2;0;1;0;1;0;0;0;4
"330090 Cambuci";0;1;0;0;0;0;0;0;0;1
"330100 Campos dos Goytacazes";0;4;5;14;3;4;8;2;5;45
"330130 Casimiro de Abreu";0;3;0;0;0;0;0;0;2;5
"330095 Comendador Levy Gasparian";0;0;0;0;0;1;0;0;0;1
"330140 Conceição de Macabu";0;0;0;0;0;1;0;0;0;1
"330150 Cordeiro";0;1;0;0;0;0;1;0;0;2
"330170 Duque de Caxias";3;34;10;46;23;31;28;3;9;187
"330185 Guapimirim";0;4;1;2;1;1;0;0;1;10
"330187 Iguaba Grande";0;1;1;0;0;0;3;0;0;5
"330190 Itaboraí";0;4;2;7;0;2;8;0;2;25
"330200 Itaguaí";3;3;1;4;2;1;4;1;3;22
"330210 Itaocara";0;0;0;1;0;0;0;0;0;1
"330220 Itaperuna";0;1;0;0;2;1;0;0;1;5
"330225 Itatiaia";0;0;0;1;0;0;0;0;0;1
"330227 Japeri";1;0;0;3;2;0;3;0;1;10
"330240 Macaé";1;4;2;5;2;7;7;1;5;34
"330245 Macuco";0;0;1;0;0;0;0;0;0;1
"330250 Magé";0;6;0;5;1;2;6;0;1;21
"330260 Mangaratiba";0;1;0;0;0;2;1;0;1;5
"330270 Maricá";0;4;0;4;1;4;1;0;3;17
"330285 Mesquita";0;4;0;3;7;8;5;1;0;28
"330290 Miguel Pereira";2;2;0;1;0;5;0;0;0;10
"330300 Miracema";0;0;0;1;0;3;0;0;0;4
"330310 Natividade";0;1;0;0;0;0;0;0;0;1
"330320 Nilópolis";0;2;2;5;1;2;3;1;1;17
"330330 Niterói";2;4;4;17;14;20;14;4;10;89
"330340 Nova Friburgo";0;0;0;4;3;0;1;2;0;10
"330350 Nova Iguaçu";1;26;12;55;19;23;25;5;10;176
"330360 Paracambi";0;2;0;1;0;1;1;0;0;5
"330370 Paraíba do Sul";1;1;0;1;0;0;1;0;0;4
"330380 Parati";0;1;1;0;0;0;4;0;0;6
"330390 Petrópolis";0;3;1;8;2;3;5;0;3;25
"330395 Pinheiral";0;1;1;1;0;0;1;0;0;4
"330400 Piraí";0;2;0;0;1;0;1;0;1;5
"330410 Porciúncula";0;0;0;0;0;0;2;0;1;3
"330411 Porto Real";0;0;0;1;0;0;0;0;1;2
"330412 Quatis";0;0;0;0;0;0;0;1;1;2
"330414 Queimados";1;3;1;7;4;5;4;0;1;26
"330415 Quissamã";0;0;0;1;0;0;0;0;0;1
"330420 Resende";0;1;1;4;1;1;4;1;3;16
"330430 Rio Bonito";0;3;0;2;0;0;0;0;2;7
"330440 Rio Claro";0;0;0;1;0;0;0;0;1;2
"330452 Rio das Ostras";1;5;0;1;2;6;4;0;4;23
"330455 Rio de Janeiro";30;186;47;220;139;264;298;58;242;1484
"330470 Santo Antônio de Pádua";0;0;0;1;1;0;0;0;0;2
"330475 São Francisco de Itabapoana";0;1;0;0;0;0;0;0;0;1
"330490 São Gonçalo";1;17;4;52;10;35;51;5;12;187
"330500 São João da Barra";0;1;0;1;0;0;0;0;0;2
"330510 São João de Meriti";1;12;3;24;2;17;19;0;5;83
"330513 São José de Ubá";0;1;0;0;0;0;0;0;0;1
"330520 São Pedro da Aldeia";0;0;0;0;2;0;1;0;1;4
"330540 Sapucaia";0;0;0;1;0;0;0;1;0;2
"330550 Saquarema";1;0;0;0;0;1;0;0;0;2
"330555 Seropédica";0;1;0;0;0;1;1;0;2;5
"330560 Silva Jardim";0;1;0;0;0;0;0;1;0;2
"330575 Tanguá";0;0;0;0;0;0;0;0;1;1
"330580 Teresópolis";1;3;2;4;1;2;1;0;0;14
"330600 Três Rios";0;0;0;9;1;2;1;0;1;14
"330610 Valença";0;0;1;0;1;2;1;0;0;5
"330615 Varre-Sai";0;0;0;0;0;1;0;0;0;1
"330620 Vassouras";1;0;0;3;0;1;0;0;1;6
"330630 Volta Redonda";0;6;2;16;11;1;11;0;4;51
"330000 Município ignorado - RJ";0;1;0;0;0;0;0;0;0;1
"Total";56;389;116;577;267;490;559;89;351;2894
