 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Rio de Janeiro
Período:2018
"Município (Res)";"2018";"Total"
"330010 Angra dos Reis";41;41
"330015 Aperibé";1;1
"330020 Araruama";19;19
"330023 Armação dos Búzios";7;7
"330025 Arraial do Cabo";6;6
"330030 Barra do Piraí";19;19
"330040 Barra Mansa";17;17
"330045 Belford Roxo";89;89
"330050 Bom Jardim";3;3
"330060 Bom Jesus do Itabapoana";7;7
"330070 Cabo Frio";43;43
"330080 Cachoeiras de Macacu";9;9
"330090 Cambuci";2;2
"330100 Campos dos Goytacazes";125;125
"330110 Cantagalo";3;3
"330093 Carapebus";2;2
"330115 Cardoso Moreira";2;2
"330120 Carmo";3;3
"330130 Casimiro de Abreu";3;3
"330140 Conceição de Macabu";1;1
"330150 Cordeiro";2;2
"330170 Duque de Caxias";240;240
"330185 Guapimirim";26;26
"330187 Iguaba Grande";4;4
"330190 Itaboraí";51;51
"330200 Itaguaí";14;14
"330205 Italva";1;1
"330220 Itaperuna";17;17
"330225 Itatiaia";5;5
"330227 Japeri";31;31
"330240 Macaé";84;84
"330245 Macuco";2;2
"330250 Magé";59;59
"330260 Mangaratiba";6;6
"330270 Maricá";29;29
"330285 Mesquita";47;47
"330290 Miguel Pereira";2;2
"330300 Miracema";1;1
"330310 Natividade";2;2
"330320 Nilópolis";31;31
"330330 Niterói";127;127
"330340 Nova Friburgo";27;27
"330350 Nova Iguaçu";255;255
"330360 Paracambi";6;6
"330370 Paraíba do Sul";7;7
"330380 Parati";3;3
"330390 Petrópolis";44;44
"330395 Pinheiral";2;2
"330400 Piraí";2;2
"330410 Porciúncula";2;2
"330411 Porto Real";4;4
"330412 Quatis";1;1
"330414 Queimados";28;28
"330415 Quissamã";2;2
"330420 Resende";33;33
"330430 Rio Bonito";8;8
"330440 Rio Claro";1;1
"330450 Rio das Flores";1;1
"330452 Rio das Ostras";51;51
"330455 Rio de Janeiro";1916;1916
"330470 Santo Antônio de Pádua";4;4
"330480 São Fidélis";4;4
"330475 São Francisco de Itabapoana";1;1
"330490 São Gonçalo";222;222
"330500 São João da Barra";10;10
"330510 São João de Meriti";104;104
"330520 São Pedro da Aldeia";16;16
"330540 Sapucaia";1;1
"330550 Saquarema";17;17
"330555 Seropédica";8;8
"330575 Tanguá";2;2
"330580 Teresópolis";29;29
"330590 Trajano de Morais";1;1
"330600 Três Rios";30;30
"330610 Valença";16;16
"330615 Varre-Sai";1;1
"330620 Vassouras";10;10
"330630 Volta Redonda";75;75
"330000 Município ignorado - RJ";6;6
"Total";4133;4133
