 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rio de Janeiro
Período:2019
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"330010 Angra dos Reis";0;0;0;0;0;8;12;11;7;3;1;0;42
"330015 Aperibé";0;0;0;0;0;0;1;0;0;0;0;0;1
"330020 Araruama";1;0;0;0;0;2;8;6;0;1;0;0;18
"330022 Areal";0;0;0;0;0;0;0;0;0;0;1;0;1
"330023 Armação dos Búzios";0;0;0;0;0;0;6;1;0;0;0;0;7
"330025 Arraial do Cabo";0;0;0;0;0;1;1;4;0;0;0;0;6
"330030 Barra do Piraí";0;0;0;0;0;3;2;1;2;0;0;0;8
"330040 Barra Mansa";0;0;0;0;0;3;7;1;4;3;0;0;18
"330045 Belford Roxo";1;1;0;0;0;24;27;28;11;2;1;0;95
"330050 Bom Jardim";0;0;0;0;0;0;1;0;0;0;0;0;1
"330060 Bom Jesus do Itabapoana";0;0;0;0;0;1;5;2;0;1;0;0;9
"330070 Cabo Frio";0;0;0;0;0;10;10;3;3;7;0;0;33
"330080 Cachoeiras de Macacu";0;0;0;0;0;0;2;2;2;0;1;0;7
"330100 Campos dos Goytacazes";0;1;0;0;1;14;31;22;11;6;1;0;87
"330110 Cantagalo";0;0;0;0;0;0;1;0;0;0;0;0;1
"330093 Carapebus";0;0;0;0;0;1;0;1;0;0;0;0;2
"330115 Cardoso Moreira";0;0;0;0;0;0;1;0;0;0;1;0;2
"330120 Carmo";0;0;0;0;0;0;0;1;1;1;0;0;3
"330130 Casimiro de Abreu";0;0;0;0;0;1;0;0;1;1;0;0;3
"330095 Comendador Levy Gasparian";0;0;0;0;0;0;1;0;0;0;0;0;1
"330140 Conceição de Macabu";0;0;0;0;0;0;1;1;0;0;0;0;2
"330150 Cordeiro";0;0;0;0;0;0;1;1;1;1;0;0;4
"330170 Duque de Caxias";2;1;2;1;8;50;58;49;23;11;1;1;207
"330185 Guapimirim";0;0;0;0;0;2;2;2;3;0;1;0;10
"330187 Iguaba Grande";0;0;0;0;0;1;3;1;0;0;0;0;5
"330190 Itaboraí";1;2;1;0;1;10;15;19;13;3;0;0;65
"330200 Itaguaí";0;0;0;0;0;6;7;6;4;1;0;0;24
"330220 Itaperuna";0;0;0;0;1;4;7;7;1;2;0;0;22
"330225 Itatiaia";0;0;0;0;0;4;2;1;0;0;0;0;7
"330227 Japeri";0;1;0;0;0;8;9;6;2;1;0;0;27
"330240 Macaé";1;0;0;0;0;15;21;9;5;1;0;0;52
"330250 Magé";0;0;0;1;1;19;19;12;6;0;0;0;58
"330260 Mangaratiba";0;0;0;0;0;4;1;2;3;1;0;0;11
"330270 Maricá";0;0;0;0;1;10;8;10;3;1;0;1;34
"330280 Mendes";0;0;0;0;0;0;1;0;1;0;0;0;2
"330285 Mesquita";0;1;0;0;2;9;12;5;6;2;0;0;37
"330290 Miguel Pereira";0;0;0;0;0;1;1;1;2;1;0;0;6
"330300 Miracema";0;0;0;0;0;0;2;0;0;0;0;0;2
"330310 Natividade";0;0;0;0;0;1;0;0;0;0;0;0;1
"330320 Nilópolis";0;0;0;0;1;8;11;10;4;2;1;0;37
"330330 Niterói";1;0;0;0;1;37;48;27;10;6;2;1;133
"330340 Nova Friburgo";1;0;0;0;1;2;7;9;5;5;0;0;30
"330350 Nova Iguaçu";0;2;2;0;8;65;74;47;38;6;0;0;242
"330360 Paracambi";0;0;0;0;0;0;0;2;2;1;0;0;5
"330370 Paraíba do Sul";1;0;0;0;0;4;1;0;2;0;0;0;8
"330380 Parati";0;0;0;0;0;2;1;2;1;0;0;0;6
"330390 Petrópolis";0;0;0;0;0;17;26;24;9;1;1;0;78
"330395 Pinheiral";0;0;0;0;0;0;1;1;1;0;0;0;3
"330400 Piraí";0;0;0;0;0;1;3;1;0;0;0;0;5
"330410 Porciúncula";0;0;0;0;0;0;0;1;0;1;0;0;2
"330411 Porto Real";0;0;0;0;0;0;0;2;0;0;0;0;2
"330412 Quatis";0;0;0;0;0;0;1;0;1;0;0;0;2
"330414 Queimados";2;0;0;0;1;8;9;10;3;0;0;1;34
"330415 Quissamã";0;0;0;0;0;3;1;0;0;0;0;0;4
"330420 Resende";0;0;0;0;0;9;8;9;2;1;1;0;30
"330430 Rio Bonito";0;1;0;0;0;7;3;5;0;0;0;0;16
"330450 Rio das Flores";0;0;0;0;0;0;1;0;1;0;0;0;2
"330452 Rio das Ostras";0;0;0;0;1;16;14;14;1;2;0;0;48
"330455 Rio de Janeiro";15;4;3;4;41;465;557;376;226;92;25;4;1812
