 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rio de Janeiro
Período:2019
"Município (Res)";"Masculino";"Feminino";"Total"
"330010 Angra dos Reis";27;15;42
"330015 Aperibé";1;0;1
"330020 Araruama";16;2;18
"330022 Areal";0;1;1
"330023 Armação dos Búzios";7;0;7
"330025 Arraial do Cabo";4;2;6
"330030 Barra do Piraí";7;1;8
"330040 Barra Mansa";12;6;18
"330045 Belford Roxo";56;39;95
"330050 Bom Jardim";1;0;1
"330060 Bom Jesus do Itabapoana";6;3;9
"330070 Cabo Frio";25;8;33
"330080 Cachoeiras de Macacu";3;4;7
"330100 Campos dos Goytacazes";53;34;87
"330110 Cantagalo";1;0;1
"330093 Carapebus";2;0;2
"330115 Cardoso Moreira";2;0;2
"330120 Carmo";2;1;3
"330130 Casimiro de Abreu";3;0;3
"330095 Comendador Levy Gasparian";1;0;1
"330140 Conceição de Macabu";1;1;2
"330150 Cordeiro";2;2;4
"330170 Duque de Caxias";131;76;207
"330185 Guapimirim";6;4;10
"330187 Iguaba Grande";4;1;5
"330190 Itaboraí";38;27;65
"330200 Itaguaí";15;9;24
"330220 Itaperuna";13;9;22
"330225 Itatiaia";5;2;7
"330227 Japeri";18;9;27
"330240 Macaé";32;20;52
"330250 Magé";38;20;58
"330260 Mangaratiba";6;5;11
"330270 Maricá";25;9;34
"330280 Mendes";2;0;2
"330285 Mesquita";32;5;37
"330290 Miguel Pereira";4;2;6
"330300 Miracema";2;0;2
"330310 Natividade";1;0;1
"330320 Nilópolis";21;16;37
"330330 Niterói";93;40;133
"330340 Nova Friburgo";22;8;30
"330350 Nova Iguaçu";154;88;242
"330360 Paracambi";5;0;5
"330370 Paraíba do Sul";6;2;8
"330380 Parati";2;4;6
"330390 Petrópolis";61;17;78
"330395 Pinheiral";1;2;3
"330400 Piraí";4;1;5
"330410 Porciúncula";1;1;2
"330411 Porto Real";1;1;2
"330412 Quatis";2;0;2
"330414 Queimados";22;12;34
"330415 Quissamã";3;1;4
"330420 Resende";21;9;30
"330430 Rio Bonito";7;9;16
"330450 Rio das Flores";1;1;2
"330452 Rio das Ostras";41;7;48
"330455 Rio de Janeiro";1268;544;1812
"330470 Santo Antônio de Pádua";3;1;4
"330480 São Fidélis";1;0;1
"330475 São Francisco de Itabapoana";5;2;7
"330490 São Gonçalo";137;85;222
"330500 São João da Barra";5;2;7
"330510 São João de Meriti";63;28;91
"330513 São José de Ubá";1;0;1
"330515 São José do Vale do Rio Preto";2;1;3
"330520 São Pedro da Aldeia";9;3;12
"330530 São Sebastião do Alto";1;0;1
"330540 Sapucaia";2;1;3
"330550 Saquarema";10;7;17
"330555 Seropédica";7;1;8
"330575 Tanguá";0;2;2
"330580 Teresópolis";28;9;37
"330600 Três Rios";7;7;14
"330610 Valença";9;8;17
"330615 Varre-Sai";0;1;1
"330620 Vassouras";7;2;9
"330630 Volta Redonda";61;23;84
"330000 Município ignorado - RJ";2;2;4
"Total";2700;1265;3965
