 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rio de Janeiro
Período:2021
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"330010 Angra dos Reis";1;6;1;5;0;3;4;1;4;0;25
"330020 Araruama";0;0;6;1;0;5;1;0;0;0;13
"330023 Armação dos Búzios";0;0;0;0;0;1;1;0;0;0;2
"330025 Arraial do Cabo";0;0;0;0;0;0;1;0;1;0;2
"330030 Barra do Piraí";0;1;0;0;0;4;1;1;0;0;7
"330040 Barra Mansa";0;0;0;2;1;3;7;2;1;0;16
"330045 Belford Roxo";1;5;3;24;2;16;10;1;4;0;66
"330050 Bom Jardim";0;0;0;0;0;1;0;0;0;0;1
"330060 Bom Jesus do Itabapoana";0;0;1;2;0;0;1;0;0;0;4
"330070 Cabo Frio";0;2;0;9;2;15;6;0;8;0;42
"330080 Cachoeiras de Macacu";0;0;0;1;0;1;0;0;0;0;2
"330090 Cambuci";0;0;0;1;0;0;0;0;0;0;1
"330100 Campos dos Goytacazes";3;1;4;16;6;8;25;3;9;0;75
"330110 Cantagalo";0;0;0;1;0;0;0;0;0;0;1
"330115 Cardoso Moreira";0;0;0;0;1;0;0;0;0;0;1
"330120 Carmo";0;0;0;1;0;0;0;0;0;0;1
"330130 Casimiro de Abreu";0;0;0;0;1;0;0;0;0;0;1
"330095 Comendador Levy Gasparian";0;1;0;0;0;0;1;0;0;0;2
"330140 Conceição de Macabu";0;1;0;0;0;0;2;1;1;0;5
"330160 Duas Barras";0;0;0;1;0;0;0;0;0;0;1
"330170 Duque de Caxias";3;19;7;39;28;28;23;0;16;0;163
"330185 Guapimirim";0;0;2;1;0;3;1;1;0;0;8
"330187 Iguaba Grande";0;0;0;0;1;1;0;0;0;0;2
"330190 Itaboraí";2;2;6;3;2;3;2;0;2;0;22
"330200 Itaguaí";0;1;2;7;0;2;2;0;1;0;15
"330210 Itaocara";0;0;0;0;0;1;0;0;0;0;1
"330220 Itaperuna";0;2;1;0;0;0;1;0;0;0;4
"330225 Itatiaia";0;1;0;0;0;1;0;0;1;0;3
"330227 Japeri";0;2;0;5;1;3;1;0;0;0;12
"330240 Macaé";0;2;0;4;3;6;7;1;4;0;27
"330250 Magé";1;0;0;6;2;2;1;0;2;0;14
"330260 Mangaratiba";0;0;0;3;0;0;3;1;1;0;8
"330270 Maricá";0;1;1;3;4;5;2;0;1;0;17
"330280 Mendes";0;0;0;0;0;0;0;0;1;0;1
"330285 Mesquita";0;0;1;2;2;5;10;0;1;0;21
"330290 Miguel Pereira";0;1;0;1;0;0;0;0;0;0;2
"330310 Natividade";0;1;0;0;0;0;0;0;0;0;1
"330320 Nilópolis";0;0;1;1;1;4;7;2;3;0;19
"330330 Niterói";1;6;6;12;6;9;21;3;14;0;78
"330340 Nova Friburgo";0;0;1;4;2;4;2;0;3;0;16
"330350 Nova Iguaçu";0;5;10;23;11;23;22;2;17;0;113
"330360 Paracambi";0;1;0;2;0;0;1;0;0;0;4
"330370 Paraíba do Sul";0;1;0;3;0;5;0;0;0;0;9
"330380 Parati";0;0;0;1;1;0;0;0;1;0;3
"330385 Paty do Alferes";0;1;0;0;0;0;0;0;0;0;1
"330390 Petrópolis";0;2;5;12;7;2;12;4;7;0;51
"330395 Pinheiral";0;0;0;1;0;0;0;0;1;0;2
"330400 Piraí";0;1;0;0;0;0;1;0;1;0;3
"330411 Porto Real";0;1;0;0;0;0;1;0;0;0;2
"330412 Quatis";0;0;0;0;0;0;2;0;0;0;2
"330414 Queimados";0;2;1;5;1;3;4;1;0;0;17
"330420 Resende";0;1;0;5;0;4;11;1;0;0;22
"330430 Rio Bonito";0;0;0;2;1;3;0;0;0;0;6
"330440 Rio Claro";0;1;0;0;0;0;0;0;0;0;1
"330452 Rio das Ostras";1;2;1;8;0;8;15;0;5;0;40
"330455 Rio de Janeiro";8;89;30;174;95;220;207;34;185;1;1043
"330460 Santa Maria Madalena";0;0;0;0;1;0;0;0;0;0;1
"330470 Santo Antônio de Pádua";0;0;0;0;0;1;1;0;0;0;2
"330480 São Fidélis";0;1;0;0;0;0;1;0;0;0;2
"330490 São Gonçalo";4;17;2;35;9;35;38;5;17;0;162
"330500 São João da Barra";0;0;0;2;0;2;3;0;0;0;7
"330510 São João de Meriti";1;8;2;20;5;19;18;6;8;0;87
"330513 São José de Ubá";0;0;0;0;1;0;1;0;0;0;2
"330520 São Pedro da Aldeia";0;1;1;0;1;0;0;0;0;0;3
"330540 Sapucaia";0;0;0;0;0;0;1;0;0;0;1
"330550 Saquarema";1;1;0;1;1;1;2;0;0;0;7
"330555 Seropédica";0;1;0;1;0;1;2;0;1;0;6
"330575 Tanguá";0;0;0;0;0;1;0;0;1;0;2
"330580 Teresópolis";1;4;0;4;0;3;2;1;0;0;15
"330600 Três Rios";0;0;0;2;5;6;7;0;0;0;20
"330610 Valença";0;0;0;0;0;3;3;0;1;0;7
"330615 Varre-Sai";0;1;0;0;0;0;0;0;0;0;1
"330620 Vassouras";0;0;0;1;0;1;3;0;1;0;6
"330630 Volta Redonda";0;2;2;14;11;5;7;2;9;0;52
"330000 Município ignorado - RJ";0;1;0;0;0;0;0;0;0;0;1
"Total";28;199;97;471;215;480;508;73;333;1;2405
