 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rio de Janeiro
Período:2023
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"330010 Angra dos Reis";18;11;0;29
"330020 Araruama";15;7;0;22
"330022 Areal";5;1;0;6
"330023 Armação dos Búzios";6;2;0;8
"330025 Arraial do Cabo";5;1;0;6
"330030 Barra do Piraí";11;2;0;13
"330040 Barra Mansa";21;10;0;31
"330045 Belford Roxo";55;23;0;78
"330060 Bom Jesus do Itabapoana";7;1;0;8
"330070 Cabo Frio";35;21;0;56
"330080 Cachoeiras de Macacu";10;3;0;13
"330090 Cambuci";0;1;0;1
"330100 Campos dos Goytacazes";69;43;1;113
"330110 Cantagalo";0;1;0;1
"330093 Carapebus";1;1;0;2
"330120 Carmo";2;2;0;4
"330130 Casimiro de Abreu";4;6;0;10
"330140 Conceição de Macabu";1;0;0;1
"330170 Duque de Caxias";140;73;0;213
"330185 Guapimirim";4;0;0;4
"330187 Iguaba Grande";2;3;0;5
"330190 Itaboraí";30;20;0;50
"330200 Itaguaí";18;12;0;30
"330205 Italva";1;0;0;1
"330210 Itaocara";1;0;0;1
"330220 Itaperuna";15;8;0;23
"330225 Itatiaia";2;1;0;3
"330227 Japeri";37;9;0;46
"330240 Macaé";53;21;0;74
"330245 Macuco";1;1;0;2
"330250 Magé";56;17;0;73
"330260 Mangaratiba";7;3;0;10
"330270 Maricá";29;18;0;47
"330280 Mendes";1;0;0;1
"330285 Mesquita";30;10;0;40
"330290 Miguel Pereira";3;3;0;6
"330320 Nilópolis";12;8;0;20
"330330 Niterói";90;33;0;123
"330340 Nova Friburgo";17;7;0;24
"330350 Nova Iguaçu";215;118;0;333
"330360 Paracambi";3;1;0;4
"330370 Paraíba do Sul";2;0;0;2
"330380 Parati";3;4;0;7
"330390 Petrópolis";49;19;0;68
"330395 Pinheiral";1;0;0;1
"330400 Piraí";0;1;0;1
"330410 Porciúncula";2;1;0;3
"330411 Porto Real";1;0;0;1
"330412 Quatis";0;1;0;1
"330414 Queimados";30;21;0;51
"330415 Quissamã";2;0;0;2
"330420 Resende";24;7;0;31
"330430 Rio Bonito";10;3;0;13
"330440 Rio Claro";1;0;0;1
"330452 Rio das Ostras";27;12;0;39
"330455 Rio de Janeiro";1325;531;0;1856
"330470 Santo Antônio de Pádua";5;0;0;5
"330480 São Fidélis";1;1;0;2
"330475 São Francisco de Itabapoana";1;1;0;2
"330490 São Gonçalo";149;76;1;226
"330500 São João da Barra";5;1;0;6
"330510 São João de Meriti";61;21;0;82
"330520 São Pedro da Aldeia";21;5;0;26
"330530 São Sebastião do Alto";1;1;0;2
"330540 Sapucaia";1;0;0;1
"330550 Saquarema";14;7;0;21
"330555 Seropédica";12;6;0;18
"330575 Tanguá";2;0;0;2
"330580 Teresópolis";24;10;0;34
"330600 Três Rios";12;7;0;19
"330610 Valença";2;1;0;3
"330620 Vassouras";10;4;0;14
"330630 Volta Redonda";63;17;0;80
"330000 Município ignorado - RJ";7;2;0;9
"Total";2900;1262;2;4164
