 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Rio de Janeiro
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"330010 Angra dos Reis";13;2;3;5;0;0;23
"330020 Araruama";9;7;2;3;0;0;21
"330022 Areal";2;0;0;0;0;0;2
"330023 Armação dos Búzios";7;0;0;6;0;0;13
"330025 Arraial do Cabo";4;2;0;1;0;0;7
"330030 Barra do Piraí";11;4;0;2;0;0;17
"330040 Barra Mansa";18;4;0;7;0;0;29
"330045 Belford Roxo";12;17;1;38;0;3;71
"330060 Bom Jesus do Itabapoana";4;1;0;2;0;0;7
"330070 Cabo Frio";21;9;2;26;0;0;58
"330080 Cachoeiras de Macacu";3;1;2;11;0;0;17
"330090 Cambuci";1;0;0;0;0;0;1
"330100 Campos dos Goytacazes";49;30;1;33;0;2;115
"330110 Cantagalo";1;0;0;1;0;0;2
"330093 Carapebus";1;0;0;1;0;0;2
"330115 Cardoso Moreira";0;0;0;1;0;0;1
"330130 Casimiro de Abreu";3;0;0;4;0;0;7
"330095 Comendador Levy Gasparian";0;1;0;0;0;0;1
"330150 Cordeiro";1;0;0;0;0;0;1
"330170 Duque de Caxias";50;37;3;121;0;16;227
"330185 Guapimirim";3;0;2;2;0;0;7
"330187 Iguaba Grande";3;0;0;1;0;0;4
"330190 Itaboraí";8;7;1;26;0;0;42
"330200 Itaguaí";5;3;0;14;0;1;23
"330210 Itaocara";0;0;0;1;0;0;1
"330220 Itaperuna";16;3;0;5;0;1;25
"330225 Itatiaia";0;1;0;1;0;0;2
"330227 Japeri";12;11;1;24;0;0;48
"330240 Macaé";28;20;0;23;1;0;72
"330250 Magé";20;21;0;43;0;2;86
"330260 Mangaratiba";4;3;2;3;0;0;12
"330270 Maricá";9;3;0;8;0;0;20
"330285 Mesquita";10;14;0;18;0;0;42
"330290 Miguel Pereira";1;0;0;1;0;0;2
"330300 Miracema";1;1;0;0;0;0;2
"330310 Natividade";1;0;0;0;0;0;1
"330320 Nilópolis";3;3;0;9;0;3;18
"330330 Niterói";29;23;0;49;0;0;101
"330340 Nova Friburgo";14;5;1;4;0;0;24
"330350 Nova Iguaçu";68;57;6;185;2;4;322
"330360 Paracambi";2;0;0;3;0;0;5
"330370 Paraíba do Sul";4;2;1;7;0;0;14
"330380 Parati";1;0;1;1;0;0;3
"330385 Paty do Alferes";0;1;0;0;0;0;1
"330390 Petrópolis";22;12;1;20;0;0;55
"330395 Pinheiral";1;0;0;1;0;0;2
"330400 Piraí";2;3;1;3;0;0;9
"330410 Porciúncula";0;0;0;1;0;0;1
"330411 Porto Real";2;1;0;2;0;0;5
"330412 Quatis";2;0;0;0;0;0;2
"330414 Queimados";5;10;2;20;1;5;43
"330415 Quissamã";1;1;0;1;0;0;3
"330420 Resende";7;4;2;2;0;0;15
"330430 Rio Bonito";5;1;0;3;0;0;9
"330440 Rio Claro";0;0;0;1;0;0;1
"330452 Rio das Ostras";13;8;0;19;0;0;40
"330455 Rio de Janeiro";482;321;24;734;2;48;1611
"330470 Santo Antônio de Pádua";0;2;0;3;0;0;5
"330475 São Francisco de Itabapoana";1;0;0;1;0;0;2
"330490 São Gonçalo";54;45;1;118;1;0;219
"330500 São João da Barra";3;1;0;1;0;0;5
"330510 São João de Meriti";20;33;1;59;0;0;113
"330520 São Pedro da Aldeia";6;6;0;8;0;0;20
"330540 Sapucaia";0;0;0;1;0;0;1
"330550 Saquarema";5;5;0;5;0;0;15
"330555 Seropédica";3;7;0;7;0;0;17
"330575 Tanguá";0;0;0;1;0;0;1
"330580 Teresópolis";11;3;0;6;0;0;20
"330600 Três Rios";4;2;2;12;0;0;20
"330610 Valença";4;0;2;0;0;0;6
"330620 Vassouras";6;2;1;3;0;0;12
"330630 Volta Redonda";26;12;4;23;0;0;65
"330000 Município ignorado - RJ";0;2;0;4;0;0;6
"Total";1137;774;70;1749;7;85;3822
