 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Rio de Janeiro
Período:2025
"Município (Res)";"2025";"Total"
"330010 Angra dos Reis";27;27
"330020 Araruama";12;12
"330022 Areal";1;1
"330023 Armação dos Búzios";12;12
"330025 Arraial do Cabo";14;14
"330030 Barra do Piraí";9;9
"330040 Barra Mansa";25;25
"330045 Belford Roxo";52;52
"330060 Bom Jesus do Itabapoana";8;8
"330070 Cabo Frio";42;42
"330080 Cachoeiras de Macacu";7;7
"330100 Campos dos Goytacazes";83;83
"330110 Cantagalo";2;2
"330093 Carapebus";1;1
"330115 Cardoso Moreira";1;1
"330130 Casimiro de Abreu";5;5
"330170 Duque de Caxias";89;89
"330185 Guapimirim";4;4
"330187 Iguaba Grande";3;3
"330190 Itaboraí";28;28
"330200 Itaguaí";8;8
"330220 Itaperuna";13;13
"330225 Itatiaia";1;1
"330227 Japeri";31;31
"330230 Laje do Muriaé";1;1
"330240 Macaé";40;40
"330245 Macuco";1;1
"330250 Magé";49;49
"330260 Mangaratiba";9;9
"330270 Maricá";37;37
"330285 Mesquita";23;23
"330290 Miguel Pereira";1;1
"330300 Miracema";1;1
"330310 Natividade";1;1
"330320 Nilópolis";10;10
"330330 Niterói";75;75
"330340 Nova Friburgo";24;24
"330350 Nova Iguaçu";237;237
"330360 Paracambi";3;3
"330370 Paraíba do Sul";4;4
"330380 Parati";2;2
"330385 Paty do Alferes";4;4
"330390 Petrópolis";40;40
"330395 Pinheiral";4;4
"330400 Piraí";6;6
"330410 Porciúncula";1;1
"330411 Porto Real";4;4
"330414 Queimados";24;24
"330415 Quissamã";4;4
"330420 Resende";10;10
"330430 Rio Bonito";13;13
"330450 Rio das Flores";1;1
"330452 Rio das Ostras";27;27
"330455 Rio de Janeiro";1069;1069
"330470 Santo Antônio de Pádua";3;3
"330475 São Francisco de Itabapoana";1;1
"330490 São Gonçalo";184;184
"330500 São João da Barra";5;5
"330510 São João de Meriti";58;58
"330520 São Pedro da Aldeia";8;8
"330540 Sapucaia";1;1
"330550 Saquarema";18;18
"330555 Seropédica";5;5
"330570 Sumidouro";1;1
"330575 Tanguá";3;3
"330580 Teresópolis";9;9
"330600 Três Rios";13;13
"330610 Valença";1;1
"330620 Vassouras";7;7
"330630 Volta Redonda";52;52
"Total";2572;2572
