 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Rio de Janeiro
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"330010 Angra dos Reis";11;4;2;10;0;0;27
"330020 Araruama";3;2;0;7;0;0;12
"330022 Areal";1;0;0;0;0;0;1
"330023 Armação dos Búzios";3;1;0;7;0;1;12
"330025 Arraial do Cabo";8;2;0;4;0;0;14
"330030 Barra do Piraí";3;1;0;5;0;0;9
"330040 Barra Mansa";17;3;0;5;0;0;25
"330045 Belford Roxo";7;14;1;27;0;3;52
"330060 Bom Jesus do Itabapoana";3;2;0;2;0;1;8
"330070 Cabo Frio";15;5;0;20;0;2;42
"330080 Cachoeiras de Macacu";2;1;0;4;0;0;7
"330100 Campos dos Goytacazes";26;20;0;31;0;6;83
"330110 Cantagalo";1;1;0;0;0;0;2
"330093 Carapebus";1;0;0;0;0;0;1
"330115 Cardoso Moreira";0;0;0;1;0;0;1
"330130 Casimiro de Abreu";2;1;0;2;0;0;5
"330170 Duque de Caxias";21;19;3;42;1;3;89
"330185 Guapimirim";2;0;1;1;0;0;4
"330187 Iguaba Grande";1;0;0;2;0;0;3
"330190 Itaboraí";5;4;1;18;0;0;28
"330200 Itaguaí";4;0;0;4;0;0;8
"330220 Itaperuna";2;5;0;6;0;0;13
"330225 Itatiaia";0;0;0;1;0;0;1
"330227 Japeri";6;5;0;19;0;1;31
"330230 Laje do Muriaé";0;0;0;1;0;0;1
"330240 Macaé";14;10;1;15;0;0;40
"330245 Macuco";0;0;0;1;0;0;1
"330250 Magé";9;8;2;29;0;1;49
"330260 Mangaratiba";2;3;0;4;0;0;9
"330270 Maricá";11;7;0;18;0;1;37
"330285 Mesquita";5;6;0;11;0;1;23
"330290 Miguel Pereira";0;1;0;0;0;0;1
"330300 Miracema";0;1;0;0;0;0;1
"330310 Natividade";1;0;0;0;0;0;1
"330320 Nilópolis";1;0;0;6;0;3;10
"330330 Niterói";23;18;0;32;0;2;75
"330340 Nova Friburgo";14;3;2;5;0;0;24
"330350 Nova Iguaçu";45;44;2;137;0;9;237
"330360 Paracambi";1;0;0;2;0;0;3
"330370 Paraíba do Sul";1;1;0;2;0;0;4
"330380 Parati";1;0;0;1;0;0;2
"330385 Paty do Alferes";1;1;0;2;0;0;4
"330390 Petrópolis";12;9;0;19;0;0;40
"330395 Pinheiral";2;0;0;2;0;0;4
"330400 Piraí";1;1;0;4;0;0;6
"330410 Porciúncula";1;0;0;0;0;0;1
"330411 Porto Real";2;2;0;0;0;0;4
"330414 Queimados";5;8;1;9;0;1;24
"330415 Quissamã";2;0;0;2;0;0;4
"330420 Resende";6;0;0;4;0;0;10
"330430 Rio Bonito";3;1;1;8;0;0;13
"330450 Rio das Flores";0;1;0;0;0;0;1
"330452 Rio das Ostras";7;4;1;15;0;0;27
"330455 Rio de Janeiro";325;221;17;474;1;31;1069
"330470 Santo Antônio de Pádua";2;1;0;0;0;0;3
"330475 São Francisco de Itabapoana";1;0;0;0;0;0;1
"330490 São Gonçalo";43;36;0;102;0;3;184
"330500 São João da Barra";3;0;0;2;0;0;5
"330510 São João de Meriti";7;15;0;36;0;0;58
"330520 São Pedro da Aldeia";3;3;0;2;0;0;8
"330540 Sapucaia";0;1;0;0;0;0;1
"330550 Saquarema";6;4;0;8;0;0;18
"330555 Seropédica";2;2;0;1;0;0;5
"330570 Sumidouro";1;0;0;0;0;0;1
"330575 Tanguá";3;0;0;0;0;0;3
"330580 Teresópolis";5;2;0;2;0;0;9
"330600 Três Rios";5;1;1;6;0;0;13
"330610 Valença";0;0;0;1;0;0;1
"330620 Vassouras";1;4;0;2;0;0;7
"330630 Volta Redonda";23;7;3;19;0;0;52
"Total";744;516;39;1202;2;69;2572
