 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"350010 Adamantina";0;0;0;1;0;0;1;1;0;0;3
"350030 Aguaí";0;1;0;0;0;0;0;0;0;0;1
"350070 Agudos";0;0;0;0;1;0;0;0;0;0;1
"350075 Alambari";0;0;0;1;0;0;0;0;0;0;1
"350130 Álvares Machado";0;0;1;0;0;0;0;0;0;0;1
"350140 Álvaro de Carvalho";0;0;0;1;0;0;0;0;0;0;1
"350160 Americana";0;1;1;4;4;0;11;2;3;0;26
"350170 Américo Brasiliense";0;2;1;2;1;1;1;0;0;0;8
"350190 Amparo";0;0;1;1;1;1;0;0;1;0;5
"350210 Andradina";0;0;0;2;1;1;4;0;0;0;8
"350250 Aparecida";0;2;1;2;0;1;1;0;0;0;7
"350270 Apiaí";0;0;0;0;0;0;0;0;1;0;1
"350280 Araçatuba";0;2;2;4;5;2;5;2;4;0;26
"350290 Araçoiaba da Serra";0;0;0;0;1;0;0;0;0;0;1
"350310 Arandu";0;0;0;2;0;0;1;0;0;0;3
"350320 Araraquara";1;3;0;6;3;4;8;1;5;0;31
"350330 Araras";0;1;0;5;3;2;3;1;2;0;17
"350380 Artur Nogueira";0;0;0;0;2;0;1;0;0;0;3
"350400 Assis";0;1;0;2;1;0;1;0;0;0;5
"350410 Atibaia";0;1;1;5;2;5;0;2;1;0;17
"350440 Avanhandava";0;0;0;0;1;0;0;0;0;0;1
"350450 Avaré";0;1;1;6;2;1;2;0;0;0;13
"350480 Bálsamo";0;2;0;0;0;0;0;0;0;0;2
"350520 Bariri";0;0;0;1;0;0;1;0;0;0;2
"350530 Barra Bonita";0;0;0;0;0;1;0;0;0;0;1
"350535 Barra do Chapéu";0;0;0;0;0;0;1;0;0;0;1
"350550 Barretos";0;4;3;5;1;3;9;4;1;0;30
"350560 Barrinha";0;1;0;0;0;2;0;0;0;0;3
"350570 Barueri";1;1;1;9;3;2;23;4;2;0;46
"350580 Bastos";0;0;0;1;0;0;0;0;0;0;1
"350590 Batatais";0;0;0;1;2;1;2;0;0;0;6
"350600 Bauru";1;2;6;19;14;11;22;2;4;0;81
"350610 Bebedouro";0;0;13;6;1;1;0;0;1;0;22
"350635 Bertioga";0;0;1;0;0;0;0;0;0;0;1
"350650 Birigui";0;2;0;6;0;2;2;0;1;0;13
"350690 Bofete";0;0;0;0;1;0;0;0;0;0;1
"350700 Boituva";0;0;1;1;0;0;1;0;0;0;3
"350750 Botucatu";0;4;3;8;3;2;8;2;0;0;30
"350760 Bragança Paulista";0;2;1;2;5;2;3;0;2;0;17
"350790 Brotas";1;1;0;1;1;1;0;0;0;0;5
"350810 Buritama";0;0;0;0;0;1;1;0;1;0;3
"350840 Cabreúva";0;0;0;1;0;2;2;1;0;0;6
"350850 Caçapava";0;1;0;1;0;2;3;0;0;0;7
"350860 Cachoeira Paulista";0;0;0;2;0;0;1;0;1;0;4
"350890 Caiabu";0;0;0;1;0;0;0;0;0;0;1
"350900 Caieiras";0;0;0;2;0;0;1;0;0;0;3
"350910 Caiuá";0;1;0;0;0;0;0;0;0;0;1
"350920 Cajamar";0;0;0;2;0;0;5;2;1;0;10
"350925 Cajati";0;2;0;2;0;0;1;0;0;0;5
"350950 Campinas";1;18;2;27;17;15;54;17;20;0;171
"350960 Campo Limpo Paulista";0;1;0;1;0;0;3;0;1;0;6
"350970 Campos do Jordão";0;0;0;4;0;1;0;0;1;0;6
"351000 Cândido Mota";0;0;0;0;0;0;1;0;0;0;1
"351010 Cândido Rodrigues";0;1;0;0;0;0;0;0;0;0;1
"351020 Capão Bonito";0;0;1;0;0;0;1;0;0;0;2
"351030 Capela do Alto";1;0;0;0;1;0;0;0;0;0;2
"351040 Capivari";0;1;1;2;2;0;1;1;0;0;8
"351050 Caraguatatuba";1;5;1;4;7;4;7;1;0;0;30
"351060 Carapicuíba";1;2;1;3;10;3;13;4;5;0;42
"351110 Catanduva";0;6;1;7;4;5;8;1;4;0;36
"351130 Cedral";0;0;0;1;0;0;0;0;0;0;1
"351140 Cerqueira César";0;0;1;2;0;0;0;0;0;0;3
"351150 Cerquilho";0;0;0;2;1;0;0;0;0;0;3
"351190 Clementina";0;1;0;0;0;0;0;0;0;0;1
"351200 Colina";0;1;0;0;1;0;1;0;0;0;3
"351220 Conchal";0;0;0;1;0;1;0;0;0;0;2
"351240 Cordeirópolis";0;0;0;0;0;0;1;0;0;0;1
"351280 Cosmópolis";0;1;0;1;1;0;2;0;0;0;5
"351300 Cotia";0;0;2;2;1;2;4;1;3;0;15
"351310 Cravinhos";0;0;0;1;2;0;0;0;0;0;3
"351340 Cruzeiro";0;0;1;4;0;1;5;0;0;0;11
"351350 Cubatão";0;0;1;8;3;1;0;1;0;0;14
"351360 Cunha";0;0;1;0;0;0;0;0;0;0;1
"351370 Descalvado";0;0;0;1;1;0;0;0;1;0;3
"351380 Diadema";2;4;3;10;6;11;21;5;4;0;66
"351410 Dois Córregos";0;0;0;1;0;0;0;0;0;0;1
"351420 Dolcinópolis";0;1;0;0;0;0;0;0;0;0;1
"351430 Dourado";0;0;1;0;0;0;0;0;0;0;1
"351440 Dracena";0;0;0;1;0;0;0;0;1;0;2
"351480 Eldorado";0;1;0;1;0;0;0;0;0;0;2
"351490 Elias Fausto";0;0;0;2;1;0;0;0;0;0;3
"351500 Embu";0;1;1;7;2;2;7;1;2;0;23
"351512 Emilianópolis";0;1;0;0;0;0;0;0;0;0;1
"351518 Espírito Santo do Pinhal";0;0;0;0;1;2;0;0;1;0;4
"355730 Estiva Gerbi";0;0;0;0;0;0;1;0;1;0;2
"351540 Fartura";0;1;0;0;0;0;0;0;0;0;1
"351550 Fernandópolis";0;2;3;7;1;1;3;1;1;0;19
"351570 Ferraz de Vasconcelos";0;1;3;2;2;2;8;1;0;0;19
"351620 Franca";0;5;2;7;1;5;11;0;5;0;36
"351630 Francisco Morato";0;0;0;4;2;2;8;1;0;0;17
"351640 Franco da Rocha";0;1;0;7;0;1;6;0;2;0;17
"351710 Glicério";0;1;0;0;0;0;0;0;0;0;1
"351740 Guaíra";0;0;1;1;0;0;4;0;1;0;7
"351790 Guaraci";0;1;0;0;0;0;0;0;0;0;1
"351820 Guararapes";0;1;0;0;0;0;0;0;0;0;1
"351840 Guaratinguetá";0;0;0;1;3;2;7;1;0;0;14
"351850 Guareí";0;0;0;1;0;1;1;0;0;0;3
"351860 Guariba";0;1;0;0;1;1;0;0;1;0;4
"351870 Guarujá";3;9;1;19;6;10;9;3;2;0;62
"351880 Guarulhos";1;7;8;27;21;14;50;12;22;0;162
"351907 Hortolândia";1;0;1;3;1;0;7;0;1;0;14
"351930 Ibaté";0;0;0;0;0;1;0;0;0;0;1
"351940 Ibirá";0;0;1;0;0;0;0;0;0;0;1
"351960 Ibitinga";0;1;1;0;0;0;0;0;1;0;3
"351970 Ibiúna";0;0;0;1;0;0;0;0;0;0;1
"351980 Icém";0;0;0;0;0;0;0;0;1;0;1
"351990 Iepê";0;0;0;1;0;0;0;0;0;0;1
"352000 Igaraçu do Tietê";0;0;0;2;0;0;0;0;0;0;2
"352010 Igarapava";0;0;0;2;1;0;0;0;0;0;3
"352020 Igaratá";0;0;0;0;0;0;1;0;2;0;3
"352044 Ilha Solteira";0;0;0;1;0;0;0;1;0;0;2
"352040 Ilhabela";0;0;0;0;0;0;2;0;1;0;3
"352050 Indaiatuba";0;0;0;1;5;2;8;1;2;0;19
"352140 Iracemápolis";0;0;0;0;0;0;0;0;1;0;1
"352160 Irapuru";0;0;0;0;1;0;0;0;0;0;1
"352180 Itaí";0;1;0;1;0;0;0;0;0;0;2
