 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: São Paulo
Período:2015
"Município (Res)";"Masculino";"Feminino";"Total"
"350010 Adamantina";3;0;3
"350030 Aguaí";2;0;2
"350070 Agudos";1;0;1
"350075 Alambari";1;0;1
"350130 Álvares Machado";2;0;2
"350140 Álvaro de Carvalho";1;0;1
"350160 Americana";29;3;32
"350170 Américo Brasiliense";6;7;13
"350190 Amparo";7;0;7
"350210 Andradina";8;2;10
"350240 Anhumas";0;1;1
"350250 Aparecida";10;4;14
"350260 Aparecida d'Oeste";1;0;1
"350270 Apiaí";1;0;1
"350275 Araçariguama";1;0;1
"350280 Araçatuba";23;13;36
"350290 Araçoiaba da Serra";2;0;2
"350310 Arandu";1;2;3
"350320 Araraquara";24;12;36
"350330 Araras";13;4;17
"350380 Artur Nogueira";2;2;4
"350390 Arujá";2;0;2
"350400 Assis";6;5;11
"350410 Atibaia";13;7;20
"350440 Avanhandava";2;0;2
"350450 Avaré";11;3;14
"350480 Bálsamo";1;1;2
"350520 Bariri";1;1;2
"350530 Barra Bonita";1;0;1
"350535 Barra do Chapéu";1;0;1
"350550 Barretos";18;14;32
"350560 Barrinha";2;2;4
"350570 Barueri";39;16;55
"350580 Bastos";1;0;1
"350590 Batatais";5;2;7
"350600 Bauru";58;29;87
"350610 Bebedouro";16;9;25
"350635 Bertioga";2;0;2
"350650 Birigui";14;8;22
"350680 Bocaina";0;1;1
"350690 Bofete";1;0;1
"350700 Boituva";5;0;5
"350740 Borborema";2;0;2
"350750 Botucatu";26;5;31
"350760 Bragança Paulista";16;8;24
"350790 Brotas";3;2;5
"350810 Buritama";3;0;3
"350840 Cabreúva";5;1;6
"350850 Caçapava";5;5;10
"350860 Cachoeira Paulista";5;1;6
"350880 Cafelândia";1;0;1
"350890 Caiabu";0;1;1
"350900 Caieiras";2;2;4
"350910 Caiuá";1;0;1
"350920 Cajamar";6;4;10
"350925 Cajati";4;3;7
"350950 Campinas";172;65;237
"350960 Campo Limpo Paulista";5;2;7
"350970 Campos do Jordão";5;1;6
"350990 Cananéia";1;0;1
"351000 Cândido Mota";0;1;1
"351010 Cândido Rodrigues";1;0;1
"351020 Capão Bonito";2;0;2
"351030 Capela do Alto";5;0;5
"351040 Capivari";5;3;8
"351050 Caraguatatuba";17;14;31
"351060 Carapicuíba";43;14;57
"351110 Catanduva";23;13;36
"351130 Cedral";1;0;1
