 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"350010 Adamantina";0;1;0;0;0;2;1;1;0;5
"350030 Aguaí";0;0;0;0;0;0;2;0;0;2
"350130 Álvares Machado";0;0;0;1;1;0;0;0;0;2
"350140 Álvaro de Carvalho";0;0;0;1;0;0;0;0;0;1
"350160 Americana";0;2;0;4;6;4;4;2;2;24
"350170 Américo Brasiliense";1;1;0;3;0;1;3;1;0;10
"350190 Amparo";0;1;1;1;1;0;2;0;1;7
"350210 Andradina";0;0;0;2;0;1;2;0;0;5
"350250 Aparecida";0;1;0;0;0;1;1;0;1;4
"350270 Apiaí";0;2;0;0;0;3;2;0;0;7
"350275 Araçariguama";0;0;0;0;0;1;1;0;0;2
"350280 Araçatuba";0;1;1;4;1;6;7;0;5;25
"350290 Araçoiaba da Serra";0;0;0;0;0;0;1;0;0;1
"350320 Araraquara";1;2;1;7;5;1;3;0;6;26
"350330 Araras";0;0;1;3;0;1;2;2;1;10
"350360 Areiópolis";0;0;0;1;0;0;0;0;0;1
"350370 Ariranha";0;0;0;0;0;0;1;0;0;1
"350380 Artur Nogueira";0;0;0;1;0;1;1;0;0;3
"350390 Arujá";0;0;0;0;2;0;0;2;0;4
"350400 Assis";0;1;0;0;0;2;3;0;1;7
"350410 Atibaia";0;1;0;1;2;3;3;0;5;15
"350450 Avaré";0;2;0;3;1;1;1;1;2;11
"350460 Bady Bassitt";0;0;0;0;0;0;3;0;0;3
"350530 Barra Bonita";0;0;0;0;0;0;1;0;0;1
"350550 Barretos";0;1;1;2;7;3;14;1;4;33
"350560 Barrinha";0;0;0;1;2;0;0;0;0;3
"350570 Barueri";0;2;2;9;8;5;18;2;5;51
"350580 Bastos";0;0;0;0;1;0;0;0;0;1
"350590 Batatais";0;0;0;0;0;1;0;0;0;1
"350600 Bauru";1;6;3;6;9;8;26;3;7;69
"350610 Bebedouro";0;1;1;3;2;0;4;0;2;13
"350635 Bertioga";0;0;0;2;0;0;1;0;2;5
"350640 Bilac";0;0;0;0;0;0;0;1;0;1
"350650 Birigui";0;1;0;1;1;1;4;1;2;11
"350700 Boituva";0;0;0;2;0;1;3;1;3;10
"350715 Bom Sucesso de Itararé";0;0;0;0;0;1;0;0;0;1
"350740 Borborema";0;0;0;1;1;0;0;0;0;2
"350745 Borebi";0;0;0;0;1;0;0;0;0;1
"350750 Botucatu";0;3;3;3;1;4;5;0;4;23
"350760 Bragança Paulista";0;0;0;2;1;1;7;2;4;17
"350770 Braúna";0;0;0;0;0;0;1;0;0;1
"350780 Brodowski";0;0;0;0;1;1;0;0;0;2
"350790 Brotas";0;0;2;0;0;0;0;1;1;4
"350800 Buri";0;0;1;0;0;0;0;0;0;1
"350810 Buritama";0;0;0;0;0;0;1;0;0;1
"350830 Cabrália Paulista";0;0;0;0;1;0;0;0;0;1
"350850 Caçapava";0;0;0;0;1;2;1;2;1;7
"350860 Cachoeira Paulista";0;0;0;0;0;1;0;0;0;1
"350900 Caieiras";0;1;0;0;0;0;1;0;0;2
"350910 Caiuá";0;0;0;2;0;1;0;0;0;3
"350920 Cajamar";0;0;0;1;0;1;2;0;1;5
"350925 Cajati";0;0;0;0;0;1;0;0;1;2
"350940 Cajuru";0;0;0;2;0;0;1;0;0;3
"350950 Campinas";3;4;1;14;5;10;30;5;17;89
"350960 Campo Limpo Paulista";0;0;0;1;0;1;3;0;0;5
"350970 Campos do Jordão";0;1;1;1;0;1;2;0;1;7
"350980 Campos Novos Paulista";0;0;0;1;0;0;0;0;0;1
"350990 Cananéia";0;0;0;0;0;1;0;0;0;1
"351000 Cândido Mota";0;0;0;0;0;0;0;1;0;1
"351040 Capivari";0;0;0;2;1;0;1;0;1;5
"351050 Caraguatatuba";0;1;1;5;10;3;4;0;2;26
"351060 Carapicuíba";0;0;0;2;6;7;21;3;2;41
"351080 Casa Branca";0;0;0;0;0;0;1;0;0;1
"351110 Catanduva";0;2;0;3;2;1;3;1;3;15
"351130 Cedral";0;0;0;0;0;0;1;0;0;1
"351140 Cerqueira César";0;0;0;0;1;0;0;0;1;2
