 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"350010 Adamantina";0;0;0;0;0;1;1;0;0;0;0;0;2
"350020 Adolfo";0;0;0;0;0;0;0;0;0;1;0;0;1
"350030 Aguaí";0;0;0;0;0;0;0;0;1;0;0;0;1
"350050 Águas de Lindóia";0;0;0;0;0;0;0;0;1;0;0;0;1
"350070 Agudos";0;0;0;0;0;0;1;1;0;0;0;0;2
"350130 Álvares Machado";0;0;0;0;0;2;1;1;0;0;0;0;4
"350160 Americana";0;0;0;0;1;5;8;7;3;1;1;0;26
"350170 Américo Brasiliense";0;0;0;0;0;0;2;0;2;1;2;0;7
"350180 Américo de Campos";0;0;0;0;0;0;1;0;0;0;0;0;1
"350190 Amparo";0;0;0;0;0;1;1;2;1;1;0;0;6
"350200 Analândia";0;0;0;0;0;0;0;1;0;0;0;0;1
"350210 Andradina";0;0;0;0;0;5;5;2;2;0;0;0;14
"350240 Anhumas";0;0;0;0;0;1;0;0;0;0;0;0;1
"350250 Aparecida";0;0;0;0;0;1;5;3;1;0;0;0;10
"350270 Apiaí";0;0;0;0;0;0;1;0;0;0;1;0;2
"350275 Araçariguama";0;0;0;0;0;0;2;0;1;0;0;0;3
"350280 Araçatuba";0;0;0;0;1;10;9;6;7;0;0;0;33
"350310 Arandu";0;0;0;0;0;0;1;0;0;0;0;0;1
"350320 Araraquara";0;0;0;0;1;4;6;11;13;2;2;0;39
"350330 Araras";0;0;0;0;1;2;3;3;3;0;0;0;12
"350335 Arco-Íris";0;0;0;0;0;1;0;0;0;0;0;0;1
"350380 Artur Nogueira";0;0;0;0;0;1;0;0;1;0;0;0;2
"350390 Arujá";0;0;0;0;0;0;3;1;0;1;0;0;5
"350400 Assis";0;0;0;0;0;3;2;2;1;0;0;0;8
"350410 Atibaia";0;0;0;0;0;4;3;6;1;0;0;0;14
"350450 Avaré";0;0;0;0;0;3;2;2;1;0;0;0;8
"350490 Bananal";0;0;0;0;0;0;1;0;0;0;0;0;1
"350510 Barbosa";0;0;0;0;0;0;1;0;0;0;0;0;1
"350520 Bariri";0;0;0;0;0;1;0;0;0;0;0;0;1
"350535 Barra do Chapéu";0;0;0;0;0;0;0;1;0;0;0;0;1
"350550 Barretos";0;0;0;0;0;6;3;13;3;3;0;1;29
"350560 Barrinha";0;0;0;0;0;0;0;1;0;1;0;0;2
"350570 Barueri";0;0;0;0;1;21;14;8;4;2;0;0;50
"350590 Batatais";0;0;0;0;0;1;0;1;1;0;0;0;3
"350600 Bauru";0;1;0;0;2;14;19;17;0;3;1;1;58
"350610 Bebedouro";0;0;0;0;0;1;3;1;1;1;0;0;7
"350635 Bertioga";0;0;0;0;0;1;4;3;0;1;0;0;9
"350650 Birigui";0;0;0;0;0;2;3;2;2;3;0;0;12
"350660 Biritiba-Mirim";1;0;0;0;0;2;0;1;1;0;0;0;5
"350670 Boa Esperança do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1
"350680 Bocaina";0;0;0;0;0;0;1;0;0;0;0;0;1
"350700 Boituva";0;0;0;0;0;3;2;1;0;0;0;0;6
"350710 Bom Jesus dos Perdões";0;0;0;0;0;0;0;0;0;1;0;0;1
"350750 Botucatu";0;0;0;0;0;6;8;6;2;0;1;0;23
"350760 Bragança Paulista";0;0;0;0;1;4;4;6;4;1;0;0;20
"350790 Brotas";0;0;0;0;0;0;2;0;0;0;0;0;2
"350800 Buri";0;0;0;0;0;1;0;0;0;0;0;0;1
"350810 Buritama";0;0;0;0;0;0;0;0;1;0;0;0;1
"350840 Cabreúva";0;0;0;0;0;1;0;1;0;0;0;0;2
"350850 Caçapava";0;0;0;0;0;3;1;0;2;0;0;0;6
"350860 Cachoeira Paulista";0;0;0;0;0;0;1;0;0;0;0;0;1
"350870 Caconde";0;0;0;0;0;0;0;1;0;0;0;0;1
"350880 Cafelândia";0;0;0;0;0;1;1;1;0;0;0;0;3
"350900 Caieiras";0;0;0;0;0;1;0;0;1;0;0;0;2
"350920 Cajamar";0;0;0;0;0;2;4;2;2;0;1;0;11
"350925 Cajati";0;0;0;0;0;0;1;0;0;0;0;0;1
"350950 Campinas";0;0;1;0;4;36;38;33;22;7;1;0;142
"350960 Campo Limpo Paulista";0;0;0;0;0;1;1;1;0;0;0;0;3
"350970 Campos do Jordão";0;0;0;0;0;0;2;1;2;0;0;0;5
"350990 Cananéia";0;0;0;0;0;0;0;1;0;0;0;0;1
"351000 Cândido Mota";0;0;0;0;0;0;0;0;0;1;0;0;1
"351020 Capão Bonito";0;0;0;0;0;0;0;0;0;1;0;0;1
"351030 Capela do Alto";0;0;0;0;0;0;0;1;0;0;0;0;1
"351040 Capivari";0;0;0;0;0;0;1;4;0;0;0;0;5
"351050 Caraguatatuba";0;0;0;0;0;7;7;6;4;2;0;0;26
"351060 Carapicuíba";0;0;0;0;2;11;18;10;9;3;0;0;53
"351100 Castilho";0;0;0;0;0;0;0;1;0;0;0;0;1
"351110 Catanduva";0;0;0;0;2;5;4;3;5;1;0;0;20
"351130 Cedral";0;0;0;0;0;1;0;0;0;0;0;0;1
"351140 Cerqueira César";0;0;0;0;0;1;0;0;0;1;0;0;2
"351150 Cerquilho";0;0;0;0;0;0;2;0;1;0;0;0;3
"351160 Cesário Lange";0;0;0;0;0;0;0;1;0;0;0;0;1
"351190 Clementina";0;0;0;0;0;1;0;0;0;0;0;0;1
"351200 Colina";0;0;0;0;0;0;0;2;0;0;0;0;2
"351210 Colômbia";0;0;0;0;0;0;0;1;0;0;0;0;1
"351220 Conchal";0;0;0;0;0;0;0;3;0;0;0;0;3
