 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: São Paulo
Período:2021
"Município (Res)";"2021";"Total"
"350010 Adamantina";6;6
"350020 Adolfo";1;1
"350050 Águas de Lindóia";2;2
"350070 Agudos";4;4
"350080 Alfredo Marcondes";1;1
"350115 Alumínio";1;1
"350120 Álvares Florence";1;1
"350130 Álvares Machado";4;4
"350140 Álvaro de Carvalho";1;1
"350160 Americana";26;26
"350170 Américo Brasiliense";11;11
"350190 Amparo";17;17
"350210 Andradina";4;4
"350250 Aparecida";4;4
"350270 Apiaí";3;3
"350275 Araçariguama";2;2
"350280 Araçatuba";39;39
"350320 Araraquara";28;28
"350330 Araras";8;8
"350350 Areias";1;1
"350380 Artur Nogueira";3;3
"350390 Arujá";3;3
"350395 Aspásia";2;2
"350400 Assis";9;9
"350410 Atibaia";9;9
"350420 Auriflama";2;2
"350450 Avaré";2;2
"350460 Bady Bassitt";1;1
"350520 Bariri";3;3
"350530 Barra Bonita";2;2
"350535 Barra do Chapéu";1;1
"350550 Barretos";38;38
"350560 Barrinha";3;3
"350570 Barueri";66;66
"350580 Bastos";1;1
"350590 Batatais";2;2
"350600 Bauru";75;75
"350610 Bebedouro";10;10
"350630 Bernardino de Campos";1;1
"350635 Bertioga";6;6
"350650 Birigui";14;14
"350700 Boituva";6;6
"350710 Bom Jesus dos Perdões";1;1
"350750 Botucatu";26;26
"350760 Bragança Paulista";21;21
"350770 Braúna";1;1
"350790 Brotas";1;1
"350810 Buritama";3;3
"350840 Cabreúva";2;2
"350850 Caçapava";18;18
"350860 Cachoeira Paulista";3;3
"350900 Caieiras";1;1
"350920 Cajamar";9;9
"350925 Cajati";3;3
"350940 Cajuru";1;1
"350950 Campinas";155;155
"350960 Campo Limpo Paulista";3;3
"350970 Campos do Jordão";4;4
"350990 Cananéia";1;1
"351020 Capão Bonito";3;3
"351040 Capivari";3;3
"351050 Caraguatatuba";40;40
"351060 Carapicuíba";63;63
"351070 Cardoso";2;2
"351100 Castilho";4;4
"351110 Catanduva";20;20
"351130 Cedral";1;1
"351140 Cerqueira César";2;2
"351150 Cerquilho";2;2
"351190 Clementina";1;1
"351200 Colina";6;6
"351220 Conchal";4;4
"351280 Cosmópolis";2;2
"351300 Cotia";21;21
"351340 Cruzeiro";5;5
"351350 Cubatão";17;17
"351370 Descalvado";2;2
"351380 Diadema";57;57
"351390 Divinolândia";1;1
"351410 Dois Córregos";1;1
"351440 Dracena";2;2
"351500 Embu";16;16
"351510 Embu-Guaçu";2;2
"351515 Engenheiro Coelho";1;1
"351518 Espírito Santo do Pinhal";3;3
"355730 Estiva Gerbi";1;1
"351530 Estrela do Norte";1;1
"351540 Fartura";1;1
"351550 Fernandópolis";6;6
"351570 Ferraz de Vasconcelos";12;12
"351590 Floreal";1;1
"351600 Flórida Paulista";1;1
"351610 Florínia";1;1
"351620 Franca";52;52
"351630 Francisco Morato";20;20
"351640 Franco da Rocha";15;15
"351670 Garça";2;2
"351690 General Salgado";1;1
"351700 Getulina";3;3
"351720 Guaiçara";1;1
"351740 Guaíra";4;4
"351750 Guapiaçu";1;1
"351770 Guará";1;1
"351820 Guararapes";1;1
"351830 Guararema";1;1
"351840 Guaratinguetá";9;9
"351850 Guareí";4;4
"351860 Guariba";1;1
"351870 Guarujá";42;42
"351880 Guarulhos";170;170
"351905 Holambra";2;2
"351907 Hortolândia";20;20
"351920 Iacri";1;1
"351930 Ibaté";6;6
"351960 Ibitinga";6;6
"351970 Ibiúna";3;3
"351980 Icém";1;1
"352000 Igaraçu do Tietê";3;3
"352010 Igarapava";2;2
"352020 Igaratá";2;2
"352030 Iguape";3;3
"352040 Ilhabela";4;4
