 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"350010 Adamantina";0;0;0;0;3;4;0;2;0;0;0;9
"350030 Aguaí";0;0;0;0;0;0;0;0;1;0;0;1
"350070 Agudos";0;0;0;0;0;0;0;1;0;0;0;1
"350100 Altinópolis";0;0;0;0;0;0;1;0;0;0;0;1
"350130 Álvares Machado";0;0;0;0;0;2;1;0;0;0;0;3
"350160 Americana";1;0;0;1;0;15;11;3;5;0;0;36
"350170 Américo Brasiliense";0;0;0;0;1;4;5;0;1;0;0;11
"350180 Américo de Campos";0;0;0;0;0;0;1;0;0;0;0;1
"350190 Amparo";0;0;0;0;1;2;3;1;1;0;0;8
"350210 Andradina";0;0;0;0;1;3;2;1;1;0;0;8
"350250 Aparecida";0;0;0;0;0;2;0;0;0;0;0;2
"350260 Aparecida d'Oeste";0;0;0;0;0;1;0;0;0;0;0;1
"350270 Apiaí";0;0;0;0;0;1;1;0;1;0;0;3
"350275 Araçariguama";0;0;0;0;1;1;1;1;1;0;0;5
"350280 Araçatuba";1;0;0;0;10;9;14;6;2;1;0;43
"350290 Araçoiaba da Serra";0;0;0;0;0;2;1;1;0;0;0;4
"350320 Araraquara";0;0;0;0;5;3;5;4;1;0;0;18
"350330 Araras";0;0;0;0;0;1;0;1;1;0;0;3
"350360 Areiópolis";0;0;0;0;1;0;0;0;0;0;0;1
"350380 Artur Nogueira";0;0;0;0;0;3;0;1;0;0;0;4
"350390 Arujá";0;0;1;0;0;2;0;1;0;0;0;4
"350400 Assis";0;0;0;1;3;6;2;2;0;1;0;15
"350410 Atibaia";0;0;0;0;1;5;2;1;1;0;0;10
"350420 Auriflama";0;0;0;0;0;1;0;1;0;0;0;2
"350450 Avaré";0;0;0;0;1;2;3;1;1;0;0;8
"350470 Balbinos";0;0;0;0;0;1;0;0;0;0;0;1
"350510 Barbosa";0;0;0;0;0;1;0;0;0;0;0;1
"350520 Bariri";0;0;0;0;0;0;1;0;0;0;0;1
"350530 Barra Bonita";0;0;0;0;0;1;0;1;0;0;0;2
"350550 Barretos";0;0;0;1;7;6;6;2;3;0;0;25
"350560 Barrinha";0;0;0;0;0;0;2;0;0;0;0;2
"350570 Barueri";0;0;0;1;31;19;12;13;3;0;0;79
"350580 Bastos";0;0;0;0;1;1;0;0;0;0;0;2
"350600 Bauru";0;1;0;1;24;21;19;13;2;0;0;81
"350610 Bebedouro";0;0;0;0;1;0;1;1;1;0;0;4
"350635 Bertioga";0;0;0;0;3;0;0;2;1;1;0;7
"350640 Bilac";0;0;0;0;0;0;0;1;0;0;0;1
"350650 Birigui";0;0;0;0;2;2;3;1;1;0;0;9
"350690 Bofete";0;0;0;0;0;0;0;1;0;0;0;1
"350700 Boituva";0;0;0;1;2;1;3;1;0;1;0;9
"350730 Boracéia";0;0;0;0;0;0;0;1;0;0;0;1
"350750 Botucatu";0;0;0;0;2;2;8;2;1;0;1;16
"350760 Bragança Paulista";0;0;0;0;8;5;4;2;1;0;0;20
"350780 Brodowski";0;0;0;0;0;0;0;1;0;0;0;1
"350790 Brotas";0;0;0;0;1;1;0;1;0;0;0;3
"350800 Buri";0;0;0;0;1;0;0;0;0;0;0;1
"350810 Buritama";0;0;0;0;0;1;1;0;0;0;0;2
"350840 Cabreúva";0;0;0;0;0;0;1;0;0;0;0;1
"350850 Caçapava";0;0;0;0;0;4;3;0;0;0;0;7
"350860 Cachoeira Paulista";0;0;0;0;3;3;1;0;0;0;0;7
"350900 Caieiras";0;0;0;0;3;4;3;1;0;0;0;11
"350910 Caiuá";0;0;0;0;0;1;0;0;0;0;0;1
"350920 Cajamar";0;0;0;0;5;3;1;1;0;0;0;10
"350925 Cajati";0;0;0;0;0;0;1;1;0;0;0;2
"350930 Cajobi";0;0;0;0;0;0;1;0;0;0;0;1
"350940 Cajuru";0;0;0;0;0;1;0;1;0;0;0;2
"350950 Campinas";1;1;0;4;40;54;43;29;6;1;0;179
"350960 Campo Limpo Paulista";0;0;0;0;0;4;1;0;0;0;0;5
"350970 Campos do Jordão";0;0;0;0;0;2;0;0;0;0;0;2
"350990 Cananéia";0;0;0;0;0;0;0;1;0;0;0;1
"351030 Capela do Alto";0;0;0;0;1;1;1;0;0;0;0;3
"351040 Capivari";0;0;0;0;2;4;3;0;1;0;0;10
"351050 Caraguatatuba";0;0;0;2;10;11;8;3;2;1;0;37
"351060 Carapicuíba";0;1;0;0;13;24;16;7;1;0;1;63
"351070 Cardoso";0;0;0;0;1;0;0;0;0;0;0;1
"351100 Castilho";0;0;0;0;0;0;0;1;1;0;0;2
"351110 Catanduva";0;0;0;0;1;2;2;4;3;1;0;13
"351120 Catiguá";0;0;0;0;0;0;0;0;1;0;0;1
"351130 Cedral";0;0;0;0;1;0;0;0;0;0;0;1
"351150 Cerquilho";0;0;0;0;1;1;0;0;0;0;0;2
"351200 Colina";0;0;0;0;0;2;0;1;0;0;0;3
"351230 Conchas";0;0;0;0;0;0;1;0;0;0;0;1
"351240 Cordeirópolis";0;0;0;0;0;1;0;1;1;1;0;4
"351280 Cosmópolis";0;0;0;0;1;2;0;2;0;0;0;5
"351300 Cotia";0;0;0;0;5;4;6;3;2;0;0;20
"351310 Cravinhos";0;0;0;0;0;1;2;0;1;0;0;4
"351320 Cristais Paulista";0;0;0;0;0;1;0;0;0;0;0;1
"351340 Cruzeiro";0;0;0;0;3;3;1;1;2;0;0;10
"351350 Cubatão";0;0;0;0;5;4;8;2;0;1;0;20
"351370 Descalvado";0;0;0;0;0;1;0;0;0;0;0;1
"351380 Diadema";0;0;0;1;22;22;12;9;1;0;0;67
"351390 Divinolândia";0;0;0;0;0;0;1;0;0;0;0;1
"351410 Dois Córregos";0;0;0;0;0;1;0;0;0;0;0;1
"351440 Dracena";0;0;0;0;1;0;1;1;1;0;0;4
"351450 Duartina";0;0;0;0;0;1;0;1;1;0;0;3
"351490 Elias Fausto";0;0;0;0;0;1;0;0;1;0;0;2
"351500 Embu";0;0;0;1;7;7;5;2;1;0;0;23
"351510 Embu-Guaçu";0;0;0;0;1;1;0;0;3;0;0;5
"351515 Engenheiro Coelho";0;0;0;0;0;0;0;1;0;0;0;1
"351518 Espírito Santo do Pinhal";0;0;0;0;0;0;0;1;0;0;0;1
"351540 Fartura";0;0;0;0;1;0;0;0;0;0;0;1
"351550 Fernandópolis";0;0;0;0;3;5;6;5;0;0;0;19
"351570 Ferraz de Vasconcelos";0;0;0;0;9;6;6;1;1;0;0;23
"351590 Floreal";0;0;0;0;0;1;0;0;0;0;0;1
"351600 Flórida Paulista";0;0;0;0;1;0;1;0;0;0;0;2
"351620 Franca";0;0;0;1;14;22;9;6;1;0;0;53
"351630 Francisco Morato";0;0;0;0;10;7;7;5;0;0;0;29
"351640 Franco da Rocha";0;0;0;0;9;7;4;1;1;0;0;22
"351670 Garça";0;0;0;0;0;1;0;0;0;0;0;1
"351680 Gastão Vidigal";0;0;0;0;1;0;0;0;0;0;0;1
"351690 General Salgado";0;0;0;0;0;1;1;1;1;0;0;4
"351700 Getulina";0;0;0;0;0;1;0;0;0;0;0;1
"351730 Guaimbê";0;0;0;0;0;0;1;0;0;0;0;1
"351740 Guaíra";0;0;0;0;1;3;0;0;0;0;0;4
"351750 Guapiaçu";0;0;0;0;0;1;0;0;0;0;0;1
"351770 Guará";0;0;0;0;0;0;1;0;1;0;0;2
"351800 Guarani d'Oeste";0;0;0;0;0;0;1;0;0;0;0;1
"351820 Guararapes";0;0;0;0;0;0;0;1;0;0;0;1
"351830 Guararema";0;0;0;0;0;1;1;1;0;0;0;3
"351840 Guaratinguetá";0;0;0;0;4;6;2;2;1;0;0;15
"351850 Guareí";0;0;0;0;6;8;5;0;0;0;0;19
"351860 Guariba";0;0;0;0;0;0;3;0;0;0;0;3
"351870 Guarujá";0;0;0;0;14;18;7;11;4;0;0;54
"351880 Guarulhos";1;0;2;3;44;58;26;17;5;1;0;157
"351900 Herculândia";0;0;0;1;0;1;1;0;0;0;0;3
"351905 Holambra";0;0;0;0;0;1;0;0;0;0;0;1
"351907 Hortolândia";1;0;0;1;9;5;5;1;1;0;0;23
"351910 Iacanga";0;0;0;0;0;0;1;0;0;0;0;1
"351925 Iaras";0;0;0;0;0;1;0;0;0;0;0;1
"351930 Ibaté";0;0;0;0;1;0;2;1;0;0;0;4
"351940 Ibirá";0;0;0;0;0;2;0;0;0;0;0;2
"351950 Ibirarema";0;0;0;0;0;0;1;0;0;0;0;1
"351960 Ibitinga";0;0;0;0;0;2;1;5;0;0;0;8
"351970 Ibiúna";0;0;0;0;1;1;1;0;0;0;0;3
"352000 Igaraçu do Tietê";0;0;0;0;1;0;0;0;1;0;0;2
"352010 Igarapava";0;0;0;0;0;0;1;1;0;0;0;2
"352020 Igaratá";0;0;0;0;0;1;1;0;0;0;0;2
"352042 Ilha Comprida";0;0;0;0;1;1;0;0;0;0;0;2
"352044 Ilha Solteira";0;0;0;0;1;0;1;0;0;0;0;2
"352040 Ilhabela";0;0;0;0;0;3;1;0;0;1;0;5
"352050 Indaiatuba";0;0;0;0;11;1;6;8;2;1;0;29
"352060 Indiana";0;0;0;0;0;0;0;1;0;0;0;1
"352080 Inúbia Paulista";0;0;0;0;0;1;0;0;0;0;0;1
"352090 Ipaussu";0;0;0;0;0;0;1;0;0;0;0;1
"352130 Ipuã";0;0;0;0;0;1;0;0;0;0;0;1
"352140 Iracemápolis";0;0;0;0;0;2;0;1;0;0;0;3
"352150 Irapuã";0;0;0;0;0;1;0;0;0;0;0;1
"352160 Irapuru";0;0;0;0;0;1;0;0;0;0;0;1
"352170 Itaberá";0;0;0;0;0;0;0;0;1;0;0;1
"352180 Itaí";0;0;0;0;0;0;1;0;0;0;0;1
"352210 Itanhaém";0;0;0;1;1;3;6;2;1;0;0;14
"352220 Itapecerica da Serra";0;0;0;0;3;5;7;2;1;0;0;18
"352230 Itapetininga";0;0;0;1;6;9;4;4;1;0;0;25
"352240 Itapeva";0;0;0;1;4;8;1;3;3;0;0;20
"352250 Itapevi";0;0;0;1;4;14;10;4;3;0;0;36
"352260 Itapira";0;0;0;0;3;2;1;0;0;0;0;6
"352270 Itápolis";0;0;0;0;2;0;0;1;0;0;0;3
"352280 Itaporanga";0;0;0;0;1;0;0;0;0;0;0;1
"352310 Itaquaquecetuba";0;0;0;0;7;11;6;3;3;0;0;30
"352320 Itararé";0;0;0;0;0;0;1;0;0;0;0;1
"352340 Itatiba";0;0;0;0;2;4;2;0;0;0;0;8
"352360 Itirapina";0;0;0;0;0;1;0;0;0;0;0;1
"352390 Itu";0;0;0;1;5;4;3;3;1;0;0;17
"352400 Itupeva";0;0;0;0;0;3;1;1;1;0;0;6
"352410 Ituverava";0;0;0;0;1;3;1;0;0;0;0;5
"352430 Jaboticabal";0;0;0;0;0;1;0;0;0;0;0;1
"352440 Jacareí";0;0;0;1;7;5;7;3;3;0;0;26
"352470 Jaguariúna";0;0;0;0;0;1;1;0;0;0;0;2
"352480 Jales";0;0;0;0;2;3;0;0;1;0;0;6
"352500 Jandira";0;0;0;0;7;3;3;0;1;0;0;14
"352520 Jarinu";0;0;0;0;0;0;2;0;0;0;0;2
"352530 Jaú";0;0;0;0;6;6;2;8;4;0;0;26
"352550 Joanópolis";0;0;0;0;0;0;1;0;0;0;0;1
"352570 José Bonifácio";0;0;0;0;0;1;0;0;0;0;0;1
"352585 Jumirim";0;0;0;0;0;0;1;0;0;0;0;1
"352590 Jundiaí";0;0;0;1;16;22;22;9;4;0;0;74
"352600 Junqueirópolis";0;0;0;0;0;1;0;0;0;0;0;1
"352620 Juquitiba";0;0;0;0;1;0;0;0;0;0;0;1
"352650 Lavínia";0;0;0;0;1;0;1;1;0;0;0;3
"352660 Lavrinhas";0;0;0;0;0;0;1;0;0;0;0;1
"352670 Leme";0;0;0;0;2;1;2;3;2;0;0;10
"352680 Lençóis Paulista";0;0;0;0;2;2;1;1;0;0;0;6
"352690 Limeira";0;0;0;0;11;5;7;4;3;0;0;30
"352710 Lins";0;0;0;0;5;6;2;2;1;1;0;17
"352720 Lorena";0;0;0;0;0;9;6;0;2;0;0;17
"352730 Louveira";0;0;0;0;3;0;1;0;0;0;0;4
"352740 Lucélia";0;0;0;0;0;0;2;1;1;0;0;4
"352790 Lutécia";0;0;0;0;0;0;1;0;0;0;0;1
"352800 Macatuba";0;0;0;0;0;1;0;0;0;0;0;1
"352810 Macaubal";0;0;0;0;0;0;0;0;1;0;0;1
"352840 Mairinque";0;0;0;0;3;0;2;2;1;0;0;8
"352850 Mairiporã";0;0;0;1;3;0;2;2;0;0;0;8
"352900 Marília";0;0;0;1;6;4;3;3;3;0;0;20
"352920 Martinópolis";0;0;0;0;2;0;0;1;0;0;0;3
"352930 Matão";0;0;0;0;0;2;1;1;0;0;0;4
"352940 Mauá";0;0;0;1;26;18;9;7;4;0;0;65
"352970 Miguelópolis";0;0;0;0;0;0;1;0;0;0;0;1
"352980 Mineiros do Tietê";0;0;0;0;0;0;1;0;0;0;0;1
"353010 Mirandópolis";0;0;0;0;1;0;0;0;0;0;0;1
"353030 Mirassol";0;0;0;0;1;2;0;1;2;1;0;7
"353050 Mococa";0;0;0;0;2;2;1;2;0;0;0;7
"353060 Mogi das Cruzes";0;0;0;1;16;15;2;4;1;0;0;39
"353070 Mogi Guaçu";0;0;0;0;2;6;5;5;1;0;0;19
"353080 Moji Mirim";0;0;0;0;4;3;2;0;1;0;0;10
"353090 Mombuca";0;0;0;0;0;1;0;0;0;0;0;1
"353110 Mongaguá";0;0;0;1;2;6;1;1;0;0;0;11
"353130 Monte Alto";0;0;0;0;1;0;2;0;0;0;0;3
"353180 Monte Mor";0;0;0;0;0;1;0;1;0;0;0;2
"353240 Nazaré Paulista";0;0;0;0;0;1;0;0;0;0;0;1
"353286 Nova Castilho";0;0;0;0;0;0;0;1;0;0;0;1
"353300 Nova Granada";0;0;0;0;0;0;1;0;0;0;0;1
"353340 Nova Odessa";0;0;0;0;1;0;2;2;2;0;0;7
"353350 Novo Horizonte";0;0;0;0;1;6;1;1;0;0;0;9
"353360 Nuporanga";0;0;0;0;0;0;1;0;0;0;0;1
"353390 Olímpia";0;0;0;0;2;0;2;1;0;0;0;5
"353430 Orlândia";0;0;0;0;0;0;0;0;1;0;0;1
"353440 Osasco";0;0;1;4;34;38;14;19;3;0;0;113
"353470 Ourinhos";0;0;0;0;4;5;3;3;2;1;0;18
"353480 Ouro Verde";0;0;0;0;0;0;0;2;0;0;0;2
"353475 Ouroeste";0;0;0;0;0;0;1;0;0;0;0;1
"353490 Pacaembu";0;0;0;0;0;0;1;0;0;0;0;1
"353500 Palestina";0;0;0;0;0;1;0;0;0;0;0;1
"353530 Palmital";0;0;0;0;0;0;1;0;0;0;0;1
"353540 Panorama";0;0;0;0;0;1;0;0;0;0;0;1
"353550 Paraguaçu Paulista";0;0;0;0;1;0;0;0;0;0;0;1
"353600 Parapuã";0;0;0;0;0;0;0;1;0;0;0;1
"353620 Pariquera-Açu";0;0;0;0;2;1;1;0;0;0;0;4
"353630 Patrocínio Paulista";0;0;0;0;0;0;0;1;0;0;0;1
"353650 Paulínia";0;0;0;0;5;2;3;2;2;0;0;14
"353657 Paulistânia";0;0;0;0;0;0;1;0;0;0;0;1
"353670 Pederneiras";0;0;0;0;0;0;1;0;0;0;0;1
"353710 Pedreira";0;0;0;0;0;0;1;0;0;0;0;1
"353720 Pedro de Toledo";0;0;0;0;0;0;1;0;0;0;0;1
"353730 Penápolis";0;0;0;0;3;2;1;0;0;0;0;6
"353760 Peruíbe";0;0;0;0;2;3;4;3;2;1;0;15
"353800 Pindamonhangaba";0;0;0;0;6;2;7;4;1;0;0;20
"353860 Piracaia";0;0;0;1;1;0;0;0;0;0;0;2
"353870 Piracicaba";0;0;0;0;11;26;17;7;3;0;0;64
"353890 Pirajuí";0;0;0;0;0;0;0;0;1;0;0;1
"353900 Pirangi";0;0;0;0;1;0;1;0;0;0;0;2
"353910 Pirapora do Bom Jesus";0;0;0;0;0;1;0;0;0;0;0;1
"353920 Pirapozinho";0;0;0;0;0;0;1;0;0;0;0;1
"353930 Pirassununga";0;0;0;0;2;1;2;0;0;0;0;5
"353950 Pitangueiras";0;0;0;0;1;1;1;0;0;0;0;3
"353980 Poá";0;0;0;0;1;1;2;1;0;0;0;5
"354020 Pontal";0;0;0;0;0;0;1;1;1;0;0;3
"354040 Populina";0;0;0;0;0;0;1;0;0;0;0;1
"354060 Porto Feliz";0;0;0;0;0;2;0;0;0;0;0;2
"354070 Porto Ferreira";0;0;0;0;0;1;0;2;1;0;0;4
"354075 Potim";0;0;0;0;3;1;1;1;0;0;0;6
"354100 Praia Grande";0;0;0;2;15;20;14;14;3;1;0;69
"354130 Presidente Epitácio";0;0;0;0;1;2;2;0;0;0;0;5
"354140 Presidente Prudente";0;1;0;1;10;8;11;4;1;1;0;37
"354150 Presidente Venceslau";0;0;0;0;1;0;1;1;0;0;0;3
"354160 Promissão";0;0;0;0;0;1;1;2;2;0;0;6
"354170 Quatá";0;0;0;0;0;0;0;1;0;0;0;1
"354200 Quintana";0;0;0;0;0;1;0;0;0;0;0;1
"354220 Rancharia";0;0;0;0;0;1;0;0;0;0;0;1
"354240 Regente Feijó";0;0;0;0;0;0;0;0;1;0;0;1
"354260 Registro";0;0;0;0;0;3;3;4;1;1;1;13
