 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: São Paulo
Período:2022
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"350010 Adamantina";4;0;0;5;0;0;9
"350030 Aguaí";1;0;0;0;0;0;1
"350070 Agudos";0;0;0;1;0;0;1
"350100 Altinópolis";1;0;0;0;0;0;1
"350130 Álvares Machado";1;0;0;2;0;0;3
"350160 Americana";26;5;1;4;0;0;36
"350170 Américo Brasiliense";7;2;0;2;0;0;11
"350180 Américo de Campos";0;0;0;1;0;0;1
"350190 Amparo";7;1;0;0;0;0;8
"350210 Andradina";4;0;0;4;0;0;8
"350250 Aparecida";0;0;0;2;0;0;2
"350260 Aparecida d'Oeste";1;0;0;0;0;0;1
"350270 Apiaí";2;0;0;1;0;0;3
"350275 Araçariguama";4;0;0;1;0;0;5
"350280 Araçatuba";27;0;0;16;0;0;43
"350290 Araçoiaba da Serra";4;0;0;0;0;0;4
"350320 Araraquara";15;1;0;2;0;0;18
"350330 Araras";1;0;0;2;0;0;3
"350360 Areiópolis";1;0;0;0;0;0;1
"350380 Artur Nogueira";4;0;0;0;0;0;4
"350390 Arujá";1;0;0;3;0;0;4
"350400 Assis";12;1;1;1;0;0;15
"350410 Atibaia";8;0;0;2;0;0;10
"350420 Auriflama";2;0;0;0;0;0;2
"350450 Avaré";8;0;0;0;0;0;8
"350470 Balbinos";1;0;0;0;0;0;1
"350510 Barbosa";1;0;0;0;0;0;1
"350520 Bariri";1;0;0;0;0;0;1
"350530 Barra Bonita";1;0;0;1;0;0;2
"350550 Barretos";13;1;1;10;0;0;25
"350560 Barrinha";2;0;0;0;0;0;2
"350570 Barueri";34;8;0;37;0;0;79
"350580 Bastos";1;0;0;1;0;0;2
"350600 Bauru";44;6;0;31;0;0;81
"350610 Bebedouro";4;0;0;0;0;0;4
"350635 Bertioga";1;1;0;5;0;0;7
"350640 Bilac";0;1;0;0;0;0;1
"350650 Birigui";7;0;0;2;0;0;9
"350690 Bofete";1;0;0;0;0;0;1
"350700 Boituva";8;0;0;0;0;1;9
"350730 Boracéia";1;0;0;0;0;0;1
"350750 Botucatu";14;0;0;2;0;0;16
"350760 Bragança Paulista";15;2;0;3;0;0;20
"350780 Brodowski";1;0;0;0;0;0;1
"350790 Brotas";3;0;0;0;0;0;3
"350800 Buri";1;0;0;0;0;0;1
"350810 Buritama";1;0;1;0;0;0;2
"350840 Cabreúva";1;0;0;0;0;0;1
"350850 Caçapava";4;2;0;1;0;0;7
"350860 Cachoeira Paulista";5;1;0;1;0;0;7
"350900 Caieiras";7;1;0;3;0;0;11
"350910 Caiuá";1;0;0;0;0;0;1
"350920 Cajamar";5;0;0;5;0;0;10
"350925 Cajati";0;0;0;2;0;0;2
"350930 Cajobi";1;0;0;0;0;0;1
"350940 Cajuru";2;0;0;0;0;0;2
"350950 Campinas";108;12;0;53;0;6;179
"350960 Campo Limpo Paulista";4;0;0;1;0;0;5
"350970 Campos do Jordão";2;0;0;0;0;0;2
"350990 Cananéia";0;1;0;0;0;0;1
"351030 Capela do Alto";0;1;0;2;0;0;3
"351040 Capivari";7;2;0;1;0;0;10
"351050 Caraguatatuba";22;2;0;13;0;0;37
"351060 Carapicuíba";28;6;0;28;0;1;63
"351070 Cardoso";0;0;0;1;0;0;1
"351100 Castilho";1;0;0;1;0;0;2
"351110 Catanduva";6;1;3;3;0;0;13
"351120 Catiguá";1;0;0;0;0;0;1
"351130 Cedral";1;0;0;0;0;0;1
"351150 Cerquilho";2;0;0;0;0;0;2
"351200 Colina";1;1;0;1;0;0;3
"351230 Conchas";0;0;0;1;0;0;1
"351240 Cordeirópolis";4;0;0;0;0;0;4
"351280 Cosmópolis";5;0;0;0;0;0;5
"351300 Cotia";10;1;0;9;0;0;20
"351310 Cravinhos";4;0;0;0;0;0;4
"351320 Cristais Paulista";0;0;0;1;0;0;1
"351340 Cruzeiro";6;3;0;1;0;0;10
"351350 Cubatão";8;0;0;12;0;0;20
"351370 Descalvado";0;1;0;0;0;0;1
"351380 Diadema";26;9;0;32;0;0;67
"351390 Divinolândia";0;0;0;1;0;0;1
"351410 Dois Córregos";1;0;0;0;0;0;1
"351440 Dracena";2;0;0;2;0;0;4
"351450 Duartina";3;0;0;0;0;0;3
"351490 Elias Fausto";2;0;0;0;0;0;2
"351500 Embu";5;2;0;16;0;0;23
"351510 Embu-Guaçu";3;1;0;1;0;0;5
"351515 Engenheiro Coelho";1;0;0;0;0;0;1
"351518 Espírito Santo do Pinhal";1;0;0;0;0;0;1
"351540 Fartura";1;0;0;0;0;0;1
"351550 Fernandópolis";14;1;0;4;0;0;19
"351570 Ferraz de Vasconcelos";6;3;0;14;0;0;23
"351590 Floreal";0;0;0;1;0;0;1
"351600 Flórida Paulista";1;0;0;1;0;0;2
"351620 Franca";38;5;0;10;0;0;53
"351630 Francisco Morato";7;5;0;16;0;1;29
"351640 Franco da Rocha";11;1;0;10;0;0;22
"351670 Garça";1;0;0;0;0;0;1
"351680 Gastão Vidigal";0;0;0;1;0;0;1
"351690 General Salgado";2;0;0;2;0;0;4
"351700 Getulina";1;0;0;0;0;0;1
"351730 Guaimbê";1;0;0;0;0;0;1
"351740 Guaíra";2;1;0;1;0;0;4
"351750 Guapiaçu";1;0;0;0;0;0;1
"351770 Guará";1;0;0;1;0;0;2
"351800 Guarani d'Oeste";0;0;0;0;0;1;1
"351820 Guararapes";0;0;0;1;0;0;1
"351830 Guararema";3;0;0;0;0;0;3
"351840 Guaratinguetá";12;0;0;3;0;0;15
"351850 Guareí";11;0;0;8;0;0;19
"351860 Guariba";2;1;0;0;0;0;3
"351870 Guarujá";15;8;2;29;0;0;54
"351880 Guarulhos";70;13;2;71;0;1;157
"351900 Herculândia";1;0;0;2;0;0;3
"351905 Holambra";0;0;0;1;0;0;1
"351907 Hortolândia";11;5;0;6;0;1;23
"351910 Iacanga";1;0;0;0;0;0;1
"351925 Iaras";0;0;0;1;0;0;1
"351930 Ibaté";2;1;0;1;0;0;4
"351940 Ibirá";2;0;0;0;0;0;2
"351950 Ibirarema";1;0;0;0;0;0;1
