 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: São Paulo
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"350010 Adamantina";4;1;0;5
"350030 Aguaí";2;0;0;2
"350050 Águas de Lindóia";3;0;0;3
"350070 Agudos";0;1;0;1
"350075 Alambari";0;1;0;1
"350110 Alto Alegre";1;0;0;1
"350115 Alumínio";1;0;0;1
"350130 Álvares Machado";2;0;0;2
"350160 Americana";20;8;0;28
"350170 Américo Brasiliense";5;2;0;7
"350190 Amparo";12;1;0;13
"350210 Andradina";12;4;0;16
"350250 Aparecida";4;2;0;6
"350270 Apiaí";1;0;0;1
"350275 Araçariguama";1;0;0;1
"350280 Araçatuba";39;6;0;45
"350290 Araçoiaba da Serra";1;0;0;1
"350310 Arandu";1;0;0;1
"350315 Arapeí";0;1;0;1
"350320 Araraquara";13;2;0;15
"350330 Araras";13;5;0;18
"350380 Artur Nogueira";4;2;0;6
"350390 Arujá";2;0;0;2
"350400 Assis";9;4;0;13
"350410 Atibaia";14;4;0;18
"350440 Avanhandava";2;0;0;2
"350450 Avaré";9;2;0;11
"350460 Bady Bassitt";0;2;0;2
"350490 Bananal";1;1;0;2
"350520 Bariri";1;0;0;1
"350550 Barretos";28;11;0;39
"350560 Barrinha";3;1;0;4
"350570 Barueri";53;20;0;73
"350580 Bastos";2;0;0;2
"350590 Batatais";1;0;0;1
"350600 Bauru";51;21;0;72
"350610 Bebedouro";13;4;0;17
"350620 Bento de Abreu";1;0;0;1
"350635 Bertioga";11;2;0;13
"350650 Birigui";15;6;0;21
"350660 Biritiba-Mirim";1;1;0;2
"350680 Bocaina";0;1;0;1
"350700 Boituva";6;1;0;7
"350710 Bom Jesus dos Perdões";2;0;0;2
"350730 Boracéia";1;0;0;1
"350740 Borborema";1;0;0;1
"350750 Botucatu";27;7;0;34
"350760 Bragança Paulista";20;4;0;24
"350775 Brejo Alegre";0;1;0;1
"350780 Brodowski";1;0;0;1
"350790 Brotas";0;1;0;1
"350800 Buri";1;0;0;1
"350810 Buritama";3;0;0;3
"350840 Cabreúva";1;2;0;3
"350850 Caçapava";10;7;0;17
"350860 Cachoeira Paulista";3;1;0;4
"350880 Cafelândia";0;1;0;1
"350900 Caieiras";6;3;0;9
"350920 Cajamar";6;2;0;8
"350925 Cajati";0;1;0;1
"350930 Cajobi";1;0;0;1
"350940 Cajuru";2;1;0;3
"350950 Campinas";131;44;0;175
"350960 Campo Limpo Paulista";6;1;0;7
"350970 Campos do Jordão";5;1;0;6
"351000 Cândido Mota";1;1;0;2
"351020 Capão Bonito";1;1;0;2
"351030 Capela do Alto";0;1;0;1
"351040 Capivari";3;1;0;4
"351050 Caraguatatuba";21;8;0;29
"351060 Carapicuíba";42;16;0;58
"351070 Cardoso";1;0;0;1
"351100 Castilho";3;1;0;4
"351110 Catanduva";13;8;0;21
"351120 Catiguá";1;0;0;1
"351130 Cedral";2;0;0;2
"351140 Cerqueira César";1;0;0;1
"351150 Cerquilho";2;0;0;2
"351170 Charqueada";1;1;0;2
"351200 Colina";3;0;0;3
"351220 Conchal";0;1;0;1
