 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: São Paulo
Período:2025
"Município (Res)";"2025";"Total"
"350010 Adamantina";5;5
"350020 Adolfo";1;1
"350130 Álvares Machado";4;4
"350160 Americana";8;8
"350170 Américo Brasiliense";3;3
"350190 Amparo";2;2
"350210 Andradina";7;7
"350220 Angatuba";1;1
"350250 Aparecida";1;1
"350275 Araçariguama";4;4
"350280 Araçatuba";30;30
"350310 Arandu";1;1
"350320 Araraquara";14;14
"350330 Araras";17;17
"350380 Artur Nogueira";1;1
"350390 Arujá";3;3
"350400 Assis";5;5
"350410 Atibaia";16;16
"350450 Avaré";12;12
"350460 Bady Bassitt";1;1
"350480 Bálsamo";1;1
"350490 Bananal";1;1
"350530 Barra Bonita";3;3
"350550 Barretos";22;22
"350560 Barrinha";1;1
"350570 Barueri";34;34
"350580 Bastos";2;2
"350590 Batatais";2;2
"350600 Bauru";57;57
"350610 Bebedouro";6;6
"350635 Bertioga";8;8
"350650 Birigui";11;11
"350660 Biritiba-Mirim";1;1
"350690 Bofete";2;2
"350700 Boituva";3;3
"350710 Bom Jesus dos Perdões";1;1
"350730 Boracéia";1;1
"350750 Botucatu";26;26
"350760 Bragança Paulista";14;14
"350850 Caçapava";6;6
"350860 Cachoeira Paulista";5;5
"350890 Caiabu";1;1
"350900 Caieiras";5;5
"350920 Cajamar";5;5
"350950 Campinas";105;105
"350960 Campo Limpo Paulista";4;4
"350970 Campos do Jordão";2;2
"351020 Capão Bonito";1;1
"351040 Capivari";2;2
"351050 Caraguatatuba";13;13
"351060 Carapicuíba";25;25
"351070 Cardoso";1;1
"351100 Castilho";1;1
"351110 Catanduva";9;9
"351130 Cedral";3;3
"351150 Cerquilho";2;2
"351170 Charqueada";3;3
"351200 Colina";1;1
"351210 Colômbia";1;1
"351280 Cosmópolis";4;4
"351290 Cosmorama";1;1
"351300 Cotia";20;20
"351310 Cravinhos";1;1
"351340 Cruzeiro";4;4
"351350 Cubatão";25;25
"351370 Descalvado";1;1
"351380 Diadema";20;20
"351430 Dourado";1;1
"351440 Dracena";2;2
"351500 Embu";13;13
"351512 Emilianópolis";1;1
"351518 Espírito Santo do Pinhal";1;1
"351540 Fartura";2;2
"351550 Fernandópolis";9;9
"351570 Ferraz de Vasconcelos";14;14
"351610 Florínia";1;1
"351620 Franca";27;27
"351630 Francisco Morato";25;25
"351640 Franco da Rocha";13;13
"351670 Garça";1;1
"351680 Gastão Vidigal";1;1
"351740 Guaíra";1;1
"351750 Guapiaçu";1;1
"351830 Guararema";1;1
"351840 Guaratinguetá";18;18
"351860 Guariba";3;3
"351870 Guarujá";45;45
"351880 Guarulhos";117;117
"351907 Hortolândia";28;28
"351940 Ibirá";2;2
"351950 Ibirarema";2;2
"351960 Ibitinga";3;3
"351970 Ibiúna";2;2
"352010 Igarapava";1;1
"352040 Ilhabela";6;6
"352050 Indaiatuba";24;24
"352060 Indiana";1;1
"352100 Iperó";1;1
"352110 Ipeúna";1;1
"352160 Irapuru";2;2
"352180 Itaí";1;1
"352210 Itanhaém";19;19
"352220 Itapecerica da Serra";19;19
"352230 Itapetininga";21;21
"352240 Itapeva";4;4
"352250 Itapevi";24;24
"352260 Itapira";7;7
"352270 Itápolis";2;2
"352300 Itapura";1;1
"352310 Itaquaquecetuba";28;28
"352340 Itatiba";10;10
"352380 Itobi";1;1
"352390 Itu";13;13
"352400 Itupeva";1;1
"352410 Ituverava";3;3
"352430 Jaboticabal";2;2
"352440 Jacareí";12;12
"352470 Jaguariúna";1;1
"352480 Jales";5;5
"352500 Jandira";11;11
"352530 Jaú";12;12
"352590 Jundiaí";30;30
"352600 Junqueirópolis";2;2
"352640 Laranjal Paulista";1;1
"352650 Lavínia";1;1
"352670 Leme";6;6
"352680 Lençóis Paulista";2;2
"352690 Limeira";13;13
"352710 Lins";13;13
"352720 Lorena";10;10
"352730 Louveira";3;3
"352830 Magda";1;1
"352840 Mairinque";2;2
"352850 Mairiporã";4;4
"352900 Marília";17;17
"352920 Martinópolis";1;1
"352930 Matão";7;7
"352940 Mauá";34;34
"353030 Mirassol";3;3
"353050 Mococa";8;8
"353060 Mogi das Cruzes";41;41
"353070 Mogi Guaçu";19;19
"353080 Moji Mirim";6;6
"353090 Mombuca";1;1
"353110 Mongaguá";10;10
"353130 Monte Alto";3;3
"353180 Monte Mor";1;1
"353190 Morro Agudo";1;1
"353220 Narandiba";1;1
"353300 Nova Granada";1;1
"353320 Nova Independência";1;1
"353340 Nova Odessa";3;3
"353350 Novo Horizonte";2;2
"353390 Olímpia";1;1
"353440 Osasco";65;65
"353470 Ourinhos";5;5
"353475 Ouroeste";1;1
"353550 Paraguaçu Paulista";3;3
"353620 Pariquera-Açu";2;2
"353650 Paulínia";11;11
"353710 Pedreira";1;1
"353730 Penápolis";3;3
"353760 Peruíbe";10;10
"353800 Pindamonhangaba";6;6
"353860 Piracaia";1;1
"353870 Piracicaba";36;36
"353890 Pirajuí";4;4
"353920 Pirapozinho";1;1
"353930 Pirassununga";4;4
"353980 Poá";7;7
"354000 Pompéia";1;1
"354020 Pontal";2;2
"354040 Populina";1;1
"354060 Porto Feliz";2;2
"354070 Porto Ferreira";1;1
"354075 Potim";2;2
"354080 Potirendaba";1;1
"354085 Pracinha";1;1
"354090 Pradópolis";1;1
"354100 Praia Grande";48;48
"354120 Presidente Bernardes";1;1
"354140 Presidente Prudente";33;33
"354160 Promissão";1;1
"354180 Queiroz";1;1
"354210 Rafard";1;1
"354260 Registro";6;6
"354330 Ribeirão Pires";1;1
"354340 Ribeirão Preto";96;96
"354380 Rinópolis";1;1
"354390 Rio Claro";14;14
"354520 Salto";11;11
"354540 Salto Grande";1;1
"354580 Santa Bárbara d'Oeste";19;19
"354610 Santa Clara d'Oeste";1;1
"354630 Santa Cruz das Palmeiras";1;1
"354640 Santa Cruz do Rio Pardo";4;4
"354660 Santa Fé do Sul";1;1
"354670 Santa Gertrudes";1;1
"354690 Santa Lúcia";1;1
"354730 Santana de Parnaíba";1;1
"354770 Santo Anastácio";1;1
"354780 Santo André";40;40
"354830 Santo Expedito";1;1
"354850 Santos";51;51
"354870 São Bernardo do Campo";53;53
"354880 São Caetano do Sul";14;14
"354890 São Carlos";29;29
"354910 São João da Boa Vista";9;9
"354970 São José do Rio Pardo";4;4
"354980 São José do Rio Preto";68;68
"354990 São José dos Campos";59;59
"355030 São Paulo";1480;1480
"355040 São Pedro";4;4
"355050 São Pedro do Turvo";1;1
"355060 São Roque";4;4
"355070 São Sebastião";12;12
"355100 São Vicente";36;36
"355160 Serra Negra";2;2
"355170 Sertãozinho";8;8
"355220 Sorocaba";73;73
"355240 Sumaré";16;16
"355250 Suzano";24;24
"355260 Tabapuã";1;1
"355270 Tabatinga";3;3
"355280 Taboão da Serra";14;14
"355370 Taquaritinga";1;1
"355390 Tarabai";1;1
"355400 Tatuí";9;9
"355410 Taubaté";27;27
"355450 Tietê";1;1
"355480 Tremembé";1;1
"355500 Tupã";4;4
"355510 Tupi Paulista";3;3
"355540 Ubatuba";5;5
"355620 Valinhos";7;7
"355630 Valparaíso";2;2
"355635 Vargem";1;1
"355640 Vargem Grande do Sul";4;4
"355645 Vargem Grande Paulista";3;3
"355650 Várzea Paulista";3;3
"355660 Vera Cruz";1;1
"355670 Vinhedo";4;4
"355700 Votorantim";9;9
"355710 Votuporanga";7;7
"Total";3935;3935
