 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"350010 Adamantina";0;0;0;1;0;0;2;0;1;4
"350020 Adolfo";0;0;0;1;0;0;0;0;0;1
"350130 Álvares Machado";0;0;0;1;0;0;2;0;1;4
"350160 Americana";0;0;0;1;0;1;3;0;1;6
"350170 Américo Brasiliense";0;0;0;0;1;1;1;0;0;3
"350190 Amparo";0;0;0;0;1;1;0;0;0;2
"350210 Andradina";2;0;0;1;0;1;2;1;0;7
"350220 Angatuba";0;0;0;1;0;0;0;0;0;1
"350250 Aparecida";0;1;0;0;0;0;0;0;0;1
"350275 Araçariguama";0;0;0;1;0;0;1;1;1;4
"350280 Araçatuba";1;0;0;4;0;4;13;2;4;28
"350310 Arandu";0;0;0;1;0;0;0;0;0;1
"350320 Araraquara";0;0;1;3;4;0;1;0;4;13
"350330 Araras";1;0;0;5;4;1;3;1;2;17
"350380 Artur Nogueira";0;1;0;0;0;0;0;0;0;1
"350390 Arujá";0;0;0;0;1;0;0;0;0;1
"350400 Assis";0;0;0;1;0;0;2;0;1;4
"350410 Atibaia";0;0;1;2;1;0;6;1;3;14
"350450 Avaré";0;0;0;2;3;1;3;1;1;11
"350460 Bady Bassitt";1;0;0;0;0;0;0;0;0;1
"350480 Bálsamo";0;0;0;0;0;0;1;0;0;1
"350490 Bananal";0;0;0;0;0;0;0;0;1;1
"350530 Barra Bonita";1;0;0;0;0;0;1;0;0;2
"350550 Barretos";1;1;1;2;2;2;7;1;1;18
"350560 Barrinha";1;0;0;0;0;0;0;0;0;1
"350570 Barueri";1;2;0;2;4;6;11;2;5;33
"350580 Bastos";0;0;0;0;1;0;1;0;0;2
"350590 Batatais";0;0;0;0;1;1;0;0;0;2
"350600 Bauru";0;1;0;9;5;3;23;1;8;50
"350610 Bebedouro";2;1;0;0;0;0;1;0;0;4
"350635 Bertioga";1;1;0;2;1;1;1;0;0;7
"350650 Birigui";0;0;0;3;2;0;5;0;1;11
"350660 Biritiba-Mirim";0;0;0;0;0;0;1;0;0;1
"350690 Bofete";0;0;0;0;0;0;1;0;1;2
"350700 Boituva";0;1;0;0;0;1;0;0;0;2
"350710 Bom Jesus dos Perdões";0;0;0;0;0;0;1;0;0;1
"350730 Boracéia";0;0;0;0;0;0;1;0;0;1
"350750 Botucatu";0;1;0;1;0;5;7;2;5;21
"350760 Bragança Paulista";0;0;0;0;0;1;9;0;1;11
"350850 Caçapava";0;0;0;0;1;1;3;0;1;6
"350860 Cachoeira Paulista";0;0;0;1;0;2;1;0;0;4
"350890 Caiabu";0;0;0;0;0;0;1;0;0;1
"350900 Caieiras";1;0;0;0;2;0;1;0;1;5
"350920 Cajamar";1;1;0;0;0;0;3;0;0;5
"350950 Campinas";8;3;1;8;2;10;26;9;6;73
"350960 Campo Limpo Paulista";1;0;0;0;0;0;1;0;0;2
"350970 Campos do Jordão";0;0;0;0;0;1;1;0;0;2
"351020 Capão Bonito";0;0;0;1;0;0;0;0;0;1
"351040 Capivari";0;0;0;0;1;0;1;0;0;2
"351050 Caraguatatuba";0;0;0;2;0;3;2;0;1;8
"351060 Carapicuíba";1;1;0;0;2;1;12;1;3;21
"351070 Cardoso";1;0;0;0;0;0;0;0;0;1
"351100 Castilho";0;0;0;0;0;1;0;0;0;1
"351110 Catanduva";0;0;0;1;1;0;6;0;1;9
"351130 Cedral";2;0;0;1;0;0;0;0;0;3
"351150 Cerquilho";0;0;0;1;0;0;0;0;1;2
"351170 Charqueada";0;0;0;0;1;0;2;0;0;3
"351200 Colina";0;0;0;0;0;0;1;0;0;1
"351210 Colômbia";0;0;0;0;0;0;1;0;0;1
"351280 Cosmópolis";0;0;0;2;0;1;0;0;1;4
"351290 Cosmorama";1;0;0;0;0;0;0;0;0;1
"351300 Cotia";0;0;0;0;0;3;10;1;1;15
"351310 Cravinhos";0;0;0;0;0;0;1;0;0;1
"351340 Cruzeiro";0;0;0;0;1;1;1;0;1;4
