 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2025
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"350010 Adamantina";0;0;0;0;0;1;1;2;0;0;1;0;5
"350020 Adolfo";0;0;0;0;0;0;1;0;0;0;0;0;1
"350130 Álvares Machado";0;0;0;0;1;0;1;1;1;0;0;0;4
"350160 Americana";0;0;0;0;0;2;2;1;2;1;0;0;8
"350170 Américo Brasiliense";0;0;0;0;0;0;2;0;1;0;0;0;3
"350190 Amparo";0;0;0;0;0;1;0;1;0;0;0;0;2
"350210 Andradina";0;0;0;0;0;2;2;1;1;0;1;0;7
"350220 Angatuba";0;0;0;0;0;0;0;0;1;0;0;0;1
"350250 Aparecida";0;0;0;0;0;0;1;0;0;0;0;0;1
"350275 Araçariguama";0;0;0;0;0;2;0;2;0;0;0;0;4
"350280 Araçatuba";0;0;0;0;2;7;7;7;3;4;0;0;30
"350310 Arandu";0;0;0;0;0;0;0;0;1;0;0;0;1
"350320 Araraquara";0;0;0;0;0;2;1;7;3;1;0;0;14
"350330 Araras";0;0;0;0;1;2;6;4;3;0;1;0;17
"350380 Artur Nogueira";0;0;0;0;0;0;0;1;0;0;0;0;1
"350390 Arujá";0;0;0;0;0;2;0;1;0;0;0;0;3
"350400 Assis";0;0;0;0;0;1;3;0;1;0;0;0;5
"350410 Atibaia";0;0;0;0;1;4;5;3;2;1;0;0;16
"350450 Avaré";0;0;0;0;0;4;3;4;1;0;0;0;12
"350460 Bady Bassitt";0;0;0;0;0;0;0;1;0;0;0;0;1
"350480 Bálsamo";0;0;0;0;0;0;0;0;1;0;0;0;1
"350490 Bananal";0;0;0;0;0;1;0;0;0;0;0;0;1
"350530 Barra Bonita";0;0;0;0;0;0;1;0;0;2;0;0;3
"350550 Barretos";0;0;0;0;0;4;6;8;0;4;0;0;22
"350560 Barrinha";0;0;0;0;1;0;0;0;0;0;0;0;1
"350570 Barueri";0;0;0;0;0;8;12;5;8;1;0;0;34
"350580 Bastos";0;0;0;0;0;0;1;1;0;0;0;0;2
"350590 Batatais";0;0;0;0;0;1;0;1;0;0;0;0;2
"350600 Bauru";0;0;0;0;0;11;20;16;7;3;0;0;57
"350610 Bebedouro";0;0;0;0;0;1;0;3;2;0;0;0;6
"350635 Bertioga";0;0;0;0;0;2;2;1;1;1;1;0;8
"350650 Birigui";0;0;0;0;0;3;3;1;4;0;0;0;11
"350660 Biritiba-Mirim";0;0;0;0;0;0;0;1;0;0;0;0;1
"350690 Bofete";0;0;0;0;0;0;0;1;1;0;0;0;2
"350700 Boituva";0;0;0;0;0;1;0;1;0;0;1;0;3
"350710 Bom Jesus dos Perdões";0;0;0;0;0;1;0;0;0;0;0;0;1
"350730 Boracéia";0;0;0;0;0;0;1;0;0;0;0;0;1
"350750 Botucatu";0;0;0;0;0;11;5;7;2;1;0;0;26
"350760 Bragança Paulista";0;0;0;0;0;3;4;4;2;1;0;0;14
"350850 Caçapava";0;0;0;0;0;1;4;0;1;0;0;0;6
"350860 Cachoeira Paulista";0;0;0;0;0;1;3;0;1;0;0;0;5
"350890 Caiabu";0;0;0;0;0;0;0;0;0;1;0;0;1
"350900 Caieiras";0;0;0;0;0;1;2;0;2;0;0;0;5
"350920 Cajamar";0;0;0;0;0;0;2;0;3;0;0;0;5
"350950 Campinas";0;0;1;0;1;30;31;21;17;4;0;0;105
"350960 Campo Limpo Paulista";0;0;0;0;0;0;2;2;0;0;0;0;4
"350970 Campos do Jordão";0;0;0;0;0;0;2;0;0;0;0;0;2
"351020 Capão Bonito";0;0;0;0;0;1;0;0;0;0;0;0;1
"351040 Capivari";0;0;0;0;0;1;0;0;1;0;0;0;2
"351050 Caraguatatuba";0;0;0;0;0;4;6;3;0;0;0;0;13
"351060 Carapicuíba";0;0;0;0;0;10;8;4;1;0;2;0;25
"351070 Cardoso";0;0;0;0;0;0;0;0;1;0;0;0;1
"351100 Castilho";0;0;0;0;0;0;1;0;0;0;0;0;1
"351110 Catanduva";0;0;0;0;0;3;3;2;0;1;0;0;9
"351130 Cedral";0;0;0;0;0;0;2;1;0;0;0;0;3
"351150 Cerquilho";0;0;0;0;0;0;0;2;0;0;0;0;2
"351170 Charqueada";0;0;0;0;0;1;1;1;0;0;0;0;3
"351200 Colina";0;0;0;0;1;0;0;0;0;0;0;0;1
"351210 Colômbia";0;0;0;0;0;0;1;0;0;0;0;0;1
"351280 Cosmópolis";0;0;0;0;0;1;2;0;1;0;0;0;4
"351290 Cosmorama";0;0;0;0;0;0;1;0;0;0;0;0;1
"351300 Cotia";0;0;0;0;0;8;3;7;1;0;1;0;20
"351310 Cravinhos";0;0;0;0;0;0;1;0;0;0;0;0;1
"351340 Cruzeiro";0;0;0;0;0;0;0;2;2;0;0;0;4
"351350 Cubatão";0;0;0;0;0;5;11;4;5;0;0;0;25
"351370 Descalvado";0;0;0;0;0;1;0;0;0;0;0;0;1
"351380 Diadema";0;1;0;0;0;2;4;7;4;2;0;0;20
"351430 Dourado";0;0;0;0;0;0;0;0;0;1;0;0;1
"351440 Dracena";0;0;0;0;0;0;1;0;1;0;0;0;2
"351500 Embu";0;0;0;0;0;5;4;0;3;0;1;0;13
"351512 Emilianópolis";0;0;0;0;0;1;0;0;0;0;0;0;1
"351518 Espírito Santo do Pinhal";0;0;0;0;0;0;0;1;0;0;0;0;1
"351540 Fartura";0;0;0;0;0;0;1;0;0;1;0;0;2
"351550 Fernandópolis";0;0;0;0;0;3;1;1;4;0;0;0;9
"351570 Ferraz de Vasconcelos";0;0;0;0;0;6;5;1;0;2;0;0;14
"351610 Florínia";0;0;0;0;0;0;1;0;0;0;0;0;1
"351620 Franca";0;0;0;0;0;4;8;5;7;3;0;0;27
"351630 Francisco Morato";0;0;0;0;0;8;10;5;2;0;0;0;25
"351640 Franco da Rocha";0;0;0;0;1;5;4;1;0;2;0;0;13
"351670 Garça";0;0;0;0;0;0;0;1;0;0;0;0;1
"351680 Gastão Vidigal";0;0;0;0;0;0;0;0;1;0;0;0;1
"351740 Guaíra";0;0;0;0;0;0;0;0;0;0;1;0;1
"351750 Guapiaçu";0;0;0;0;0;0;0;1;0;0;0;0;1
"351830 Guararema";0;0;0;0;0;0;1;0;0;0;0;0;1
"351840 Guaratinguetá";0;0;0;0;0;1;5;8;3;1;0;0;18
"351860 Guariba";0;0;0;0;0;0;3;0;0;0;0;0;3
"351870 Guarujá";0;0;0;0;1;9;12;12;7;3;1;0;45
"351880 Guarulhos";0;0;0;0;3;29;34;30;18;3;0;0;117
"351907 Hortolândia";0;0;0;0;2;6;7;8;2;3;0;0;28
"351940 Ibirá";0;0;0;0;0;1;0;0;0;1;0;0;2
"351950 Ibirarema";0;0;0;0;0;0;1;1;0;0;0;0;2
"351960 Ibitinga";0;0;0;0;0;2;1;0;0;0;0;0;3
"351970 Ibiúna";0;0;0;0;0;0;1;0;1;0;0;0;2
"352010 Igarapava";0;0;0;0;0;1;0;0;0;0;0;0;1
"352040 Ilhabela";0;0;0;0;0;1;3;1;1;0;0;0;6
"352050 Indaiatuba";0;0;0;0;0;6;7;7;3;0;1;0;24
"352060 Indiana";0;0;0;0;0;0;1;0;0;0;0;0;1
"352100 Iperó";0;0;0;0;0;0;0;1;0;0;0;0;1
"352110 Ipeúna";0;0;0;0;0;0;0;1;0;0;0;0;1
"352160 Irapuru";0;0;0;0;0;1;0;1;0;0;0;0;2
"352180 Itaí";0;0;0;0;0;0;0;1;0;0;0;0;1
"352210 Itanhaém";0;0;0;0;0;2;5;5;5;2;0;0;19
"352220 Itapecerica da Serra";0;0;0;0;0;5;6;4;4;0;0;0;19
"352230 Itapetininga";0;0;0;0;1;3;8;6;2;1;0;0;21
"352240 Itapeva";0;0;0;0;0;1;2;0;0;1;0;0;4
"352250 Itapevi";0;0;0;0;0;8;4;3;7;2;0;0;24
"352260 Itapira";0;0;0;0;0;0;1;4;0;2;0;0;7
"352270 Itápolis";0;0;0;0;0;0;0;1;0;0;1;0;2
"352300 Itapura";0;0;0;0;0;0;1;0;0;0;0;0;1
"352310 Itaquaquecetuba";0;0;0;0;0;8;8;5;5;2;0;0;28
"352340 Itatiba";0;0;0;0;0;2;4;3;1;0;0;0;10
"352380 Itobi";0;0;0;0;0;1;0;0;0;0;0;0;1
"352390 Itu";0;0;0;0;0;2;2;5;4;0;0;0;13
"352400 Itupeva";0;0;0;0;0;1;0;0;0;0;0;0;1
"352410 Ituverava";0;0;0;0;0;1;0;0;2;0;0;0;3
"352430 Jaboticabal";0;0;0;0;0;0;0;2;0;0;0;0;2
"352440 Jacareí";0;0;0;0;0;2;5;2;2;1;0;0;12
"352470 Jaguariúna";0;0;0;0;0;0;0;0;1;0;0;0;1
"352480 Jales";0;0;0;0;0;3;0;0;2;0;0;0;5
"352500 Jandira";0;0;0;0;0;4;5;1;0;1;0;0;11
"352530 Jaú";0;0;0;0;0;3;2;3;3;1;0;0;12
"352590 Jundiaí";0;0;0;0;1;9;8;8;4;0;0;0;30
"352600 Junqueirópolis";0;0;0;0;0;1;0;1;0;0;0;0;2
"352640 Laranjal Paulista";0;0;0;0;0;0;1;0;0;0;0;0;1
"352650 Lavínia";0;0;0;0;0;0;0;1;0;0;0;0;1
"352670 Leme";0;0;0;0;0;1;4;0;1;0;0;0;6
"352680 Lençóis Paulista";0;0;0;0;0;1;0;0;0;0;1;0;2
"352690 Limeira";0;0;0;0;0;7;1;2;2;0;1;0;13
"352710 Lins";0;0;0;0;0;1;5;4;0;2;1;0;13
"352720 Lorena";0;0;0;0;1;1;1;2;4;1;0;0;10
"352730 Louveira";0;0;0;0;0;1;1;1;0;0;0;0;3
"352830 Magda";0;0;0;0;0;0;1;0;0;0;0;0;1
"352840 Mairinque";0;0;0;0;0;0;1;0;0;1;0;0;2
"352850 Mairiporã";0;0;0;0;2;0;0;1;0;0;1;0;4
"352900 Marília";0;0;0;0;0;3;7;3;3;1;0;0;17
"352920 Martinópolis";0;0;0;0;0;0;1;0;0;0;0;0;1
"352930 Matão";0;0;0;0;0;1;1;3;0;1;1;0;7
"352940 Mauá";0;0;0;0;0;9;13;6;5;0;1;0;34
"353030 Mirassol";0;0;0;0;0;0;0;2;1;0;0;0;3
"353050 Mococa";0;0;0;0;0;2;3;2;1;0;0;0;8
"353060 Mogi das Cruzes";0;2;1;0;0;10;14;9;4;0;1;0;41
"353070 Mogi Guaçu";0;0;0;0;0;3;7;5;2;1;1;0;19
"353080 Moji Mirim";0;0;0;0;0;2;0;1;2;1;0;0;6
"353090 Mombuca";0;0;0;0;0;0;0;1;0;0;0;0;1
"353110 Mongaguá";0;0;0;0;0;1;3;3;2;1;0;0;10
"353130 Monte Alto";0;0;0;0;0;0;0;2;1;0;0;0;3
"353180 Monte Mor";0;0;0;0;0;0;1;0;0;0;0;0;1
"353190 Morro Agudo";0;0;0;0;0;1;0;0;0;0;0;0;1
"353220 Narandiba";0;0;0;0;0;0;0;1;0;0;0;0;1
"353300 Nova Granada";0;0;0;0;0;0;0;1;0;0;0;0;1
"353320 Nova Independência";0;0;0;0;0;0;0;0;1;0;0;0;1
"353340 Nova Odessa";0;0;0;0;0;0;0;1;0;1;1;0;3
"353350 Novo Horizonte";0;0;0;0;0;1;0;1;0;0;0;0;2
"353390 Olímpia";0;0;0;0;0;1;0;0;0;0;0;0;1
"353440 Osasco";0;0;0;0;3;15;17;18;6;5;1;0;65
"353470 Ourinhos";0;0;0;0;0;0;1;1;3;0;0;0;5
"353475 Ouroeste";0;0;0;0;0;0;0;1;0;0;0;0;1
"353550 Paraguaçu Paulista";0;0;0;0;0;0;0;2;0;1;0;0;3
"353620 Pariquera-Açu";0;0;0;0;1;0;0;0;1;0;0;0;2
"353650 Paulínia";0;0;0;0;0;0;7;3;1;0;0;0;11
"353710 Pedreira";0;0;0;0;0;0;0;1;0;0;0;0;1
"353730 Penápolis";0;0;0;0;0;2;0;0;1;0;0;0;3
"353760 Peruíbe";0;0;0;0;0;2;5;2;0;0;0;1;10
"353800 Pindamonhangaba";0;0;0;0;0;1;2;1;2;0;0;0;6
"353860 Piracaia";0;0;0;0;0;0;1;0;0;0;0;0;1
"353870 Piracicaba";0;0;0;0;0;10;10;12;2;1;1;0;36
"353890 Pirajuí";0;0;0;0;0;0;2;2;0;0;0;0;4
"353920 Pirapozinho";0;0;0;0;1;0;0;0;0;0;0;0;1
"353930 Pirassununga";0;0;0;0;0;1;2;0;0;1;0;0;4
"353980 Poá";0;0;0;0;1;1;2;2;1;0;0;0;7
"354000 Pompéia";0;0;0;0;0;0;0;1;0;0;0;0;1
"354020 Pontal";0;0;0;0;0;0;1;0;0;1;0;0;2
"354040 Populina";0;0;0;0;0;1;0;0;0;0;0;0;1
"354060 Porto Feliz";0;0;0;0;0;0;1;1;0;0;0;0;2
"354070 Porto Ferreira";0;0;0;0;0;0;0;0;1;0;0;0;1
"354075 Potim";0;0;0;0;0;1;0;0;1;0;0;0;2
"354080 Potirendaba";0;0;0;0;0;0;0;1;0;0;0;0;1
"354085 Pracinha";0;0;0;0;0;1;0;0;0;0;0;0;1
"354090 Pradópolis";0;0;0;0;0;0;1;0;0;0;0;0;1
"354100 Praia Grande";0;1;0;0;1;12;13;12;4;5;0;0;48
"354120 Presidente Bernardes";0;0;0;0;0;0;0;1;0;0;0;0;1
"354140 Presidente Prudente";0;1;0;0;1;7;9;8;6;1;0;0;33
"354160 Promissão";0;0;0;0;0;0;0;0;1;0;0;0;1
"354180 Queiroz";0;0;0;0;0;1;0;0;0;0;0;0;1
"354210 Rafard";0;0;0;0;0;0;1;0;0;0;0;0;1
"354260 Registro";0;0;0;0;0;0;3;1;2;0;0;0;6
"354330 Ribeirão Pires";0;0;0;0;0;1;0;0;0;0;0;0;1
"354340 Ribeirão Preto";0;0;0;0;0;24;21;24;15;10;2;0;96
"354380 Rinópolis";0;0;0;0;0;0;0;0;1;0;0;0;1
"354390 Rio Claro";0;0;0;0;1;3;3;2;2;2;1;0;14
"354520 Salto";0;0;0;0;0;3;5;1;0;2;0;0;11
"354540 Salto Grande";0;0;0;0;0;0;1;0;0;0;0;0;1
