 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: São Paulo
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"350010 Adamantina";4;1;0;0;0;0;5
"350020 Adolfo";0;0;0;1;0;0;1
"350130 Álvares Machado";4;0;0;0;0;0;4
"350160 Americana";5;1;0;2;0;0;8
"350170 Américo Brasiliense";2;0;0;1;0;0;3
"350190 Amparo";2;0;0;0;0;0;2
"350210 Andradina";3;1;0;3;0;0;7
"350220 Angatuba";0;0;0;1;0;0;1
"350250 Aparecida";0;0;0;1;0;0;1
"350275 Araçariguama";4;0;0;0;0;0;4
"350280 Araçatuba";16;3;0;11;0;0;30
"350310 Arandu";1;0;0;0;0;0;1
"350320 Araraquara";10;1;0;3;0;0;14
"350330 Araras";12;0;0;5;0;0;17
"350380 Artur Nogueira";1;0;0;0;0;0;1
"350390 Arujá";2;0;0;1;0;0;3
"350400 Assis";3;0;0;2;0;0;5
"350410 Atibaia";9;1;0;5;0;1;16
"350450 Avaré";9;0;0;3;0;0;12
"350460 Bady Bassitt";0;0;0;1;0;0;1
"350480 Bálsamo";1;0;0;0;0;0;1
"350490 Bananal";1;0;0;0;0;0;1
"350530 Barra Bonita";3;0;0;0;0;0;3
"350550 Barretos";7;3;0;12;0;0;22
"350560 Barrinha";1;0;0;0;0;0;1
"350570 Barueri";13;1;0;20;0;0;34
"350580 Bastos";2;0;0;0;0;0;2
"350590 Batatais";0;1;0;1;0;0;2
"350600 Bauru";27;7;0;22;0;1;57
"350610 Bebedouro";5;0;0;1;0;0;6
"350635 Bertioga";1;1;0;6;0;0;8
"350650 Birigui";8;0;0;3;0;0;11
"350660 Biritiba-Mirim";1;0;0;0;0;0;1
"350690 Bofete";2;0;0;0;0;0;2
"350700 Boituva";3;0;0;0;0;0;3
"350710 Bom Jesus dos Perdões";1;0;0;0;0;0;1
"350730 Boracéia";1;0;0;0;0;0;1
"350750 Botucatu";13;2;0;11;0;0;26
"350760 Bragança Paulista";12;1;0;1;0;0;14
"350850 Caçapava";6;0;0;0;0;0;6
"350860 Cachoeira Paulista";5;0;0;0;0;0;5
"350890 Caiabu";1;0;0;0;0;0;1
"350900 Caieiras";4;0;0;1;0;0;5
"350920 Cajamar";3;1;0;1;0;0;5
"350950 Campinas";52;11;0;41;0;1;105
"350960 Campo Limpo Paulista";0;0;0;4;0;0;4
"350970 Campos do Jordão";1;0;0;1;0;0;2
"351020 Capão Bonito";0;0;0;1;0;0;1
"351040 Capivari";2;0;0;0;0;0;2
"351050 Caraguatatuba";4;2;0;7;0;0;13
"351060 Carapicuíba";11;2;0;12;0;0;25
"351070 Cardoso";0;0;0;1;0;0;1
"351100 Castilho";1;0;0;0;0;0;1
"351110 Catanduva";6;0;0;3;0;0;9
"351130 Cedral";2;0;0;1;0;0;3
"351150 Cerquilho";2;0;0;0;0;0;2
"351170 Charqueada";3;0;0;0;0;0;3
"351200 Colina";1;0;0;0;0;0;1
"351210 Colômbia";0;0;0;1;0;0;1
"351280 Cosmópolis";2;0;0;2;0;0;4
"351290 Cosmorama";1;0;0;0;0;0;1
"351300 Cotia";7;3;0;10;0;0;20
"351310 Cravinhos";1;0;0;0;0;0;1
"351340 Cruzeiro";1;2;0;1;0;0;4
"351350 Cubatão";8;5;0;12;0;0;25
"351370 Descalvado";1;0;0;0;0;0;1
"351380 Diadema";8;3;0;9;0;0;20
"351430 Dourado";1;0;0;0;0;0;1
"351440 Dracena";0;0;0;2;0;0;2
"351500 Embu";5;2;0;6;0;0;13
"351512 Emilianópolis";1;0;0;0;0;0;1
"351518 Espírito Santo do Pinhal";1;0;0;0;0;0;1
"351540 Fartura";1;1;0;0;0;0;2
"351550 Fernandópolis";7;0;0;2;0;0;9
"351570 Ferraz de Vasconcelos";7;1;0;6;0;0;14
"351610 Florínia";1;0;0;0;0;0;1
"351620 Franca";20;2;0;5;0;0;27
"351630 Francisco Morato";5;2;1;17;0;0;25
"351640 Franco da Rocha";4;2;1;6;0;0;13
"351670 Garça";0;0;0;1;0;0;1
"351680 Gastão Vidigal";1;0;0;0;0;0;1
"351740 Guaíra";0;0;0;1;0;0;1
"351750 Guapiaçu";1;0;0;0;0;0;1
"351830 Guararema";0;0;0;1;0;0;1
"351840 Guaratinguetá";16;0;0;2;0;0;18
"351860 Guariba";1;0;0;2;0;0;3
"351870 Guarujá";19;6;2;18;0;0;45
"351880 Guarulhos";50;10;1;56;0;0;117
"351907 Hortolândia";14;3;0;11;0;0;28
"351940 Ibirá";1;0;0;1;0;0;2
"351950 Ibirarema";2;0;0;0;0;0;2
"351960 Ibitinga";3;0;0;0;0;0;3
"351970 Ibiúna";1;0;1;0;0;0;2
"352010 Igarapava";1;0;0;0;0;0;1
"352040 Ilhabela";4;1;0;1;0;0;6
"352050 Indaiatuba";18;2;0;4;0;0;24
"352060 Indiana";1;0;0;0;0;0;1
"352100 Iperó";1;0;0;0;0;0;1
"352110 Ipeúna";1;0;0;0;0;0;1
"352160 Irapuru";1;0;0;1;0;0;2
"352180 Itaí";0;1;0;0;0;0;1
"352210 Itanhaém";11;1;0;7;0;0;19
"352220 Itapecerica da Serra";14;0;0;5;0;0;19
"352230 Itapetininga";15;2;0;4;0;0;21
"352240 Itapeva";3;1;0;0;0;0;4
