 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2018
Ano Notificação: 2018
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2018
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"410040 Almirante Tamandaré";0;0;0;0;2;6;3;6;3;3;0;1;24
"410080 Alvorada do Sul";0;0;0;0;0;0;0;0;1;0;0;0;1
"410090 Amaporã";0;0;0;0;0;0;1;0;0;0;0;0;1
"410140 Apucarana";0;0;0;0;0;6;4;3;3;2;0;0;18
"410150 Arapongas";0;0;0;0;0;4;3;5;5;0;0;0;17
"410160 Arapoti";0;0;0;0;0;0;0;1;0;0;0;0;1
"410180 Araucária";0;0;0;0;1;2;8;5;3;2;0;0;21
"410190 Assaí";0;0;0;0;0;0;0;1;0;1;0;0;2
"410200 Assis Chateaubriand";0;0;0;0;0;0;0;1;0;0;0;0;1
"410280 Bela Vista do Paraíso";0;0;0;0;0;1;1;1;0;0;0;0;3
"410305 Boa Vista da Aparecida";0;0;0;0;0;0;1;1;0;1;1;0;4
"410315 Bom Jesus do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1
"410322 Bom Sucesso do Sul";0;0;0;0;0;0;1;0;0;0;0;0;1
"410335 Braganey";0;0;0;0;0;1;0;0;0;0;0;0;1
"410360 Cambará";0;0;0;0;0;0;1;0;0;0;0;0;1
"410370 Cambé";0;0;1;0;2;3;2;4;4;1;0;0;17
"410400 Campina Grande do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1
"410410 Campo do Tenente";0;0;0;0;0;0;1;0;0;0;0;0;1
"410420 Campo Largo";1;0;2;0;1;1;3;6;1;1;1;0;17
"410425 Campo Magro";0;0;0;0;0;0;0;2;0;0;0;0;2
"410430 Campo Mourão";0;0;0;0;1;0;6;5;2;1;1;0;16
"410442 Candói";0;0;0;0;0;1;1;1;0;0;0;0;3
"410460 Capitão Leônidas Marques";0;0;0;0;1;0;1;0;0;0;0;0;2
"410470 Carlópolis";0;0;0;0;0;0;1;0;0;0;0;0;1
"410480 Cascavel";0;0;0;0;3;30;23;24;15;2;1;0;98
"410490 Castro";1;0;0;0;0;0;1;1;3;0;0;0;6
"410500 Catanduvas";0;0;0;0;0;0;0;0;1;0;0;0;1
"410510 Centenário do Sul";0;0;0;0;0;0;0;0;1;0;0;0;1
"410540 Chopinzinho";0;0;0;0;0;0;0;1;0;0;0;0;1
"410550 Cianorte";0;0;0;0;0;2;3;3;2;1;0;0;11
"410570 Clevelândia";0;0;0;0;0;1;0;1;0;1;0;0;3
"410580 Colombo";0;0;0;0;0;11;13;11;8;4;0;0;47
"410590 Colorado";0;0;0;0;0;1;0;1;0;0;0;0;2
"410600 Congonhinhas";0;0;0;0;0;1;0;0;0;0;0;0;1
"410620 Contenda";0;0;0;0;0;1;0;1;0;0;0;0;2
"410630 Corbélia";0;0;0;0;0;0;1;0;0;0;0;0;1
"410640 Cornélio Procópio";0;0;0;0;0;3;9;5;1;0;0;0;18
"410650 Coronel Vivida";0;0;0;0;0;0;0;1;1;0;0;0;2
"410660 Cruzeiro do Oeste";0;0;0;0;1;2;0;2;1;0;0;0;6
"410690 Curitiba";3;1;0;1;7;139;171;118;68;32;5;0;545
"410700 Curiúva";0;0;0;0;0;0;1;0;0;0;0;0;1
"410760 Faxinal";0;0;0;0;0;0;0;0;1;0;0;0;1
"410765 Fazenda Rio Grande";0;0;0;0;0;0;0;4;0;0;0;0;4
