 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2019
Ano Notificação: 2019
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2019
"Município (Res)";"2019";"Total"
"410010 Abatiá";1;1
"410040 Almirante Tamandaré";27;27
"410070 Alto Piquiri";1;1
"410115 Ângulo";1;1
"410120 Antonina";1;1
"410140 Apucarana";27;27
"410150 Arapongas";20;20
"410160 Arapoti";2;2
"410180 Araucária";22;22
"410190 Assaí";1;1
"410200 Assis Chateaubriand";1;1
"410280 Bela Vista do Paraíso";1;1
"410302 Boa Esperança do Iguaçu";1;1
"410310 Bocaiúva do Sul";1;1
"410330 Borrazópolis";1;1
"410350 Califórnia";1;1
"410370 Cambé";19;19
"410380 Cambira";1;1
"410390 Campina da Lagoa";1;1
"410400 Campina Grande do Sul";4;4
"410420 Campo Largo";34;34
"410425 Campo Magro";4;4
"410430 Campo Mourão";20;20
"410440 Cândido de Abreu";1;1
"410450 Capanema";1;1
"410460 Capitão Leônidas Marques";2;2
"410480 Cascavel";85;85
"410490 Castro";8;8
"410510 Centenário do Sul";1;1
"410550 Cianorte";15;15
"410570 Clevelândia";2;2
"410580 Colombo";42;42
"410590 Colorado";1;1
"410640 Cornélio Procópio";25;25
"410645 Coronel Domingos Soares";1;1
"410650 Coronel Vivida";3;3
"410660 Cruzeiro do Oeste";5;5
"410690 Curitiba";550;550
"410760 Faxinal";3;3
"410765 Fazenda Rio Grande";8;8
"410773 Fernandes Pinheiro";1;1
"410775 Figueira";1;1
"410780 Floraí";1;1
"410830 Foz do Iguaçu";79;79
"410840 Francisco Beltrão";38;38
"410860 Goioerê";1;1
"410880 Guaíra";3;3
"410940 Guarapuava";23;23
"410960 Guaratuba";2;2
"410970 Ibaiti";3;3
"410980 Ibiporã";6;6
"411007 Imbaú";1;1
"411060 Iporã";1;1
"411070 Irati";5;5
"411080 Iretama";1;1
"411090 Itaguajé";1;1
"411150 Ivaiporã";1;1
"411155 Ivaté";1;1
"411170 Jaboti";1;1
"411180 Jacarezinho";16;16
"411190 Jaguapitã";2;2
"411200 Jaguariaíva";3;3
"411220 Janiópolis";1;1
"411250 Jardim Alegre";1;1
"411280 Joaquim Távora";1;1
"411310 Kaloré";1;1
"411320 Lapa";1;1
"411330 Laranjeiras do Sul";8;8
"411345 Lindoeste";1;1
"411350 Loanda";1;1
"411370 Londrina";118;118
"411400 Mamborê";1;1
"411410 Mandaguaçu";1;1
"411420 Mandaguari";2;2
"411430 Mandirituba";2;2
"411440 Mangueirinha";1;1
"411450 Manoel Ribas";1;1
"411460 Marechal Cândido Rondon";1;1
"411480 Marialva";4;4
"411520 Maringá";130;130
"411560 Matelândia";2;2
"411570 Matinhos";2;2
"411580 Medianeira";3;3
"411610 Moreira Sales";3;3
"411620 Morretes";2;2
"411660 Nova América da Colina";1;1
"411690 Nova Esperança";1;1
"411730 Ortigueira";2;2
"411750 Paiçandu";3;3
"411760 Palmas";6;6
"411820 Paranaguá";76;76
"411840 Paranavaí";10;10
"411850 Pato Branco";25;25
"411860 Paula Freitas";1;1
"411890 Pérola";1;1
"411915 Pinhais";40;40
"411930 Pinhão";1;1
"411940 Piraí do Sul";1;1
"411950 Piraquara";19;19
"411990 Ponta Grossa";73;73
"411995 Pontal do Paraná";1;1
"412010 Porto Amazonas";1;1
"412030 Porto Vitória";1;1
"412060 Prudentópolis";1;1
"412080 Quatro Barras";2;2
"412090 Quedas do Iguaçu";3;3
"412110 Quinta do Sol";1;1
"412120 Quitandinha";1;1
"412150 Rebouças";3;3
"412160 Renascença";3;3
"412170 Reserva";1;1
"412180 Ribeirão Claro";1;1
"412215 Rio Bonito do Iguaçu";1;1
"412220 Rio Branco do Sul";1;1
"412230 Rio Negro";1;1
"412240 Rolândia";11;11
"412260 Rondon";1;1
"412350 Santa Helena";1;1
"412385 Santa Maria do Oeste";1;1
"412390 Santa Mariana";1;1
"412405 Santa Terezinha de Itaipu";1;1
"412410 Santo Antônio da Platina";2;2
"412480 São João";1;1
"412500 São João do Ivaí";1;1
"412520 São Jorge d'Oeste";1;1
"412545 São José das Palmeiras";1;1
"412550 São José dos Pinhais";62;62
"412560 São Mateus do Sul";2;2
"412625 Sarandi";20;20
"412665 Sulina";1;1
"412667 Tamarana";1;1
"412710 Telêmaco Borba";7;7
"412720 Terra Boa";1;1
"412740 Terra Roxa";1;1
"412750 Tibagi";1;1
"412760 Tijucas do Sul";1;1
"412770 Toledo";39;39
"412788 Tunas do Paraná";1;1
"412796 Turvo";1;1
"412810 Umuarama";19;19
"412820 União da Vitória";9;9
"412855 Vera Cruz do Oeste";1;1
"Total";1895;1895
