 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2019
Ano Notificação: 2019
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"410010 Abatiá";1;0;0;0;0;0;1
"410040 Almirante Tamandaré";20;1;0;6;0;0;27
"410070 Alto Piquiri";1;0;0;0;0;0;1
"410115 Ângulo";1;0;0;0;0;0;1
"410120 Antonina";0;1;0;0;0;0;1
"410140 Apucarana";21;1;0;5;0;0;27
"410150 Arapongas";20;0;0;0;0;0;20
"410160 Arapoti";1;0;0;1;0;0;2
"410180 Araucária";14;1;0;7;0;0;22
"410190 Assaí";1;0;0;0;0;0;1
"410200 Assis Chateaubriand";1;0;0;0;0;0;1
"410280 Bela Vista do Paraíso";1;0;0;0;0;0;1
"410302 Boa Esperança do Iguaçu";1;0;0;0;0;0;1
"410310 Bocaiúva do Sul";1;0;0;0;0;0;1
"410330 Borrazópolis";1;0;0;0;0;0;1
"410350 Califórnia";1;0;0;0;0;0;1
"410370 Cambé";15;0;0;4;0;0;19
"410380 Cambira";0;1;0;0;0;0;1
"410390 Campina da Lagoa";1;0;0;0;0;0;1
"410400 Campina Grande do Sul";3;0;0;1;0;0;4
"410420 Campo Largo";30;2;0;2;0;0;34
"410425 Campo Magro";4;0;0;0;0;0;4
"410430 Campo Mourão";15;1;0;4;0;0;20
"410440 Cândido de Abreu";1;0;0;0;0;0;1
"410450 Capanema";1;0;0;0;0;0;1
"410460 Capitão Leônidas Marques";1;0;0;1;0;0;2
"410480 Cascavel";59;4;0;22;0;0;85
"410490 Castro";2;2;0;4;0;0;8
"410510 Centenário do Sul";1;0;0;0;0;0;1
"410550 Cianorte";9;1;0;5;0;0;15
"410570 Clevelândia";1;0;0;1;0;0;2
"410580 Colombo";33;2;0;7;0;0;42
"410590 Colorado";1;0;0;0;0;0;1
"410640 Cornélio Procópio";20;2;0;3;0;0;25
"410645 Coronel Domingos Soares";1;0;0;0;0;0;1
"410650 Coronel Vivida";2;0;0;1;0;0;3
"410660 Cruzeiro do Oeste";3;0;0;2;0;0;5
"410690 Curitiba";427;33;4;81;0;5;550
"410760 Faxinal";3;0;0;0;0;0;3
"410765 Fazenda Rio Grande";8;0;0;0;0;0;8
"410773 Fernandes Pinheiro";1;0;0;0;0;0;1
"410775 Figueira";1;0;0;0;0;0;1
"410780 Floraí";0;0;0;1;0;0;1
"410830 Foz do Iguaçu";54;1;1;23;0;0;79
"410840 Francisco Beltrão";32;0;0;6;0;0;38
"410860 Goioerê";0;0;0;1;0;0;1
"410880 Guaíra";0;0;0;2;1;0;3
"410940 Guarapuava";20;0;0;3;0;0;23
"410960 Guaratuba";2;0;0;0;0;0;2
"410970 Ibaiti";3;0;0;0;0;0;3
"410980 Ibiporã";4;0;0;2;0;0;6
"411007 Imbaú";1;0;0;0;0;0;1
"411060 Iporã";0;0;0;1;0;0;1
"411070 Irati";5;0;0;0;0;0;5
"411080 Iretama";0;0;0;1;0;0;1
"411090 Itaguajé";1;0;0;0;0;0;1
"411150 Ivaiporã";0;0;0;1;0;0;1
"411155 Ivaté";1;0;0;0;0;0;1
"411170 Jaboti";1;0;0;0;0;0;1
"411180 Jacarezinho";15;1;0;0;0;0;16
"411190 Jaguapitã";1;0;0;1;0;0;2
"411200 Jaguariaíva";3;0;0;0;0;0;3
"411220 Janiópolis";0;0;0;1;0;0;1
"411250 Jardim Alegre";1;0;0;0;0;0;1
"411280 Joaquim Távora";1;0;0;0;0;0;1
"411310 Kaloré";1;0;0;0;0;0;1
"411320 Lapa";1;0;0;0;0;0;1
"411330 Laranjeiras do Sul";4;0;1;3;0;0;8
"411345 Lindoeste";0;1;0;0;0;0;1
"411350 Loanda";0;0;0;1;0;0;1
"411370 Londrina";81;10;3;24;0;0;118
"411400 Mamborê";1;0;0;0;0;0;1
"411410 Mandaguaçu";0;0;0;1;0;0;1
"411420 Mandaguari";1;1;0;0;0;0;2
"411430 Mandirituba";2;0;0;0;0;0;2
"411440 Mangueirinha";1;0;0;0;0;0;1
"411450 Manoel Ribas";0;0;0;0;1;0;1
"411460 Marechal Cândido Rondon";1;0;0;0;0;0;1
"411480 Marialva";2;1;0;1;0;0;4
"411520 Maringá";97;8;1;24;0;0;130
"411560 Matelândia";2;0;0;0;0;0;2
"411570 Matinhos";2;0;0;0;0;0;2
"411580 Medianeira";2;0;0;1;0;0;3
"411610 Moreira Sales";2;1;0;0;0;0;3
"411620 Morretes";1;0;0;0;0;1;2
"411660 Nova América da Colina";0;0;0;1;0;0;1
"411690 Nova Esperança";0;1;0;0;0;0;1
"411730 Ortigueira";1;0;0;1;0;0;2
"411750 Paiçandu";3;0;0;0;0;0;3
"411760 Palmas";3;0;0;3;0;0;6
"411820 Paranaguá";61;0;0;14;0;1;76
"411840 Paranavaí";6;0;0;4;0;0;10
"411850 Pato Branco";20;2;0;3;0;0;25
"411860 Paula Freitas";1;0;0;0;0;0;1
"411890 Pérola";1;0;0;0;0;0;1
"411915 Pinhais";33;2;2;3;0;0;40
"411930 Pinhão";0;1;0;0;0;0;1
"411940 Piraí do Sul";1;0;0;0;0;0;1
"411950 Piraquara";15;3;0;1;0;0;19
"411990 Ponta Grossa";60;1;1;11;0;0;73
"411995 Pontal do Paraná";1;0;0;0;0;0;1
"412010 Porto Amazonas";1;0;0;0;0;0;1
"412030 Porto Vitória";1;0;0;0;0;0;1
"412060 Prudentópolis";1;0;0;0;0;0;1
"412080 Quatro Barras";2;0;0;0;0;0;2
"412090 Quedas do Iguaçu";2;0;0;1;0;0;3
"412110 Quinta do Sol";1;0;0;0;0;0;1
"412120 Quitandinha";1;0;0;0;0;0;1
"412150 Rebouças";3;0;0;0;0;0;3
"412160 Renascença";2;0;0;1;0;0;3
"412170 Reserva";1;0;0;0;0;0;1
"412180 Ribeirão Claro";0;0;0;1;0;0;1
"412215 Rio Bonito do Iguaçu";1;0;0;0;0;0;1
"412220 Rio Branco do Sul";1;0;0;0;0;0;1
"412230 Rio Negro";1;0;0;0;0;0;1
"412240 Rolândia";6;2;0;3;0;0;11
"412260 Rondon";1;0;0;0;0;0;1
"412350 Santa Helena";1;0;0;0;0;0;1
"412385 Santa Maria do Oeste";1;0;0;0;0;0;1
"412390 Santa Mariana";1;0;0;0;0;0;1
"412405 Santa Terezinha de Itaipu";1;0;0;0;0;0;1
