 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2022
Ano Notificação: 2022
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"410040 Almirante Tamandaré";0;0;1;2;0;1;3;0;3;10
"410070 Alto Piquiri";0;0;0;0;0;0;1;0;0;1
"410090 Amaporã";0;0;0;0;0;1;0;0;0;1
"410110 Andirá";0;0;0;0;0;0;1;0;1;2
"410120 Antonina";0;0;0;0;0;0;1;0;0;1
"410140 Apucarana";0;2;0;2;3;4;7;2;3;23
"410150 Arapongas";0;0;2;5;3;3;1;0;2;16
"410180 Araucária";0;0;0;2;1;2;3;2;2;12
"410190 Assaí";0;0;0;0;0;0;0;0;1;1
"410200 Assis Chateaubriand";1;0;0;1;0;0;0;0;0;2
"410230 Balsa Nova";0;0;0;0;0;1;0;0;0;1
"410240 Bandeirantes";0;0;0;0;0;0;2;0;0;2
"410280 Bela Vista do Paraíso";0;0;0;1;0;0;0;0;0;1
"410300 Boa Esperança";0;1;0;0;0;0;0;0;0;1
"410320 Bom Sucesso";0;0;0;0;1;0;0;0;0;1
"410340 Cafeara";0;0;0;0;1;0;0;0;0;1
"410345 Cafelândia";0;0;0;0;0;0;1;0;0;1
"410370 Cambé";0;2;0;2;1;4;5;0;2;16
"410400 Campina Grande do Sul";1;0;0;0;0;0;1;0;0;2
"410420 Campo Largo";0;0;0;3;1;2;1;1;2;10
"410430 Campo Mourão";1;1;1;2;4;3;2;0;1;15
"410442 Candói";0;1;0;0;0;0;1;0;0;2
"410480 Cascavel";0;5;3;15;13;5;28;1;7;77
"410490 Castro";0;1;1;1;1;1;4;0;0;9
"410550 Cianorte";0;1;1;0;1;0;2;0;1;6
"410570 Clevelândia";0;0;1;1;1;0;0;0;0;3
"410580 Colombo";0;0;0;8;1;12;8;1;2;32
"410590 Colorado";0;0;0;0;1;0;0;0;0;1
"410630 Corbélia";0;0;0;0;0;0;1;0;0;1
"410640 Cornélio Procópio";0;2;0;9;0;2;4;1;1;19
"410660 Cruzeiro do Oeste";0;1;0;0;0;0;0;0;0;1
"410690 Curitiba";2;13;8;53;28;38;88;22;51;303
"410700 Curiúva";0;1;0;0;0;0;0;0;0;1
"410712 Diamante do Sul";0;0;0;1;0;0;0;0;0;1
"410765 Fazenda Rio Grande";0;1;0;1;1;2;1;0;1;7
"410770 Fênix";0;0;0;0;0;1;0;0;0;1
"410800 Florestópolis";0;0;0;0;0;0;0;1;0;1
"410830 Foz do Iguaçu";1;7;1;23;8;8;18;8;5;79
"410840 Francisco Beltrão";1;4;3;3;1;4;6;1;5;28
"410880 Guaíra";0;0;0;0;1;0;0;0;0;1
"410920 Guaraci";0;1;0;0;0;0;0;0;0;1
"410940 Guarapuava";0;2;3;4;1;1;6;1;3;21
"410960 Guaratuba";0;1;1;1;0;1;2;0;0;6
"410970 Ibaiti";0;0;2;1;0;0;3;0;1;7
"410980 Ibiporã";0;0;2;0;0;0;3;0;1;6
"410990 Icaraíma";0;0;0;1;0;1;0;0;0;2
"411000 Iguaraçu";0;1;0;3;1;0;2;0;0;7
"411030 Inajá";0;1;0;0;0;0;0;0;0;1
"411060 Iporã";0;0;0;1;0;0;1;0;0;2
"411070 Irati";0;0;1;0;0;0;1;0;0;2
"411095 Itaipulândia";0;0;0;1;0;0;0;0;0;1
"411125 Itaperuçu";0;0;1;0;0;0;0;0;0;1
"411150 Ivaiporã";0;1;0;1;0;0;0;0;0;2
"411160 Ivatuba";0;0;0;0;0;0;1;0;0;1
"411180 Jacarezinho";0;1;0;3;3;3;4;0;0;14
"411200 Jaguariaíva";0;0;0;1;0;0;0;0;0;1
"411270 Jataizinho";0;0;0;2;1;0;0;0;0;3
"411295 Juranda";0;0;0;1;0;0;0;0;0;1
"411320 Lapa";0;0;0;1;1;0;1;0;0;3
"411330 Laranjeiras do Sul";0;0;1;2;1;0;0;0;0;4
"411370 Londrina";0;3;2;17;5;18;21;7;30;103
"411420 Mandaguari";0;0;0;0;0;0;1;0;0;1
"411435 Manfrinópolis";0;0;0;0;0;0;1;0;0;1
"411460 Marechal Cândido Rondon";0;0;0;2;0;2;1;0;0;5
"411480 Marialva";0;0;0;1;0;0;2;0;0;3
"411520 Maringá";1;8;4;15;18;18;29;11;27;131
"411560 Matelândia";0;0;0;0;0;0;1;0;0;1
"411660 Nova América da Colina";0;0;0;0;0;1;0;0;0;1
"411700 Nova Fátima";0;1;0;0;0;0;1;0;0;2
"411705 Nova Laranjeiras";1;1;0;0;0;0;0;0;0;2
"411720 Nova Olímpia";0;1;0;0;0;0;0;0;0;1
"411730 Ortigueira";0;0;0;0;0;1;0;0;0;1
