 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2024
Ano Notificação: 2024
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2024
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"410010 Abatiá";0;0;0;0;0;0;0;1;0;0;0;1
"410040 Almirante Tamandaré";0;0;0;0;5;7;7;3;3;0;0;25
"410070 Alto Piquiri";0;0;0;0;1;0;0;0;0;0;0;1
"410080 Alvorada do Sul";0;0;0;0;0;0;0;1;0;0;0;1
"410120 Antonina";0;0;0;0;0;1;0;0;0;0;0;1
"410140 Apucarana";0;0;1;0;8;7;5;4;1;1;0;27
"410150 Arapongas";0;0;0;1;4;3;4;1;0;0;0;13
"410170 Araruna";0;0;0;0;1;0;0;0;0;0;0;1
"410180 Araucária";0;0;0;0;14;13;5;1;2;0;0;35
"410190 Assaí";0;0;0;0;1;0;1;0;0;0;0;2
"410310 Bocaiúva do Sul";0;0;0;0;0;1;0;0;0;0;0;1
"410322 Bom Sucesso do Sul";0;0;0;0;1;0;0;0;0;0;0;1
"410345 Cafelândia";0;0;0;0;0;0;1;0;0;0;0;1
"410350 Califórnia";0;0;0;0;0;0;1;0;0;0;0;1
"410370 Cambé";0;0;0;1;1;6;2;5;1;1;0;17
"410400 Campina Grande do Sul";0;0;0;3;1;1;3;1;1;0;0;10
"410420 Campo Largo";0;0;0;0;7;7;4;6;2;1;0;27
"410425 Campo Magro";0;0;0;0;0;0;1;0;0;0;0;1
"410430 Campo Mourão";0;0;0;1;8;8;3;4;7;1;1;33
"410445 Cantagalo";0;0;0;0;0;0;1;0;0;0;0;1
"410460 Capitão Leônidas Marques";0;0;0;1;0;1;0;0;0;0;0;2
"410470 Carlópolis";0;0;0;0;0;0;1;0;0;0;0;1
"410480 Cascavel";0;1;0;0;20;27;18;7;1;1;0;75
"410490 Castro";0;0;0;0;1;0;1;1;0;0;0;3
"410510 Centenário do Sul";0;0;0;0;1;0;0;0;0;0;0;1
"410520 Cerro Azul";0;0;0;0;0;0;1;0;0;0;0;1
"410530 Céu Azul";0;0;0;0;1;0;0;0;0;0;0;1
"410550 Cianorte";0;0;0;0;2;3;5;0;0;0;0;10
"410560 Cidade Gaúcha";0;0;0;0;0;0;1;1;0;0;1;3
"410570 Clevelândia";0;0;0;0;0;0;2;0;0;0;0;2
"410580 Colombo";0;0;0;1;7;13;15;9;3;1;0;49
"410630 Corbélia";0;0;0;0;1;0;0;1;0;0;0;2
"410640 Cornélio Procópio";0;0;0;0;2;9;4;3;1;1;0;20
"410645 Coronel Domingos Soares";0;0;0;0;0;0;1;0;0;0;0;1
"410660 Cruzeiro do Oeste";0;0;0;0;1;2;0;0;1;0;0;4
"410690 Curitiba";1;0;0;7;113;139;104;55;35;9;2;465
"410700 Curiúva";0;0;0;0;0;0;1;0;0;0;0;1
"410720 Dois Vizinhos";0;0;0;0;2;0;0;0;0;0;0;2
"410750 Engenheiro Beltrão";0;0;0;0;1;1;0;0;0;1;0;3
"410754 Espigão Alto do Iguaçu";0;0;0;0;0;0;1;0;0;0;0;1
"410760 Faxinal";0;0;0;0;0;0;0;1;0;0;0;1
"410765 Fazenda Rio Grande";0;0;0;0;1;0;2;3;1;0;0;7
"410773 Fernandes Pinheiro";0;0;0;0;0;0;1;0;0;0;0;1
"410800 Florestópolis";0;0;0;0;0;1;0;0;0;0;0;1
"410830 Foz do Iguaçu";0;0;0;3;30;35;17;10;7;0;0;102
"410840 Francisco Beltrão";0;0;0;0;8;12;10;3;1;0;0;34
"410880 Guaíra";0;0;0;1;0;0;1;1;0;0;0;3
"410910 Guaporema";0;0;0;0;0;0;0;1;0;0;0;1
"410930 Guaraniaçu";0;0;0;0;1;0;0;0;0;0;0;1
"410940 Guarapuava";0;0;0;1;2;5;4;3;2;1;0;18
"410960 Guaratuba";0;0;0;1;4;2;3;1;3;0;0;14
"410970 Ibaiti";0;1;0;0;1;4;3;1;1;0;0;11
"410975 Ibema";0;0;0;0;1;0;0;0;0;0;0;1
"410980 Ibiporã";0;0;0;0;1;1;1;2;3;0;0;8
"411000 Iguaraçu";0;0;0;0;3;4;5;3;0;0;0;15
"411007 Imbaú";0;0;0;0;1;0;0;0;0;0;0;1
"411010 Imbituva";0;0;0;0;0;0;1;0;0;0;0;1
"411020 Inácio Martins";0;0;0;0;0;0;0;1;0;0;0;1
"411070 Irati";0;0;0;0;1;1;0;0;0;0;0;2
"411150 Ivaiporã";0;0;0;0;2;0;2;0;1;1;0;6
"411180 Jacarezinho";0;0;0;0;2;7;4;4;2;0;0;19
"411190 Jaguapitã";0;0;0;0;0;1;0;1;0;0;0;2
"411260 Jardim Olinda";0;0;0;0;0;0;1;0;0;0;0;1
"411275 Jesuítas";0;0;0;0;0;1;0;0;0;0;0;1
"411300 Jussara";0;0;0;0;0;0;0;0;1;0;0;1
"411320 Lapa";0;0;0;0;1;5;0;2;1;0;0;9
"411330 Laranjeiras do Sul";0;0;0;0;1;2;0;0;0;1;0;4
"411350 Loanda";0;0;0;0;0;1;0;0;0;0;0;1
"411370 Londrina";0;1;0;0;30;32;33;14;6;6;0;122
"411460 Marechal Cândido Rondon";0;0;0;0;1;0;0;0;0;0;0;1
"411480 Marialva";0;0;0;0;0;1;1;0;0;0;0;2
"411490 Marilândia do Sul";0;0;0;0;0;0;0;1;0;0;0;1
"411500 Marilena";0;0;0;0;0;1;0;0;0;0;0;1
"411520 Maringá";1;1;0;5;31;40;25;18;12;0;0;133
"411560 Matelândia";0;0;0;0;0;0;1;0;0;0;0;1
"411580 Medianeira";0;0;0;0;0;0;0;1;0;0;0;1
"411610 Moreira Sales";0;0;0;0;0;0;1;0;0;0;0;1
"411670 Nova Aurora";0;0;0;0;1;0;0;0;0;0;0;1
"411690 Nova Esperança";0;0;0;0;0;1;0;1;0;0;0;2
"411700 Nova Fátima";0;0;0;0;0;1;0;2;0;0;0;3
"411705 Nova Laranjeiras";0;0;0;0;1;0;0;0;0;0;0;1
"411720 Nova Olímpia";0;0;0;0;0;1;0;0;0;0;0;1
"411729 Novo Itacolomi";0;0;0;0;0;0;1;0;0;0;0;1
"411730 Ortigueira";0;0;0;0;1;0;1;0;0;0;0;2
"411750 Paiçandu";0;0;0;0;0;2;0;0;0;0;0;2
"411760 Palmas";0;0;0;0;5;1;0;1;0;0;0;7
"411780 Palmital";0;0;0;0;0;2;1;1;0;0;0;4
"411790 Palotina";0;0;0;0;1;0;0;1;0;0;0;2
"411800 Paraíso do Norte";0;0;0;0;0;0;1;0;1;0;0;2
"411810 Paranacity";0;0;0;0;1;0;0;0;0;0;0;1
"411820 Paranaguá";0;0;0;1;10;12;22;17;14;2;0;78
"411830 Paranapoema";0;0;0;0;0;0;1;0;0;0;0;1
"411840 Paranavaí";0;0;0;1;4;1;4;4;4;0;0;18
"411850 Pato Branco";0;0;0;0;6;4;5;4;4;2;0;25
"411915 Pinhais";0;0;0;0;11;15;7;16;0;0;0;49
"411940 Piraí do Sul";0;0;0;0;0;0;0;0;1;0;0;1
"411950 Piraquara";0;0;0;1;5;5;8;7;2;2;0;30
"411960 Pitanga";0;0;0;0;0;1;1;0;0;0;0;2
"411990 Ponta Grossa";0;0;0;3;28;19;25;20;6;2;0;103
"411995 Pontal do Paraná";0;0;0;0;0;1;2;2;1;0;0;6
