 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"410040 Almirante Tamandaré";1;1;1;1;0;0;2;1;1;8
"410140 Apucarana";0;1;0;3;0;2;1;0;1;8
"410150 Arapongas";2;0;0;0;1;2;5;0;1;11
"410180 Araucária";1;0;0;0;0;1;3;1;3;9
"410210 Astorga";1;0;0;0;0;0;0;0;0;1
"410345 Cafelândia";1;0;0;0;0;0;1;0;0;2
"410370 Cambé";1;0;0;1;1;0;4;1;1;9
"410400 Campina Grande do Sul";0;0;1;0;0;0;1;0;0;2
"410420 Campo Largo";0;0;0;1;0;0;3;0;0;4
"410430 Campo Mourão";1;1;0;3;2;1;7;0;3;18
"410442 Candói";0;1;0;0;0;0;0;0;0;1
"410460 Capitão Leônidas Marques";0;0;0;0;0;1;0;0;0;1
"410480 Cascavel";0;5;0;10;2;8;19;0;9;53
"410550 Cianorte";1;1;0;5;0;2;4;0;1;14
"410560 Cidade Gaúcha";0;0;0;0;0;0;1;0;0;1
"410570 Clevelândia";1;0;0;0;0;0;0;0;0;1
"410580 Colombo";0;2;1;5;3;7;8;1;2;29
"410640 Cornélio Procópio";1;1;0;1;0;0;4;0;3;10
"410655 Corumbataí do Sul";0;0;0;0;0;0;0;0;1;1
"410660 Cruzeiro do Oeste";0;0;0;0;0;0;1;0;0;1
"410690 Curitiba";6;10;3;28;10;35;65;17;38;212
"410715 Diamante D'Oeste";0;1;0;0;0;0;0;0;0;1
"410765 Fazenda Rio Grande";0;0;0;1;0;0;0;0;0;1
"410775 Figueira";0;0;0;0;0;0;0;0;1;1
"410820 Formosa do Oeste";0;0;0;0;1;0;0;0;0;1
"410830 Foz do Iguaçu";5;4;1;6;3;10;15;3;7;54
"410840 Francisco Beltrão";3;2;1;2;2;3;3;0;7;23
"410940 Guarapuava";0;2;1;2;3;2;1;0;2;13
"410960 Guaratuba";0;0;0;1;1;0;1;1;0;4
"410970 Ibaiti";1;1;0;1;0;1;2;0;0;6
