 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2025
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"410040 Almirante Tamandaré";0;0;0;0;2;6;4;3;2;0;0;17
"410140 Apucarana";0;0;0;0;2;4;3;0;1;0;0;10
"410150 Arapongas";0;0;0;0;1;4;2;3;2;0;0;12
"410180 Araucária";0;0;0;0;3;1;2;5;0;0;0;11
"410200 Assis Chateaubriand";0;0;0;0;0;0;1;0;0;0;0;1
"410210 Astorga";0;0;0;0;0;0;0;0;0;1;0;1
"410345 Cafelândia";0;0;1;0;1;0;0;0;0;0;0;2
"410370 Cambé";0;0;0;1;1;4;2;2;1;0;0;11
"410400 Campina Grande do Sul";0;0;0;0;0;0;3;0;0;0;0;3
"410420 Campo Largo";0;0;0;0;4;5;4;3;3;0;0;19
"410425 Campo Magro";0;0;0;0;0;0;1;0;0;0;0;1
"410430 Campo Mourão";0;0;0;0;6;6;6;3;1;0;0;22
"410442 Candói";0;1;0;0;0;0;0;0;0;0;0;1
"410460 Capitão Leônidas Marques";0;0;0;1;0;0;0;0;0;0;0;1
"410480 Cascavel";0;0;0;1;14;18;13;9;4;1;0;60
"410490 Castro";0;0;0;0;0;0;1;0;0;0;0;1
"410550 Cianorte";0;0;0;0;1;7;2;1;2;1;0;14
"410560 Cidade Gaúcha";0;0;0;0;0;0;0;1;0;0;0;1
"410570 Clevelândia";0;0;0;0;0;0;1;0;0;0;0;1
"410580 Colombo";0;0;0;1;14;12;9;1;2;0;0;39
"410640 Cornélio Procópio";0;0;0;0;2;0;4;4;2;0;0;12
"410655 Corumbataí do Sul";0;0;0;0;0;1;0;0;0;0;0;1
"410660 Cruzeiro do Oeste";0;0;0;0;0;0;0;1;0;0;0;1
"410690 Curitiba";1;1;0;2;97;85;72;40;28;3;1;330
"410715 Diamante D'Oeste";0;0;0;0;0;0;0;0;1;0;0;1
"410740 Enéas Marques";0;0;0;0;0;0;0;1;0;0;0;1
"410765 Fazenda Rio Grande";0;0;0;0;0;0;0;1;0;0;0;1
"410775 Figueira";0;0;0;0;0;0;1;0;0;0;0;1
"410820 Formosa do Oeste";0;0;0;0;0;0;0;0;0;1;0;1
"410830 Foz do Iguaçu";0;0;0;3;21;13;16;13;6;0;0;72
"410840 Francisco Beltrão";0;0;0;0;7;7;7;4;4;1;0;30
