 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Paraná
Região Res.: Região Sul
UF Notificação: Paraná
Região Not.: Região Sul
Período:2025
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"410040 Almirante Tamandaré";10;7;0;17
"410140 Apucarana";7;3;0;10
"410150 Arapongas";9;3;0;12
"410180 Araucária";6;5;0;11
"410200 Assis Chateaubriand";1;0;0;1
"410210 Astorga";0;1;0;1
"410345 Cafelândia";2;0;0;2
"410370 Cambé";11;0;0;11
"410400 Campina Grande do Sul";2;1;0;3
"410420 Campo Largo";12;7;0;19
"410425 Campo Magro";1;0;0;1
"410430 Campo Mourão";15;7;0;22
"410442 Candói";0;1;0;1
"410460 Capitão Leônidas Marques";1;0;0;1
"410480 Cascavel";41;19;0;60
"410490 Castro";0;1;0;1
"410550 Cianorte";9;5;0;14
"410560 Cidade Gaúcha";1;0;0;1
"410570 Clevelândia";1;0;0;1
"410580 Colombo";29;10;0;39
"410640 Cornélio Procópio";7;5;0;12
"410655 Corumbataí do Sul";1;0;0;1
"410660 Cruzeiro do Oeste";1;0;0;1
"410690 Curitiba";237;90;3;330
"410715 Diamante D'Oeste";1;0;0;1
"410740 Enéas Marques";0;1;0;1
"410765 Fazenda Rio Grande";0;1;0;1
"410775 Figueira";1;0;0;1
"410820 Formosa do Oeste";0;1;0;1
"410830 Foz do Iguaçu";52;20;0;72
"410840 Francisco Beltrão";15;15;0;30
"410940 Guarapuava";10;5;0;15
"410960 Guaratuba";4;5;0;9
"410970 Ibaiti";3;3;0;6
"410980 Ibiporã";0;1;0;1
"411000 Iguaraçu";9;2;0;11
"411070 Irati";1;0;0;1
"411120 Itapejara d'Oeste";1;0;0;1
"411180 Jacarezinho";13;6;0;19
"411190 Jaguapitã";4;0;0;4
"411270 Jataizinho";0;1;0;1
"411275 Jesuítas";1;0;0;1
"411320 Lapa";5;0;0;5
"411330 Laranjeiras do Sul";1;0;0;1
"411350 Loanda";2;1;0;3
"411370 Londrina";52;27;0;79
"411375 Lunardelli";0;1;0;1
"411440 Mangueirinha";1;1;0;2
"411460 Marechal Cândido Rondon";1;0;0;1
"411480 Marialva";2;0;0;2
"411520 Maringá";84;18;0;102
"411570 Matinhos";0;1;0;1
"411580 Medianeira";1;0;0;1
"411590 Mirador";1;0;0;1
"411620 Morretes";0;1;0;1
"411690 Nova Esperança";0;1;0;1
"411710 Nova Londrina";0;1;0;1
"411730 Ortigueira";0;1;0;1
"411745 Ouro Verde do Oeste";1;0;0;1
"411750 Paiçandu";0;1;0;1
"411760 Palmas";3;2;0;5
"411790 Palotina";2;0;0;2
"411820 Paranaguá";44;23;0;67
"411840 Paranavaí";12;5;0;17
"411850 Pato Branco";13;6;0;19
"411915 Pinhais";18;11;0;29
"411930 Pinhão";0;3;0;3
"411950 Piraquara";3;3;0;6
"411960 Pitanga";0;1;0;1
"411965 Pitangueiras";0;1;0;1
"411990 Ponta Grossa";53;19;0;72
"412050 Primeiro de Maio";0;2;0;2
"412060 Prudentópolis";0;1;0;1
"412080 Quatro Barras";1;1;0;2
"412090 Quedas do Iguaçu";0;1;0;1
"412100 Querência do Norte";0;1;0;1
"412160 Renascença";1;0;0;1
"412215 Rio Bonito do Iguaçu";0;1;0;1
"412220 Rio Branco do Sul";1;0;0;1
"412230 Rio Negro";5;0;0;5
"412240 Rolândia";2;0;0;2
"412250 Roncador";1;0;0;1
"412350 Santa Helena";1;0;0;1
"412385 Santa Maria do Oeste";0;1;0;1
"412440 Santo Antônio do Sudoeste";1;0;0;1
"412550 São José dos Pinhais";25;11;0;36
"412600 São Sebastião da Amoreira";0;1;0;1
"412625 Sarandi";8;0;0;8
"412650 Sertanópolis";1;0;0;1
"412700 Teixeira Soares";2;0;0;2
"412710 Telêmaco Borba";0;2;0;2
"412750 Tibagi";1;0;0;1
"412760 Tijucas do Sul";1;0;0;1
"412770 Toledo";24;6;0;30
"412800 Ubiratã";1;0;0;1
"412810 Umuarama";9;4;0;13
"412820 União da Vitória";4;3;0;7
"412865 Virmond";1;0;0;1
"Total";908;389;3;1300
