 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2018
Ano Notificação: 2018
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2018
"Município (Res)";"2018";"Total"
"430030 Alecrim";1;1
"430040 Alegrete";9;9
"430045 Alegria";1;1
"430047 Almirante Tamandaré do Sul";2;2
"430060 Alvorada";79;79
"430066 André da Rocha";1;1
"430080 Antônio Prado";1;1
"430087 Araricá";1;1
"430090 Aratiba";1;1
"430100 Arroio do Meio";1;1
"430107 Arroio do Padre";1;1
"430105 Arroio do Sal";1;1
"430130 Arroio Grande";3;3
"430160 Bagé";26;26
"430163 Balneário Pinhal";1;1
"430190 Barra do Ribeiro";2;2
"430200 Barros Cassal";1;1
"430210 Bento Gonçalves";20;20
"430222 Boa Vista do Cadeado";2;2
"430230 Bom Jesus";3;3
"430235 Bom Princípio";3;3
"430240 Bom Retiro do Sul";1;1
"430270 Butiá";2;2
"430280 Caçapava do Sul";4;4
"430290 Cacequi";2;2
"430300 Cachoeira do Sul";30;30
"430310 Cachoeirinha";39;39
"430350 Camaquã";15;15
"430390 Campo Bom";18;18
"430420 Candelária";6;6
"430435 Candiota";1;1
"430440 Canela";19;19
"430460 Canoas";149;149
"430461 Canudos do Vale";1;1
"430463 Capão da Canoa";22;22
"430466 Capão do Leão";1;1
"430468 Capela de Santana";2;2
"430470 Carazinho";9;9
"430480 Carlos Barbosa";2;2
"430490 Casca";1;1
"430495 Caseiros";1;1
"430510 Caxias do Sul";92;92
"430512 Cerrito";1;1
"430517 Cerro Grande do Sul";1;1
"430535 Charqueadas";26;26
"430543 Chuí";1;1
"430545 Cidreira";7;7
"430610 Cruz Alta";19;19
"430620 Cruzeiro do Sul";1;1
"430630 David Canabarro";1;1
"430640 Dois Irmãos";5;5
"430660 Dom Pedrito";3;3
"430675 Doutor Ricardo";1;1
"430676 Eldorado do Sul";10;10
"430680 Encantado";4;4
"430690 Encruzilhada do Sul";1;1
"430700 Erechim";16;16
"430750 Espumoso";3;3
"430760 Estância Velha";9;9
"430770 Esteio";26;26
"430780 Estrela";10;10
"430790 Farroupilha";7;7
"430810 Feliz";1;1
"430820 Flores da Cunha";4;4
"430850 Frederico Westphalen";9;9
"430860 Garibaldi";2;2
"430870 Gaurama";1;1
"430880 General Câmara";1;1
"430900 Giruá";2;2
"430910 Gramado";8;8
"430915 Gramado Xavier";1;1
"430920 Gravataí";69;69
"430930 Guaíba";31;31
"430940 Guaporé";2;2
"430710 Herval";2;2
"430957 Herveiras";1;1
"430960 Horizontina";4;4
"431000 Ibirubá";1;1
"431010 Igrejinha";2;2
"431020 Ijuí";19;19
"431030 Ilópolis";1;1
"431033 Imbé";2;2
"431040 Independência";1;1
"431041 Inhacorá";1;1
"431050 Iraí";1;1
"431055 Itacurubi";1;1
"431060 Itaqui";10;10
"431075 Ivorá";1;1
"431080 Ivoti";2;2
"431100 Jaguarão";2;2
"431120 Júlio de Castilhos";1;1
"431130 Lagoa Vermelha";3;3
"431140 Lajeado";38;38
"431160 Liberato Salzano";1;1
"431173 Mampituba";1;1
"431175 Manoel Viana";1;1
"431180 Marau";3;3
"431240 Montenegro";30;30
"431242 Mormaço";1;1
"431244 Morrinhos do Sul";1;1
"431250 Mostardas";1;1
"431306 Nova Hartz";3;3
"431320 Nova Petrópolis";1;1
"431337 Nova Santa Rita";8;8
"431349 Novo Barreiro";3;3
"431340 Novo Hamburgo";113;113
"431344 Novo Tiradentes";1;1
"431350 Osório";22;22
"431365 Palmares do Sul";2;2
"431370 Palmeira das Missões";3;3
"431390 Panambi";2;2
"431395 Pantano Grande";2;2
"431400 Paraí";1;1
"431402 Paraíso do Sul";1;1
"431405 Parobé";12;12
"431410 Passo Fundo";43;43
"431415 Paverama";1;1
"431420 Pedro Osório";1;1
"431440 Pelotas";161;161
"431447 Pinhal Grande";1;1
"431449 Pinheirinho do Vale";1;1
"431470 Planalto";1;1
"431480 Portão";2;2
"431490 Porto Alegre";854;854
"431530 Quaraí";2;2
"431550 Restinga Seca";2;2
"431560 Rio Grande";129;129
"431570 Rio Pardo";8;8
"431595 Rolador";1;1
