 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2020
Ano Notificação: 2020
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2020
"Município (Res)";"Masculino";"Feminino";"Total"
"430005 Água Santa";1;0;1
"430010 Agudo";0;2;2
"430020 Ajuricaba";0;1;1
"430040 Alegrete";8;3;11
"430045 Alegria";1;0;1
"430057 Alto Feliz";1;0;1
"430060 Alvorada";35;27;62
"430063 Amaral Ferrador";1;0;1
"430087 Araricá";1;0;1
"430100 Arroio do Meio";1;1;2
"430105 Arroio do Sal";1;0;1
"430120 Arroio do Tigre";1;0;1
"430130 Arroio Grande";2;0;2
"430150 Augusto Pestana";1;0;1
"430160 Bagé";10;8;18
"430190 Barra do Ribeiro";1;1;2
"430200 Barros Cassal";1;0;1
"430210 Bento Gonçalves";16;10;26
"430237 Bom Progresso";1;1;2
"430280 Caçapava do Sul";1;2;3
"430300 Cachoeira do Sul";7;0;7
"430310 Cachoeirinha";15;6;21
"430340 Caiçara";1;0;1
"430350 Camaquã";15;3;18
"430380 Campinas do Sul";0;1;1
"430390 Campo Bom";8;3;11
"430435 Candiota";0;2;2
"430440 Canela";13;4;17
"430460 Canoas";71;51;122
"430463 Capão da Canoa";9;5;14
"430466 Capão do Leão";4;2;6
"430468 Capela de Santana";2;2;4
"430467 Capivari do Sul";1;0;1
"430471 Caraá";1;0;1
"430470 Carazinho";7;6;13
"430500 Catuípe";1;0;1
"430510 Caxias do Sul";56;18;74
"430512 Cerrito";1;0;1
"430535 Charqueadas";9;6;15
"430543 Chuí";0;1;1
"430545 Cidreira";0;1;1
"430590 Coronel Bicaco";1;0;1
"430610 Cruz Alta";10;14;24
"430613 Cruzaltense";1;0;1
"430640 Dois Irmãos";1;0;1
"430660 Dom Pedrito";1;6;7
"430676 Eldorado do Sul";5;1;6
"430680 Encantado";0;1;1
"430690 Encruzilhada do Sul";3;0;3
"430700 Erechim";11;4;15
"430750 Espumoso";1;1;2
"430755 Estação";0;1;1
"430760 Estância Velha";4;4;8
"430770 Esteio";16;3;19
"430780 Estrela";3;3;6
"430786 Fagundes Varela";1;0;1
"430790 Farroupilha";6;5;11
"430805 Faxinalzinho";0;1;1
"430820 Flores da Cunha";0;1;1
"430830 Fontoura Xavier";1;0;1
"430850 Frederico Westphalen";4;3;7
"430860 Garibaldi";3;0;3
"430900 Giruá";0;2;2
"430910 Gramado";0;1;1
"430920 Gravataí";38;24;62
"430930 Guaíba";12;6;18
"430940 Guaporé";0;1;1
"430710 Herval";2;0;2
"430960 Horizontina";0;2;2
"431010 Igrejinha";2;3;5
"431020 Ijuí";19;14;33
"431033 Imbé";0;1;1
"431040 Independência";1;0;1
"431053 Itaara";1;0;1
"431060 Itaqui";3;1;4
"431100 Jaguarão";1;1;2
"431120 Júlio de Castilhos";1;0;1
"431130 Lagoa Vermelha";4;1;5
"431140 Lajeado";22;14;36
"431160 Liberato Salzano";1;0;1
"431171 Maçambara";0;1;1
"431180 Marau";3;1;4
"431190 Marcelino Ramos";1;0;1
"431240 Montenegro";15;9;24
"431245 Morro Redondo";0;1;1
"431250 Mostardas";1;0;1
"431270 Nonoai";1;0;1
"431320 Nova Petrópolis";1;0;1
"431337 Nova Santa Rita";2;2;4
"431340 Novo Hamburgo";47;27;74
"431342 Novo Machado";1;0;1
"431350 Osório";10;2;12
"431370 Palmeira das Missões";7;5;12
"431390 Panambi";1;1;2
"431395 Pantano Grande";1;0;1
"431400 Paraí";0;1;1
"431405 Parobé";2;3;5
"431410 Passo Fundo";25;18;43
"431430 Pejuçara";1;0;1
"431440 Pelotas";56;22;78
"431460 Piratini";1;2;3
"431480 Portão";2;0;2
"431490 Porto Alegre";394;258;652
"431510 Porto Xavier";2;0;2
"431530 Quaraí";1;1;2
"431550 Restinga Seca";1;1;2
"431560 Rio Grande";53;36;89
"431570 Rio Pardo";6;1;7
"431580 Roca Sales";1;0;1
"431590 Rodeio Bonito";1;2;3
"431640 Rosário do Sul";9;1;10
"431645 Salto do Jacuí";0;1;1
"431680 Santa Cruz do Sul";32;11;43
"431690 Santa Maria";58;27;85
"431720 Santa Rosa";7;3;10
"431730 Santa Vitória do Palmar";10;4;14
"431700 Santana da Boa Vista";1;0;1
"431710 Santana do Livramento";11;3;14
"431740 Santiago";5;4;9
"431750 Santo Ângelo";10;6;16
"431760 Santo Antônio da Patrulha";1;3;4
"431770 Santo Antônio das Missões";1;1;2
"431800 São Borja";5;6;11
"431810 São Francisco de Assis";0;1;1
"431820 São Francisco de Paula";0;1;1
"431830 São Gabriel";10;5;15
"431840 São Jerônimo";5;4;9
"431850 São José do Norte";3;0;3
"431860 São José do Ouro";1;0;1
"431870 São Leopoldo";35;27;62
"431880 São Lourenço do Sul";2;1;3
"431890 São Luiz Gonzaga";7;3;10
"431950 São Sebastião do Caí";3;1;4
"431960 São Sepé";1;0;1
"431990 Sapiranga";10;5;15
"432000 Sapucaia do Sul";23;15;38
"432055 Sertão Santana";2;0;2
"432080 Soledade";6;4;10
"432100 Tapera";1;0;1
"432110 Tapes";3;1;4
"432120 Taquara";12;5;17
"432130 Taquari";2;1;3
"432132 Taquaruçu do Sul";1;0;1
"432135 Tavares";1;1;2
"432140 Tenente Portela";1;1;2
"432145 Teutônia";2;1;3
"432150 Torres";10;6;16
"432160 Tramandaí";23;10;33
"432166 Três Cachoeiras";1;0;1
"432180 Três de Maio";0;1;1
"432190 Três Passos";1;1;2
"432200 Triunfo";1;2;3
"432220 Tupanciretã";0;2;2
"432225 Tupandi";1;0;1
"432240 Uruguaiana";30;9;39
"432250 Vacaria";12;8;20
"432254 Vale Real";1;0;1
"432260 Venâncio Aires";10;2;12
"432270 Vera Cruz";2;1;3
"432280 Veranópolis";1;0;1
"432300 Viamão";44;35;79
"432380 Xangri-lá";4;3;7
"Total";1543;907;2450
