 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2021
Ano Notificação: 2021
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2021
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"430010 Agudo";0;0;0;1;0;0;0;0;0;1
"430020 Ajuricaba";1;0;0;0;0;0;0;0;0;1
"430030 Alecrim";0;0;0;0;1;0;0;0;0;1
"430040 Alegrete";0;2;1;0;2;0;0;0;0;5
"430050 Alpestre";0;1;0;0;0;0;0;0;0;1
"430060 Alvorada";1;6;4;10;9;2;8;2;2;44
"430080 Antônio Prado";0;0;0;0;0;0;0;0;1;1
"430100 Arroio do Meio";0;0;0;1;0;0;1;0;0;2
"430105 Arroio do Sal";0;0;0;0;0;0;1;0;0;1
"430150 Augusto Pestana";0;1;0;0;0;0;0;0;0;1
"430160 Bagé";0;0;3;8;1;6;4;0;6;28
"430185 Barra do Guarita";0;0;0;0;0;0;0;0;1;1
"430210 Bento Gonçalves";0;1;2;9;3;5;2;2;1;25
"430245 Boqueirão do Leão";0;2;0;0;0;0;0;0;0;2
"430270 Butiá";0;0;0;1;0;0;0;0;0;1
"430280 Caçapava do Sul";0;1;0;1;0;0;0;0;0;2
"430290 Cacequi";0;1;0;0;0;0;0;0;1;2
"430300 Cachoeira do Sul";0;2;1;5;4;3;3;0;0;18
"430310 Cachoeirinha";0;1;2;7;3;1;7;0;0;21
"430350 Camaquã";0;0;0;1;1;0;1;0;0;3
"430390 Campo Bom";0;1;0;0;0;1;1;0;1;4
"430420 Candelária";0;0;0;1;0;0;0;0;0;1
"430440 Canela";0;2;0;3;4;3;7;1;2;22
"430450 Canguçu";0;0;0;1;0;0;0;0;0;1
"430460 Canoas";3;6;6;33;16;10;18;2;2;96
"430463 Capão da Canoa";0;0;1;2;3;1;1;0;1;9
"430466 Capão do Leão";0;0;0;1;0;0;0;0;0;1
"430467 Capivari do Sul";0;0;2;0;0;0;1;0;0;3
"430470 Carazinho";0;0;0;1;0;1;1;0;2;5
"430500 Catuípe";0;0;0;0;0;1;0;0;0;1
"430510 Caxias do Sul";1;3;1;15;8;8;14;6;7;63
"430520 Cerro Largo";0;0;0;0;0;0;1;0;0;1
"430535 Charqueadas";0;1;0;1;1;2;0;0;0;5
"430545 Cidreira";0;0;0;1;0;1;0;0;0;2
"430610 Cruz Alta";0;0;1;6;3;1;13;0;1;25
"430640 Dois Irmãos";0;0;0;0;0;0;1;0;0;1
"430650 Dom Feliciano";0;0;0;1;0;0;0;0;0;1
"430660 Dom Pedrito";0;0;0;1;2;1;1;0;1;6
"430676 Eldorado do Sul";0;1;0;0;2;0;1;0;0;4
"430680 Encantado";0;0;0;0;0;0;1;0;0;1
"430700 Erechim";0;4;0;0;1;1;3;0;1;10
"430740 Esmeralda";0;0;0;1;0;0;0;0;0;1
"430750 Espumoso";0;0;0;0;0;0;1;0;0;1
"430760 Estância Velha";0;1;0;1;0;0;1;0;0;3
"430770 Esteio";0;1;1;3;2;3;2;0;3;15
"430780 Estrela";0;2;0;1;1;1;0;0;1;6
"430790 Farroupilha";1;2;2;2;0;1;3;0;1;12
"430820 Flores da Cunha";0;0;0;0;0;0;0;0;1;1
"430850 Frederico Westphalen";0;0;0;1;3;2;0;0;0;6
"430860 Garibaldi";0;0;0;0;0;0;1;0;0;1
"430900 Giruá";0;0;1;0;0;0;0;0;0;1
"430910 Gramado";0;0;0;1;0;0;1;1;1;4
"430920 Gravataí";0;1;1;7;5;6;8;1;3;32
"430930 Guaíba";0;2;2;0;1;3;7;0;0;15
"430940 Guaporé";0;0;0;1;0;0;0;0;0;1
"430960 Horizontina";0;1;0;0;0;0;0;0;0;1
"430980 Ibiaçá";0;0;0;1;0;0;0;0;0;1
"430990 Ibiraiaras";0;1;0;0;0;0;0;0;0;1
"431000 Ibirubá";0;0;0;0;1;0;0;0;0;1
"431010 Igrejinha";0;0;0;1;0;1;0;0;0;2
"431020 Ijuí";0;1;2;2;1;2;4;0;3;15
"431033 Imbé";0;0;0;0;1;0;0;0;1;2
"431040 Independência";0;0;0;0;0;1;0;0;0;1
"431060 Itaqui";0;1;1;4;0;1;0;0;0;7
"431100 Jaguarão";0;0;0;1;0;0;0;0;0;1
"431130 Lagoa Vermelha";0;1;0;0;2;0;4;0;1;8
"431140 Lajeado";0;2;3;11;7;7;9;4;6;49
"431180 Marau";0;0;1;1;1;3;0;0;0;6
"431205 Marques de Souza";0;0;0;1;0;0;1;0;0;2
"431240 Montenegro";0;2;2;5;3;2;1;0;0;15
"431270 Nonoai";0;0;0;0;0;1;0;0;0;1
"431306 Nova Hartz";0;0;0;0;0;1;0;0;0;1
"431335 Nova Roma do Sul";0;0;0;0;1;0;0;0;0;1
"431337 Nova Santa Rita";0;0;0;1;0;0;0;0;0;1
"431340 Novo Hamburgo";1;5;4;14;3;5;10;2;3;47
"431350 Osório";0;0;1;2;1;0;4;0;0;8
"431365 Palmares do Sul";0;0;0;1;1;1;0;0;0;3
"431370 Palmeira das Missões";1;0;0;1;0;0;2;0;1;5
"431380 Palmitinho";0;1;0;0;0;0;0;0;0;1
"431395 Pantano Grande";0;0;0;1;0;0;0;0;0;1
"431405 Parobé";0;0;0;0;3;2;0;0;0;5
"431410 Passo Fundo";2;7;2;6;1;5;10;5;3;41
"431420 Pedro Osório";0;0;0;0;0;0;1;0;0;1
"431440 Pelotas";2;3;1;15;6;3;14;5;4;53
"431450 Pinheiro Machado";0;0;0;0;0;0;1;0;1;2
"431480 Portão";0;1;0;1;2;0;1;0;0;5
"431490 Porto Alegre";5;27;33;118;68;56;89;15;39;450
"431510 Porto Xavier";0;0;0;0;1;0;0;0;0;1
"431535 Quinze de Novembro";0;0;0;0;1;0;0;0;0;1
"431555 Rio dos Índios";0;0;0;0;0;0;0;0;1;1
"431560 Rio Grande";1;6;9;19;7;9;11;6;5;73
"431570 Rio Pardo";0;4;1;3;0;4;0;0;1;13
"431620 Rondinha";0;0;0;0;0;0;1;0;0;1
"431640 Rosário do Sul";0;0;0;0;0;1;2;0;1;4
"431680 Santa Cruz do Sul";0;4;4;4;3;4;11;1;2;33
"431690 Santa Maria";0;8;5;22;11;7;19;2;7;81
"431720 Santa Rosa";0;2;0;1;1;0;3;0;1;8
"431730 Santa Vitória do Palmar";0;3;3;2;0;2;0;0;0;10
"431700 Santana da Boa Vista";0;1;0;0;0;0;0;0;0;1
"431710 Santana do Livramento";0;0;0;3;0;2;5;0;0;10
"431740 Santiago";0;1;0;2;0;1;0;0;2;6
"431750 Santo Ângelo";0;0;1;1;2;0;2;0;0;6
"431760 Santo Antônio da Patrulha";0;0;1;2;1;0;0;0;0;4
"431755 Santo Antônio do Palma";1;0;0;0;0;0;0;0;0;1
"431780 Santo Augusto";0;0;0;0;0;0;1;0;0;1
"431800 São Borja";0;1;0;1;2;4;2;0;0;10
"431830 São Gabriel";0;1;1;3;1;0;2;0;1;9
"431840 São Jerônimo";1;0;0;1;0;0;0;0;0;2
"431843 São João do Polêsine";0;0;0;0;0;0;0;0;1;1
"431850 São José do Norte";1;0;0;0;0;0;0;0;0;1
"431870 São Leopoldo";0;11;5;21;6;6;9;3;4;65
"431890 São Luiz Gonzaga";0;0;2;3;2;1;2;0;2;12
"431900 São Marcos";0;0;0;0;0;0;1;0;0;1
"431950 São Sebastião do Caí";0;1;0;1;0;0;1;0;0;3
"431960 São Sepé";0;0;0;1;0;0;0;0;0;1
"431990 Sapiranga";0;1;1;6;2;4;2;0;2;18
"432000 Sapucaia do Sul";1;2;1;1;2;15;1;0;1;24
"432020 Seberi";0;0;0;0;1;0;0;0;0;1
"432050 Sertão";0;0;1;0;0;0;0;0;0;1
"432080 Soledade";1;1;3;1;1;0;3;0;1;11
"432090 Tapejara";0;0;1;0;0;0;0;0;0;1
"432120 Taquara";2;2;0;5;2;3;2;1;3;20
"432145 Teutônia";0;0;0;0;0;1;1;0;0;2
"432150 Torres";0;0;0;4;1;2;1;0;1;9
"432160 Tramandaí";0;3;3;9;0;3;2;0;0;20
"432166 Três Cachoeiras";0;0;0;1;0;0;0;0;0;1
"432170 Três Coroas";0;1;0;0;0;0;0;0;0;1
"432180 Três de Maio";0;0;0;2;0;0;1;0;0;3
"432190 Três Passos";0;0;0;0;0;0;0;0;1;1
"432200 Triunfo";0;1;2;0;0;1;1;0;0;5
"432220 Tupanciretã";1;1;0;0;0;0;0;0;0;2
"432230 Tuparendi";0;0;0;1;0;0;0;0;0;1
"432240 Uruguaiana";0;1;1;4;2;2;3;2;4;19
"432250 Vacaria";0;3;0;8;0;0;1;0;2;14
"432253 Vale do Sol";0;0;0;0;0;0;2;0;0;2
"432255 Vanini";0;0;0;0;0;1;0;0;0;1
"432260 Venâncio Aires";0;0;0;4;1;0;0;0;0;5
"432270 Vera Cruz";0;0;1;2;2;0;0;1;0;6
"432300 Viamão";0;4;5;9;9;6;11;0;0;44
"432320 Victor Graeff";0;0;0;0;0;0;0;0;1;1
"432340 Vila Maria";0;0;0;1;0;0;0;0;0;1
"Total";27;161;132;464;239;234;369;62;146;1834
