 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2021
Ano Notificação: 2021
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2021
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"430003 Aceguá";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430010 Agudo";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"430020 Ajuricaba";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430030 Alecrim";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"430040 Alegrete";0;0;0;0;0;1;2;2;0;1;0;0;0;6
"430045 Alegria";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"430050 Alpestre";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"430060 Alvorada";0;0;0;0;2;13;13;22;12;6;2;0;0;70
"430080 Antônio Prado";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430100 Arroio do Meio";0;0;0;0;1;0;0;1;0;0;0;0;0;2
"430105 Arroio do Sal";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430150 Augusto Pestana";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430160 Bagé";0;0;0;0;0;8;9;8;6;0;0;0;0;31
"430185 Barra do Guarita";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430190 Barra do Ribeiro";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"430210 Bento Gonçalves";0;0;0;0;1;6;7;13;4;5;0;0;0;36
"430245 Boqueirão do Leão";0;0;0;0;0;0;0;2;0;0;0;0;0;2
"430260 Braga";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430270 Butiá";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"430280 Caçapava do Sul";0;0;0;0;0;0;1;1;1;1;1;0;0;5
"430290 Cacequi";0;0;0;0;0;0;0;0;2;0;0;0;0;2
"430300 Cachoeira do Sul";0;0;0;0;0;8;2;7;6;1;0;1;0;25
"430310 Cachoeirinha";0;0;0;0;0;5;8;6;5;1;2;0;0;27
"430350 Camaquã";0;0;0;0;0;2;2;2;0;2;1;0;0;9
"430390 Campo Bom";0;0;0;0;0;2;2;1;1;2;0;0;0;8
"430420 Candelária";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430440 Canela";0;0;0;0;0;6;8;5;2;1;0;0;0;22
"430450 Canguçu";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430460 Canoas";0;1;0;0;2;27;49;31;25;17;0;0;0;152
"430463 Capão da Canoa";0;0;0;0;0;1;5;5;3;1;1;0;0;16
"430466 Capão do Leão";0;0;0;0;0;0;1;0;1;0;0;0;0;2
"430467 Capivari do Sul";0;0;0;0;0;0;1;0;2;2;0;0;0;5
"430470 Carazinho";0;0;0;0;0;2;6;5;1;1;0;0;1;16
"430500 Catuípe";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"430510 Caxias do Sul";1;0;0;0;1;15;19;15;13;3;1;0;0;68
"430520 Cerro Largo";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430535 Charqueadas";0;0;0;1;1;2;5;3;1;1;0;0;0;14
"430543 Chuí";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430545 Cidreira";0;0;0;0;0;3;0;0;1;0;0;0;0;4
"430570 Condor";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"430590 Coronel Bicaco";1;0;0;0;0;0;0;0;0;0;0;0;0;1
"430605 Cristal";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"430610 Cruz Alta";0;0;0;0;0;4;10;4;5;2;0;0;0;25
"430640 Dois Irmãos";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430645 Dois Lajeados";0;0;0;0;0;0;0;0;0;0;0;1;0;1
"430650 Dom Feliciano";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430660 Dom Pedrito";0;0;0;0;0;1;3;0;1;2;0;0;0;7
"430676 Eldorado do Sul";0;0;0;0;0;1;4;2;2;1;0;0;0;10
"430680 Encantado";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"430690 Encruzilhada do Sul";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430693 Entre-Ijuís";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"430700 Erechim";0;0;0;0;0;4;4;3;1;1;0;0;0;13
"430740 Esmeralda";0;0;0;0;1;0;0;0;0;0;0;0;0;1
"430750 Espumoso";0;0;0;0;0;0;1;0;0;0;0;0;0;1
