 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Rio Grande do Sul
Região Res.: Região Sul
UF Notificação: Rio Grande do Sul
Região Not.: Região Sul
Período:2025
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"430040 Alegrete";4;4;0;8
"430050 Alpestre";1;0;0;1
"430060 Alvorada";24;17;0;41
"430110 Arroio dos Ratos";1;0;0;1
"430130 Arroio Grande";1;0;0;1
"430160 Bagé";10;5;0;15
"430210 Bento Gonçalves";8;9;0;17
"430223 Boa Vista do Incra";0;1;0;1
"430280 Caçapava do Sul";1;1;0;2
"430290 Cacequi";1;1;0;2
"430300 Cachoeira do Sul";7;5;0;12
"430310 Cachoeirinha";20;13;0;33
"430350 Camaquã";6;6;0;12
"430370 Campina das Missões";0;1;0;1
"430390 Campo Bom";0;6;0;6
"430420 Candelária";0;1;0;1
"430430 Cândido Godói";1;0;0;1
"430435 Candiota";1;0;0;1
"430440 Canela";9;8;0;17
"430450 Canguçu";2;0;0;2
"430460 Canoas";76;29;0;105
"430463 Capão da Canoa";8;6;0;14
"430466 Capão do Leão";1;0;0;1
"430470 Carazinho";10;3;0;13
"430490 Casca";1;0;0;1
"430500 Catuípe";0;1;0;1
"430510 Caxias do Sul";51;17;0;68
"430535 Charqueadas";20;12;0;32
"430558 Colinas";1;0;0;1
"430587 Coronel Barros";1;0;0;1
"430610 Cruz Alta";11;11;0;22
"430635 Dezesseis de Novembro";1;0;0;1
"430637 Dilermando de Aguiar";1;0;0;1
"430640 Dois Irmãos";2;0;0;2
"430660 Dom Pedrito";5;1;0;6
"430676 Eldorado do Sul";2;3;0;5
"430680 Encantado";1;0;0;1
"430690 Encruzilhada do Sul";0;1;0;1
"430700 Erechim";5;6;0;11
"430760 Estância Velha";4;2;0;6
"430770 Esteio";7;8;0;15
"430780 Estrela";7;2;0;9
"430790 Farroupilha";16;8;0;24
"430850 Frederico Westphalen";7;6;0;13
"430860 Garibaldi";0;1;0;1
"430910 Gramado";1;2;0;3
"430920 Gravataí";24;18;0;42
"430930 Guaíba";10;11;0;21
"430940 Guaporé";0;1;0;1
"430957 Herveiras";0;1;0;1
"430990 Ibiraiaras";0;1;0;1
"431010 Igrejinha";2;2;0;4
"431020 Ijuí";9;3;0;12
"431033 Imbé";0;1;0;1
"431040 Independência";1;0;0;1
"431046 Ipiranga do Sul";1;0;0;1
"431053 Itaara";0;1;0;1
"431100 Jaguarão";2;0;0;2
"431110 Jaguari";1;0;0;1
"431120 Júlio de Castilhos";0;1;0;1
"431130 Lagoa Vermelha";2;3;0;5
"431140 Lajeado";17;10;0;27
"431162 Lindolfo Collor";2;0;0;2
"431180 Marau";1;0;0;1
"431240 Montenegro";8;6;0;14
"431245 Morro Redondo";0;1;0;1
"431265 Não-Me-Toque";1;0;0;1
"431306 Nova Hartz";2;1;0;3
"431335 Nova Roma do Sul";1;0;0;1
"431337 Nova Santa Rita";1;1;0;2
"431349 Novo Barreiro";1;0;0;1
"431340 Novo Hamburgo";32;19;0;51
"431350 Osório";10;1;0;11
"431370 Palmeira das Missões";7;5;0;12
"431390 Panambi";1;1;0;2
"431402 Paraíso do Sul";0;1;0;1
"431405 Parobé";1;5;0;6
"431406 Passa Sete";1;0;0;1
"431410 Passo Fundo";28;14;1;43
"431440 Pelotas";43;18;0;61
"431480 Portão";6;4;0;10
"431490 Porto Alegre";313;197;1;511
"431500 Porto Lucena";1;0;0;1
"431530 Quaraí";1;0;0;1
"431531 Quatro Irmãos";1;0;0;1
"431560 Rio Grande";28;28;0;56
"431570 Rio Pardo";3;2;0;5
"431610 Ronda Alta";1;0;0;1
"431670 Santa Bárbara do Sul";1;0;0;1
"431680 Santa Cruz do Sul";14;4;0;18
"431690 Santa Maria";29;21;0;50
"431720 Santa Rosa";6;4;0;10
"431730 Santa Vitória do Palmar";4;3;0;7
"431710 Santana do Livramento";8;3;0;11
"431740 Santiago";2;5;0;7
"431750 Santo Ângelo";12;5;0;17
"431760 Santo Antônio da Patrulha";3;3;0;6
"431800 São Borja";6;1;0;7
"431830 São Gabriel";1;3;0;4
"431840 São Jerônimo";2;0;0;2
"431844 São Jorge";1;0;0;1
"431861 São José do Sul";0;1;0;1
"431862 São José dos Ausentes";1;0;0;1
"431870 São Leopoldo";17;27;0;44
"431890 São Luiz Gonzaga";4;2;0;6
"431915 São Miguel das Missões";1;0;0;1
"431935 São Pedro da Serra";0;1;0;1
"431950 São Sebastião do Caí";3;1;0;4
"431980 São Vicente do Sul";0;1;0;1
"431990 Sapiranga";6;10;0;16
"432000 Sapucaia do Sul";13;9;0;22
"432010 Sarandi";1;0;0;1
"432070 Sobradinho";0;1;0;1
"432080 Soledade";2;2;0;4
"432110 Tapes";1;1;0;2
"432120 Taquara";7;2;0;9
"432145 Teutônia";1;2;0;3
"432150 Torres";8;4;0;12
"432160 Tramandaí";19;12;0;31
"432166 Três Cachoeiras";1;0;0;1
"432180 Três de Maio";3;1;0;4
"432190 Três Passos";0;1;0;1
"432200 Triunfo";4;1;0;5
"432240 Uruguaiana";12;6;0;18
"432250 Vacaria";6;3;0;9
"432260 Venâncio Aires";5;7;0;12
"432300 Viamão";32;23;0;55
"432380 Xangri-lá";5;1;0;6
"Total";1140;725;2;1867
