 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2018
Ano Notificação: 2018
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2018
"Município (Res)";"2018";"Total"
"420010 Abelardo Luz";1;1
"420020 Agrolândia";1;1
"420050 Águas de Chapecó";1;1
"420055 Águas Frias";2;2
"420130 Araquari";7;7
"420140 Araranguá";22;22
"420150 Armazém";1;1
"420195 Balneário Arroio do Silva";3;3
"420205 Balneário Barra do Sul";1;1
"420200 Balneário Camboriú";76;76
"420207 Balneário Gaivota";2;2
"420210 Barra Velha";10;10
"420230 Biguaçu";45;45
"420240 Blumenau";88;88
"420245 Bombinhas";6;6
"420270 Botuverá";1;1
"420287 Brunópolis";1;1
"420290 Brusque";44;44
"420300 Caçador";18;18
"420320 Camboriú";29;29
"420360 Campos Novos";5;5
"420380 Canoinhas";2;2
"420390 Capinzal";1;1
"420395 Capivari de Baixo";4;4
"420400 Catanduvas";1;1
"420420 Chapecó";43;43
"420425 Cocal do Sul";3;3
"420430 Concórdia";3;3
"420440 Coronel Freitas";1;1
"420455 Correia Pinto";1;1
"420460 Criciúma";60;60
"420470 Cunha Porã";1;1
"420480 Curitibanos";3;3
"420500 Dionísio Cerqueira";1;1
"420515 Doutor Pedrinho";2;2
"420517 Entre Rios";1;1
"420520 Erval Velho";1;1
"420530 Faxinal dos Guedes";1;1
"420540 Florianópolis";303;303
"420545 Forquilhinha";4;4
"420550 Fraiburgo";2;2
"420570 Garopaba";5;5
"420580 Garuva";1;1
"420590 Gaspar";16;16
"420610 Grão Pará";3;3
"420630 Guabiruba";5;5
"420640 Guaraciaba";1;1
"420650 Guaramirim";3;3
"420670 Herval d'Oeste";8;8
"420690 Ibirama";2;2
"420700 Içara";9;9
"420730 Imbituba";15;15
"420750 Indaial";16;16
"420768 Ipuaçu";2;2
"420770 Ipumirim";1;1
"420775 Iraceminha";2;2
"420790 Irineópolis";1;1
"420820 Itajaí";116;116
"420830 Itapema";21;21
"420845 Itapoá";2;2
"420890 Jaraguá do Sul";28;28
"420900 Joaçaba";19;19
"420910 Joinville";172;172
"420930 Lages";45;45
"420940 Laguna";14;14
"420960 Lauro Muller";4;4
"420970 Lebon Régis";2;2
"421010 Mafra";10;10
"421040 Maracajá";1;1
"421050 Maravilha";4;4
"421060 Massaranduba";1;1
"421120 Morro da Fumaça";1;1
"421130 Navegantes";26;26
"421150 Nova Trento";1;1
"421170 Orleans";5;5
"421175 Otacílio Costa";1;1
"421185 Ouro Verde";1;1
"421190 Palhoça";80;80
"421200 Palma Sola";1;1
"421230 Paulo Lopes";1;1
"421250 Penha";8;8
"421280 Piçarras";9;9
"421290 Pinhalzinho";3;3
"421320 Pomerode";6;6
"421340 Ponte Serrada";2;2
"421350 Porto Belo";4;4
"421360 Porto União";3;3
"421380 Praia Grande";1;1
"421480 Rio do Sul";29;29
"421500 Rio Negrinho";1;1
"421505 Rio Rufino";1;1
"421510 Rodeio";3;3
"421545 Sangão";2;2
"421550 Santa Cecília";2;2
"421570 Santo Amaro da Imperatriz";2;2
"421580 São Bento do Sul";12;12
"421605 São Cristovão do Sul";1;1
"421620 São Francisco do Sul";20;20
"421630 São João Batista";6;6
"421625 São João do Oeste";2;2
"421650 São Joaquim";2;2
"421660 São José";115;115
"421680 São José do Cerrito";1;1
"421700 São Ludgero";1;1
"421720 São Miguel do Oeste";6;6
"421725 São Pedro de Alcântara";1;1
"421750 Seara";1;1
"421760 Siderópolis";3;3
"421770 Sombrio";7;7
"421800 Tijucas";19;19
"421820 Timbó";16;16
"421825 Timbó Grande";1;1
"421830 Três Barras";2;2
"421860 Trombudo Central";2;2
"421870 Tubarão";43;43
"421885 União do Oeste";1;1
"421890 Urubici";1;1
"421895 Urupema";1;1
"421900 Urussanga";1;1
"421930 Videira";8;8
"421950 Xanxerê";29;29
"421970 Xaxim";5;5
"421985 Zortéa";1;1
"Total";1832;1832
