 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2019
Ano Notificação: 2019
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2019
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"420010 Abelardo Luz";0;0;0;0;0;0;0;1;0;0;0;0;1
"420020 Agrolândia";0;0;0;0;0;0;0;0;0;0;1;0;1
"420030 Agronômica";0;0;0;0;0;0;0;0;1;0;0;0;1
"420055 Águas Frias";0;0;0;0;0;0;1;0;0;0;0;0;1
"420090 Angelina";0;0;0;0;0;0;0;0;1;0;0;0;1
"420130 Araquari";0;0;0;0;0;2;0;0;0;1;0;0;3
"420140 Araranguá";0;0;0;0;0;2;11;9;9;7;0;0;38
"420170 Ascurra";0;0;0;0;0;1;0;0;0;0;0;0;1
"420195 Balneário Arroio do Silva";0;0;0;0;0;3;1;2;0;0;0;1;7
"420205 Balneário Barra do Sul";0;0;0;0;0;0;1;0;0;0;0;0;1
"420200 Balneário Camboriú";1;0;0;0;1;25;21;18;13;6;2;1;88
"420207 Balneário Gaivota";0;0;0;0;0;0;1;0;0;0;1;0;2
"420210 Barra Velha";0;0;0;0;0;3;3;4;3;2;0;0;15
"420213 Bela Vista do Toldo";0;0;0;0;0;0;0;0;1;0;0;0;1
"420220 Benedito Novo";0;0;0;0;0;0;0;0;0;1;0;0;1
"420230 Biguaçu";0;0;0;0;1;4;8;5;7;2;0;0;27
"420240 Blumenau";0;1;0;0;2;23;33;19;16;3;1;0;98
"420257 Bom Jesus do Oeste";0;0;0;0;0;1;0;0;0;0;0;0;1
"420245 Bombinhas";0;0;0;0;0;2;2;0;0;0;0;0;4
"420280 Braço do Norte";0;0;0;0;0;1;4;4;0;0;0;0;9
"420285 Braço do Trombudo";0;0;0;0;0;0;0;1;0;0;0;0;1
"420290 Brusque";0;0;0;1;2;18;17;6;5;1;0;0;50
"420300 Caçador";0;0;0;0;0;1;4;4;1;1;0;0;11
"420320 Camboriú";0;0;0;0;0;8;11;3;5;3;1;0;31
"420350 Campo Erê";0;0;0;0;0;0;0;1;0;0;0;0;1
"420360 Campos Novos";0;1;0;0;0;1;5;2;4;0;0;0;13
"420370 Canelinha";0;0;0;0;0;1;0;0;0;0;0;0;1
"420380 Canoinhas";0;0;0;0;0;3;1;1;1;2;0;0;8
"420390 Capinzal";0;0;0;0;0;3;6;1;0;0;0;0;10
"420395 Capivari de Baixo";0;0;0;0;0;1;2;0;1;0;0;0;4
"420400 Catanduvas";0;0;0;0;0;0;1;0;0;0;0;0;1
"420420 Chapecó";0;0;0;0;2;11;10;15;8;2;1;0;49
"420425 Cocal do Sul";0;0;0;0;0;0;2;0;0;1;0;0;3
"420430 Concórdia";0;0;0;0;0;0;7;2;1;1;0;0;11
"420440 Coronel Freitas";0;0;0;0;0;0;0;0;1;0;0;0;1
"420455 Correia Pinto";0;0;0;0;0;1;0;0;0;0;0;0;1
"420450 Corupá";0;0;0;0;0;0;0;1;0;0;0;0;1
"420460 Criciúma";0;0;0;0;0;12;20;21;9;6;0;0;68
"420480 Curitibanos";0;0;0;0;0;0;1;1;1;0;0;0;3
"420517 Entre Rios";0;0;0;0;0;1;0;0;0;0;0;0;1
"420530 Faxinal dos Guedes";0;0;0;0;0;0;0;1;0;0;0;0;1
"420540 Florianópolis";1;2;2;1;4;92;78;57;26;10;2;0;275
"420545 Forquilhinha";0;0;0;0;0;0;1;2;2;1;0;0;6
"420550 Fraiburgo";0;0;0;0;0;0;2;0;1;0;0;0;3
"420570 Garopaba";0;0;0;0;0;0;1;4;2;0;0;0;7
"420590 Gaspar";0;0;0;0;0;4;6;5;3;2;0;0;20
"420600 Governador Celso Ramos";0;0;0;0;0;2;0;2;0;0;0;0;4
"420610 Grão Pará";0;0;0;0;0;0;0;2;0;0;0;0;2
"420620 Gravatal";0;0;0;0;0;0;1;0;0;0;0;0;1
"420630 Guabiruba";0;0;0;0;0;1;1;1;0;0;0;0;3
"420650 Guaramirim";0;0;0;0;0;1;0;0;1;0;0;0;2
"420670 Herval d'Oeste";0;0;0;0;0;2;0;0;0;0;1;0;3
"420700 Içara";0;1;0;0;1;5;3;1;2;1;0;0;14
"420710 Ilhota";0;0;0;0;0;0;1;0;0;0;0;0;1
"420720 Imaruí";0;0;0;0;0;0;0;0;1;0;0;0;1
"420730 Imbituba";0;0;0;0;0;0;6;0;3;3;0;0;12
"420740 Imbuia";0;0;0;0;1;0;0;0;1;0;0;0;2
"420750 Indaial";0;0;0;0;0;1;6;1;1;1;0;0;10
"420768 Ipuaçu";0;0;0;0;0;0;0;2;0;0;0;0;2
"420820 Itajaí";0;0;0;0;1;26;37;32;16;4;2;1;119
"420830 Itapema";0;0;0;0;2;1;4;8;3;0;0;0;18
"420845 Itapoá";0;0;0;0;0;0;0;1;0;0;0;0;1
"420850 Ituporanga";0;0;0;0;0;0;0;0;1;0;0;0;1
"420880 Jaguaruna";0;0;0;0;0;0;0;0;1;0;0;0;1
"420890 Jaraguá do Sul";0;0;0;0;0;8;6;8;5;1;1;0;29
"420900 Joaçaba";0;0;0;0;0;1;2;1;3;0;0;0;7
"420910 Joinville";0;0;1;0;1;34;51;33;37;12;0;2;171
"420930 Lages";0;0;0;0;0;11;14;10;10;4;0;0;49
"420940 Laguna";0;0;0;1;0;1;3;6;3;0;1;0;15
"420960 Lauro Muller";0;0;0;0;0;2;2;1;0;0;0;0;5
"421000 Luiz Alves";0;0;0;0;0;0;1;0;0;0;0;0;1
"421010 Mafra";0;0;0;0;0;1;3;1;1;0;0;0;6
"421040 Maracajá";0;0;0;0;0;0;0;1;0;0;0;0;1
"421050 Maravilha";0;0;0;0;0;0;2;0;0;0;0;0;2
"421060 Massaranduba";0;0;0;0;0;0;1;0;0;0;0;0;1
"421085 Mirim Doce";0;0;0;0;0;0;0;1;0;0;0;0;1
"421100 Mondaí";0;0;0;0;0;2;0;0;0;0;0;0;2
"421130 Navegantes";0;0;0;0;0;12;8;7;4;2;0;0;33
"421140 Nova Erechim";0;0;0;0;0;0;1;1;0;0;0;0;2
"421150 Nova Trento";0;0;0;0;0;0;0;1;1;0;0;0;2
"421160 Nova Veneza";0;0;0;0;0;0;1;0;0;0;0;0;1
"421170 Orleans";0;0;0;0;0;1;2;2;0;0;0;0;5
"421185 Ouro Verde";0;0;0;0;0;0;0;0;0;0;1;0;1
"421190 Palhoça";0;1;0;1;0;16;22;20;12;7;1;1;81
"421230 Paulo Lopes";0;0;0;0;0;0;1;0;0;0;0;0;1
"421250 Penha";0;0;0;0;0;0;0;2;0;1;0;0;3
"421280 Piçarras";0;0;0;0;0;0;5;2;1;0;0;0;8
"421290 Pinhalzinho";0;0;0;0;0;0;0;1;0;0;0;0;1
"421300 Pinheiro Preto";0;0;0;0;0;0;0;0;0;1;0;0;1
"421320 Pomerode";0;0;0;0;0;1;2;2;0;0;0;0;5
"421360 Porto União";0;0;0;0;0;1;0;0;0;1;0;0;2
"421370 Pouso Redondo";0;0;0;0;0;0;0;1;0;0;0;0;1
"421400 Presidente Getúlio";0;0;0;0;0;0;0;1;0;0;0;0;1
"421480 Rio do Sul";0;0;0;0;0;4;9;6;0;1;1;0;21
"421500 Rio Negrinho";0;0;0;0;0;2;0;0;0;0;0;0;2
"421510 Rodeio";0;0;0;0;0;1;0;1;0;0;0;0;2
"421530 Salete";0;0;0;0;0;0;0;1;0;0;0;0;1
"421545 Sangão";0;0;0;0;0;0;2;0;1;0;0;0;3
"421550 Santa Cecília";0;0;0;0;0;0;2;1;1;0;0;0;4
"421570 Santo Amaro da Imperatriz";0;0;0;0;0;0;0;1;0;0;0;0;1
"421580 São Bento do Sul";0;0;0;0;0;2;0;3;2;0;0;0;7
"421590 São Bonifácio";0;0;0;0;0;0;0;0;1;0;0;0;1
"421605 São Cristovão do Sul";0;0;0;0;0;2;0;1;0;0;0;0;3
"421620 São Francisco do Sul";0;1;0;0;1;1;1;1;8;1;0;0;14
"421630 São João Batista";0;0;0;0;0;0;1;0;0;0;0;0;1
"421640 São João do Sul";0;0;0;0;0;0;0;1;0;0;0;0;1
"421650 São Joaquim";0;0;0;0;0;0;0;1;1;1;0;0;3
"421660 São José";0;0;0;0;4;20;21;26;12;4;0;0;87
"421680 São José do Cerrito";0;0;0;0;0;0;1;0;0;0;0;0;1
