 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2019
Ano Notificação: 2019
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2019
"Município (Res)";"Masculino";"Feminino";"Total"
"420010 Abelardo Luz";1;0;1
"420020 Agrolândia";1;0;1
"420030 Agronômica";1;0;1
"420055 Águas Frias";1;0;1
"420090 Angelina";1;0;1
"420130 Araquari";2;1;3
"420140 Araranguá";20;18;38
"420170 Ascurra";1;0;1
"420195 Balneário Arroio do Silva";6;1;7
"420205 Balneário Barra do Sul";1;0;1
"420200 Balneário Camboriú";69;19;88
"420207 Balneário Gaivota";2;0;2
"420210 Barra Velha";10;5;15
"420213 Bela Vista do Toldo";1;0;1
"420220 Benedito Novo";1;0;1
"420230 Biguaçu";20;7;27
"420240 Blumenau";70;28;98
"420257 Bom Jesus do Oeste";0;1;1
"420245 Bombinhas";4;0;4
"420280 Braço do Norte";8;1;9
"420285 Braço do Trombudo";1;0;1
"420290 Brusque";39;11;50
"420300 Caçador";6;5;11
"420320 Camboriú";20;11;31
"420350 Campo Erê";0;1;1
"420360 Campos Novos";9;4;13
"420370 Canelinha";0;1;1
"420380 Canoinhas";8;0;8
"420390 Capinzal";6;4;10
"420395 Capivari de Baixo";4;0;4
"420400 Catanduvas";0;1;1
"420420 Chapecó";30;19;49
"420425 Cocal do Sul";2;1;3
"420430 Concórdia";5;6;11
"420440 Coronel Freitas";0;1;1
"420455 Correia Pinto";1;0;1
"420450 Corupá";1;0;1
"420460 Criciúma";48;20;68
"420480 Curitibanos";1;2;3
"420517 Entre Rios";1;0;1
"420530 Faxinal dos Guedes";1;0;1
"420540 Florianópolis";193;82;275
"420545 Forquilhinha";5;1;6
"420550 Fraiburgo";2;1;3
"420570 Garopaba";6;1;7
"420590 Gaspar";14;6;20
"420600 Governador Celso Ramos";4;0;4
"420610 Grão Pará";2;0;2
"420620 Gravatal";1;0;1
"420630 Guabiruba";3;0;3
"420650 Guaramirim";2;0;2
"420670 Herval d'Oeste";0;3;3
"420700 Içara";8;6;14
"420710 Ilhota";1;0;1
"420720 Imaruí";1;0;1
"420730 Imbituba";8;4;12
"420740 Imbuia";1;1;2
"420750 Indaial";5;5;10
"420768 Ipuaçu";2;0;2
"420820 Itajaí";74;45;119
"420830 Itapema";12;6;18
"420845 Itapoá";1;0;1
"420850 Ituporanga";1;0;1
"420880 Jaguaruna";1;0;1
"420890 Jaraguá do Sul";21;8;29
"420900 Joaçaba";3;4;7
"420910 Joinville";109;62;171
"420930 Lages";33;16;49
"420940 Laguna";9;6;15
"420960 Lauro Muller";4;1;5
"421000 Luiz Alves";1;0;1
"421010 Mafra";5;1;6
"421040 Maracajá";1;0;1
"421050 Maravilha";1;1;2
"421060 Massaranduba";1;0;1
"421085 Mirim Doce";1;0;1
"421100 Mondaí";1;1;2
"421130 Navegantes";24;9;33
"421140 Nova Erechim";2;0;2
"421150 Nova Trento";1;1;2
"421160 Nova Veneza";1;0;1
"421170 Orleans";5;0;5
"421185 Ouro Verde";0;1;1
"421190 Palhoça";59;22;81
"421230 Paulo Lopes";1;0;1
"421250 Penha";2;1;3
"421280 Piçarras";6;2;8
"421290 Pinhalzinho";0;1;1
"421300 Pinheiro Preto";1;0;1
"421320 Pomerode";3;2;5
"421360 Porto União";2;0;2
"421370 Pouso Redondo";1;0;1
"421400 Presidente Getúlio";0;1;1
"421480 Rio do Sul";12;9;21
"421500 Rio Negrinho";2;0;2
"421510 Rodeio";2;0;2
"421530 Salete";1;0;1
"421545 Sangão";3;0;3
"421550 Santa Cecília";1;3;4
"421570 Santo Amaro da Imperatriz";1;0;1
"421580 São Bento do Sul";5;2;7
"421590 São Bonifácio";0;1;1
"421605 São Cristovão do Sul";3;0;3
"421620 São Francisco do Sul";6;8;14
"421630 São João Batista";1;0;1
"421640 São João do Sul";1;0;1
"421650 São Joaquim";2;1;3
"421660 São José";62;25;87
"421680 São José do Cerrito";1;0;1
"421700 São Ludgero";2;0;2
"421720 São Miguel do Oeste";6;3;9
"421725 São Pedro de Alcântara";2;0;2
"421770 Sombrio";2;2;4
"421780 Taió";1;0;1
"421800 Tijucas";10;6;16
"421820 Timbó";2;1;3
"421835 Treviso";1;1;2
"421870 Tubarão";21;17;38
"421885 União do Oeste";1;0;1
"421890 Urubici";1;1;2
"421895 Urupema";1;0;1
"421900 Urussanga";4;0;4
"421930 Videira";5;3;8
"421935 Vitor Meireles";1;1;2
"421950 Xanxerê";8;3;11
"421970 Xaxim";0;2;2
"Total";1219;558;1777
