 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2025
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"420130 Araquari";0;0;0;0;0;0;1;0;0;0;0;1
"420140 Araranguá";0;0;0;0;1;2;2;4;0;0;0;9
"420195 Balneário Arroio do Silva";0;0;0;0;0;1;1;2;0;0;0;4
"420200 Balneário Camboriú";0;0;0;0;18;25;15;6;4;0;0;68
"420207 Balneário Gaivota";0;0;0;0;0;0;1;0;0;0;0;1
"420210 Barra Velha";0;0;0;0;2;1;1;2;0;0;0;6
"420230 Biguaçu";0;0;0;3;7;2;4;2;1;0;0;19
"420240 Blumenau";0;0;0;0;25;19;13;11;7;3;0;78
"420245 Bombinhas";0;0;0;0;1;3;4;0;0;1;0;9
"420280 Braço do Norte";0;0;0;0;2;1;0;1;0;0;0;4
"420290 Brusque";0;0;0;0;7;11;6;2;2;0;0;28
"420300 Caçador";0;0;0;0;2;2;1;2;2;0;0;9
"420320 Camboriú";0;0;0;0;1;7;8;7;3;0;0;26
"420340 Campo Belo do Sul";0;0;0;0;0;0;0;0;1;0;0;1
"420360 Campos Novos";0;0;0;0;2;1;0;0;0;1;0;4
"420380 Canoinhas";0;0;0;0;2;0;0;1;0;0;0;3
"420390 Capinzal";0;0;0;0;3;1;0;0;0;0;0;4
"420395 Capivari de Baixo";0;1;0;0;0;0;0;1;2;0;0;4
"420420 Chapecó";0;1;0;2;15;9;4;5;3;1;0;40
"420430 Concórdia";0;0;0;0;7;3;9;2;1;0;0;22
"420460 Criciúma";0;0;0;0;11;17;5;10;9;0;0;52
"420480 Curitibanos";0;0;1;0;0;5;3;3;1;0;0;13
"420540 Florianópolis";1;0;1;2;44;35;37;24;5;1;0;150
"420545 Forquilhinha";0;0;0;0;0;1;2;1;0;0;0;4
"420550 Fraiburgo";0;0;0;0;2;0;2;1;0;0;0;5
"420570 Garopaba";0;0;0;0;1;0;1;1;0;0;1;4
"420580 Garuva";0;0;0;0;1;0;0;0;0;0;0;1
"420590 Gaspar";0;0;0;0;2;0;2;1;0;0;0;5
"420600 Governador Celso Ramos";0;0;0;0;0;2;0;0;0;0;0;2
"420630 Guabiruba";0;0;0;0;0;0;0;1;0;0;0;1
