 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
Ano Notificação: 2025
UF Residência: Santa Catarina
Região Res.: Região Sul
UF Notificação: Santa Catarina
Região Not.: Região Sul
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"420130 Araquari";1;0;0;0;0;1
"420140 Araranguá";7;0;0;2;0;9
"420195 Balneário Arroio do Silva";4;0;0;0;0;4
"420200 Balneário Camboriú";57;2;0;9;0;68
"420207 Balneário Gaivota";1;0;0;0;0;1
"420210 Barra Velha";6;0;0;0;0;6
"420230 Biguaçu";12;2;0;5;0;19
"420240 Blumenau";64;2;2;10;0;78
"420245 Bombinhas";7;0;0;2;0;9
"420280 Braço do Norte";2;0;0;2;0;4
"420290 Brusque";23;1;0;4;0;28
"420300 Caçador";7;0;0;2;0;9
"420320 Camboriú";20;1;0;5;0;26
"420340 Campo Belo do Sul";1;0;0;0;0;1
"420360 Campos Novos";2;1;0;1;0;4
"420380 Canoinhas";2;0;0;0;1;3
"420390 Capinzal";3;0;0;1;0;4
"420395 Capivari de Baixo";4;0;0;0;0;4
"420420 Chapecó";21;1;1;17;0;40
"420430 Concórdia";17;0;0;4;1;22
"420460 Criciúma";43;6;1;2;0;52
"420480 Curitibanos";13;0;0;0;0;13
"420540 Florianópolis";109;16;4;21;0;150
"420545 Forquilhinha";3;0;0;1;0;4
"420550 Fraiburgo";5;0;0;0;0;5
"420570 Garopaba";4;0;0;0;0;4
"420580 Garuva";0;0;0;1;0;1
"420590 Gaspar";3;1;0;1;0;5
"420600 Governador Celso Ramos";1;1;0;0;0;2
"420630 Guabiruba";1;0;0;0;0;1
"420650 Guaramirim";1;0;0;1;0;2
"420670 Herval d'Oeste";3;1;0;2;0;6
"420680 Ibicaré";1;0;0;0;0;1
"420690 Ibirama";1;0;0;0;0;1
"420700 Içara";5;1;0;1;0;7
"420730 Imbituba";12;0;0;0;0;12
"420750 Indaial";4;0;0;2;0;6
"420820 Itajaí";58;6;0;13;0;77
"420830 Itapema";10;1;0;5;0;16
"420880 Jaguaruna";3;0;0;0;0;3
"420890 Jaraguá do Sul";21;0;0;1;0;22
"420900 Joaçaba";4;0;1;0;0;5
"420910 Joinville";95;11;1;27;0;134
"420930 Lages";43;2;1;7;0;53
"420940 Laguna";7;1;0;1;0;9
"420960 Lauro Muller";1;0;0;0;0;1
"420980 Leoberto Leal";1;0;0;0;0;1
"421010 Mafra";10;0;0;0;0;10
"421030 Major Vieira";1;0;0;1;0;2
"421040 Maracajá";1;1;0;0;0;2
"421050 Maravilha";1;0;0;0;0;1
"421100 Mondaí";1;0;0;0;0;1
"421120 Morro da Fumaça";1;0;0;0;0;1
"421130 Navegantes";14;1;0;7;0;22
"421150 Nova Trento";0;0;0;1;0;1
"421170 Orleans";2;0;0;0;0;2
"421175 Otacílio Costa";1;0;0;0;0;1
"421180 Ouro";1;0;0;0;0;1
"421190 Palhoça";33;5;0;4;0;42
"421210 Palmitos";1;0;0;0;0;1
"421220 Papanduva";1;0;0;1;0;2
"421225 Passo de Torres";1;0;0;0;0;1
"421240 Pedras Grandes";1;0;0;0;0;1
"421250 Penha";5;1;0;1;0;7
"421280 Piçarras";2;0;0;1;0;3
"421315 Planalto Alegre";1;0;0;0;0;1
"421320 Pomerode";1;0;0;1;0;2
"421340 Ponte Serrada";2;0;0;0;0;2
"421350 Porto Belo";2;1;0;3;0;6
"421420 Quilombo";0;0;0;1;0;1
"421480 Rio do Sul";19;1;0;2;0;22
"421500 Rio Negrinho";2;0;0;0;0;2
"421545 Sangão";0;0;0;1;0;1
"421550 Santa Cecília";4;0;0;2;0;6
"421567 Santa Terezinha";0;0;0;1;0;1
"421570 Santo Amaro da Imperatriz";1;1;0;0;0;2
"421580 São Bento do Sul";5;0;0;0;0;5
"421605 São Cristovão do Sul";1;0;0;0;0;1
"421620 São Francisco do Sul";7;0;0;3;0;10
"421630 São João Batista";7;0;0;1;0;8
"421650 São Joaquim";1;0;0;1;0;2
"421660 São José";34;3;6;7;0;50
"421670 São José do Cedro";1;0;0;0;0;1
"421720 São Miguel do Oeste";6;0;0;5;0;11
"421725 São Pedro de Alcântara";2;0;0;1;0;3
"421730 Saudades";1;0;0;0;0;1
"421740 Schroeder";1;0;0;0;0;1
"421750 Seara";1;0;0;0;0;1
"421770 Sombrio";1;0;0;1;0;2
"421800 Tijucas";12;0;0;1;0;13
"421820 Timbó";3;0;0;1;0;4
"421830 Três Barras";0;1;0;0;0;1
"421850 Treze Tílias";1;0;0;1;0;2
"421870 Tubarão";10;4;0;1;0;15
"421880 Turvo";1;0;0;0;0;1
"421890 Urubici";0;0;0;1;0;1
"421900 Urussanga";2;0;0;0;0;2
"421930 Videira";6;0;0;2;0;8
"421950 Xanxerê";5;1;2;5;0;13
"421970 Xaxim";3;0;0;0;0;3
"Total";933;77;19;208;2;1239
